用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
任性又果断	2532200317	Jf0S18Q47	#康姆士 你要如何我们就如何#好险康姆士差点被淘汰永驻超暖心的啊，这首歌的创作故事在迟斌那里看过了，但是再听到还是很感动，求求你们多留久一点 ​	2020年08月08日 22:52		评论		https://weibo.com/2532200317/Jf0S18Q47?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0S18Q47?uid=2532200317&rl=1
努力减肥啊啊啊	7293293882	Jf0REoCQh	#康姆士 你要如何我们就如何#这首歌好好听 ​	2020年08月08日 22:51		评论		https://weibo.com/7293293882/Jf0REoCQh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0REoCQh?uid=7293293882&rl=1
四季发财朱同学	5542821894	Jf0PZh6RT	#康姆士 你要如何我们就如何#康姆士的其他歌也很好听！！！ ​	2020年08月08日 22:47		评论		https://weibo.com/5542821894/Jf0PZh6RT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0PZh6RT?uid=5542821894&rl=1
小郁hsinyu	5086386986	Jf0PODN1n	#康姆士 你要如何我们就如何#“别哭，前面一定有路”超疗愈的 L郁台xy的微博视频 ​	2020年08月08日 22:46			4	https://weibo.com/5086386986/Jf0PODN1n?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0PODN1n?uid=5086386986&rl=1
是七号啊	3596484925	Jf0P8ADWP	#康姆士 你要如何我们就如何#他们其它歌也好听！！！！大家快去听呀！！！！入股不亏！！！现场快乐！！！ ​	2020年08月08日 22:45		5		https://weibo.com/3596484925/Jf0P8ADWP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0P8ADWP?uid=3596484925&rl=1
萌萌懵_	2932576815	Jf0P1gUht	#康姆士 你要如何我们就如何#我们康姆士就是最棒的！！！！！！ ​	2020年08月08日 22:44		2	3	https://weibo.com/2932576815/Jf0P1gUht?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0P1gUht?uid=2932576815&rl=1
-石头想有糖的温度-	5851222537	Jf0OxnVm9	#康姆士 你要如何我们就如何#看完真的特别感动真实地流泪了我太喜欢永驻的塑料普通话了，康姆士给我冲呀！ ​	2020年08月08日 22:43			2	https://weibo.com/5851222537/Jf0OxnVm9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0OxnVm9?uid=5851222537&rl=1
一起吃早餐ba	2323487354	Jf0NihGQp	#康姆士 你要如何我们就如何##后海大鲨鱼猛犸# 真的超级期待这一期了，康姆士真的太温柔了！反复听了好几遍了！我是真的很喜欢落日飞车甜约翰这种类型的乐队！后海大鲨鱼确实落差有点大，但情怀真的无价啊，直到现在都记得大四那年冬天在自习室外面听到心要野的心情。希望下期心要野安排上啊啊！！ ​	2020年08月08日 22:40		2	1	https://weibo.com/2323487354/Jf0NihGQp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0NihGQp?uid=2323487354&rl=1
小南风swing	3557985300	Jf0MRofui	#康姆士 你要如何我们就如何#静谧太空的浪漫！！！ ​	2020年08月08日 22:39		2		https://weibo.com/3557985300/Jf0MRofui?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0MRofui?uid=3557985300&rl=1
网红先走我段后	1728885872	Jf0MKybet	#康姆士 你要如何我们就如何# 康姆士乐队的《 你要如何我们就如何》听得好想哭哦好喜欢这个乐队！,  O康姆士乐队的《 你要如何我们就如何》听得好想哭哦好喜欢这个乐队！ ​	2020年08月08日 22:39		评论		https://weibo.com/1728885872/Jf0MKybet?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jf0MKybet?uid=1728885872&rl=1
