用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
刘诗诗的老粉	5766776701	JeFjxwo0g	#张玉环前妻称他还欠我一个抱# 真的是很伟大活的很清楚的女性啊，一面肩扛厄运，一面继续生活。如果说现下世界糟粕，但也有这样金子般的心尚未泯灭啊 ​	2020年08月06日 15:59	12	2	97	https://weibo.com/5766776701/JeFjxwo0g?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFjxwo0g?uid=5766776701&rl=1
青青园中葵kunekune	6130042415	JeFjrAEDk	#张玉环前妻称他还欠我一个抱#啊55555 ​	2020年08月06日 15:59		评论		https://weibo.com/6130042415/JeFjrAEDk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFjrAEDk?uid=6130042415&rl=1
西湖检察	2332437804	JeFjlEXU3	【#张玉环前妻称他还欠我一个抱#：这个抱我想了好多好多年】4日，张玉环故意杀人案终审改判无罪。7月6日，张玉环前妻宋小女带着两个儿子赶回江西老家。宋小女称，张玉环回来后，希望他能拥抱一下自己，“他还欠我一个抱，这个抱我想了好多好多年…我非要让他抱着我转，从1993年欠到今天他应该抱。”11 ​  展开全文c	2020年08月06日 15:59		8	1	https://weibo.com/2332437804/JeFjlEXU3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFjlEXU3?uid=2332437804&rl=1
红城骑兵	1602362023	JeFj93hK7	#张玉环前妻称他还欠我一个抱#天理难容，#热点，大家谈！# ​	2020年08月06日 15:58		评论		https://weibo.com/1602362023/JeFj93hK7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFj93hK7?uid=1602362023&rl=1
咪咕头条资讯	6077299654	JeFj7zvXu	#张玉环前妻称他还欠我一个抱#，我从93年等到现在。张玉环自己表示：当年自己曾经遭受过6天6夜的刑讯逼供，希望可以追究当年刑讯逼供人的责任！（cr：政事儿） L咪咕头条资讯的微博视频 ​	2020年08月06日 15:58	13	4	63	https://weibo.com/6077299654/JeFj7zvXu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFj7zvXu?uid=6077299654&rl=1
芹菜炒牛肉不加芹菜	5941762464	JeFj7gMDB	#张玉环前妻称他还欠我一个抱#人世间太苦，愿前妻今后过的甜一点～ ​	2020年08月06日 15:58		评论		https://weibo.com/5941762464/JeFj7gMDB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFj7gMDB?uid=5941762464&rl=1
猛犸新闻	1672519561	JeFj5bClp	【#张玉环前妻称他还欠我一个抱#：这个抱我想了好多好多年】4日，张玉环故意杀人案终审改判无罪。7月6日，张玉环前妻宋小女带着两个儿子赶回江西老家。宋小女称，张玉环回来后，希望他能拥抱一下自己，“他还欠我一个抱，这个抱我想了好多好多年…我非要让他抱着我转，从1993年欠到今天他应该抱。 ​  展开全文c	2020年08月06日 15:58	3	3	4	https://weibo.com/1672519561/JeFj5bClp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFj5bClp?uid=1672519561&rl=1
写给你看的情书	5345763624	JeFi072PV	#张玉环前妻称他还欠我一个抱#唉 ​	2020年08月06日 15:55		评论		https://weibo.com/5345763624/JeFi072PV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFi072PV?uid=5345763624&rl=1
小肆皖汀_	2563860571	JeFhMbxOJ	#张玉环前妻称他还欠我一个抱#那种发自内心笑容，想要的那个“抱”，让人为这些受尽委屈与折磨的人高兴 ，太感动了 ​​​	2020年08月06日 15:55		评论		https://weibo.com/2563860571/JeFhMbxOJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFhMbxOJ?uid=2563860571&rl=1
封面新闻	1496814565	JeFh2qEAB	【#张玉环前妻称他还欠我一个抱#：这个抱我想了好多好多年】4日，张玉环故意杀人案终审改判无罪。7月6日，张玉环前妻宋小女带着两个儿子赶回江西老家。宋小女称，张玉环回来后，希望他能拥抱一下自己，“他还欠我一个抱，这个抱我想了好多好多年…我非要让他抱着我转，从1993年欠到今天他应该抱。”11 ​  展开全文c	2020年08月06日 15:53	258	443	17766	https://weibo.com/1496814565/JeFh2qEAB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFh2qEAB?uid=1496814565&rl=1
