原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	我要了四分甜	7479541568	我要了四分甜:当然喜欢，要加油哦	赞[0]	2020-08-24 07:31:02	来自荣耀V20 4800万3D相机
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	星空下AA	6628834813	星空下AA:我参与了@娱乐明星团 发起的投票【投票】，我投给了“支持徐艺洋未来可期”这个选项，你也快来表态吧~	赞[0]	2020-08-24 07:31:02	来自vivo AI智慧拍照X21
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	bye_02	6192644579	bye_02:加油未来可期	赞[0]	2020-08-24 07:30:57	来自vivo Y3 闪充强续航
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	到底叫啥什么都被占用	7313508706	到底叫啥什么都被占用:转发微博	赞[0]	2020-08-24 07:30:55	来自vivo智能手机
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	Q-小甜心	2631338652	Q-小甜心:转发微博	赞[0]	2020-08-24 07:30:51	来自iPhone客户端
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	原谅帽大中华	6802981974	原谅帽大中华:我参与了@娱乐明星团 发起的投票【投票】，我投给了“喜欢”这个选项，你也快来表态吧~	赞[0]	2020-08-24 07:31:11	来自iPhone客户端
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	万方秋忆皆知	7375078448	万方秋忆皆知:喜欢小姐姐	赞[0]	2020-08-24 07:31:09	来自OPPO随光而变R17
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	笑嘻嘻222	7366452334	笑嘻嘻222:转发微博	赞[0]	2020-08-24 07:31:09	来自Redmi K30 全速热爱
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	兔牙小孩	5887877401	兔牙小孩:过程是一种成长	赞[0]	2020-08-24 07:31:06	来自iPhone客户端
娱乐明星团	:#徐艺洋 过程比结果重要#两次与女团擦肩而过没能出道，过去已经是过去了，无论是什么样的结果，都是自己的经历、最好的回忆，过程比结果重要。你们喜欢徐艺洋吗？ 	2020-08-24 07:29:19    	夏-落客	2828720121	夏-落客:我参与了@娱乐明星团 发起的投票【投票】，我投给了“支持徐艺洋未来可期”这个选项，你也快来表态吧~	赞[0]	2020-08-24 07:31:07	来自红米Note7 4800万相机
