原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	麻将九	1862703191	麻将九:肆意妄为	赞[0]	2020-09-07 18:15:28	来自iPhone客户端
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	啥事都想明白了	2638329172	啥事都想明白了:转发微博	赞[0]	2020-09-07 18:11:52	来自HUAWEI P40 5G
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	东方剑888	6657577286	东方剑888:转发微博	赞[0]	2020-09-07 17:51:45	来自红米Redmi
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	自由的天马腾飞	1496964504	自由的天马腾飞:转发微博	赞[0]	2020-09-07 17:46:58	来自微博 weibo.com
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	奚正仁的小屋	2200904975	奚正仁的小屋:转发微博	赞[0]	2020-09-08 14:46:09	来自OPPO Reno
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	宝墩政务	3482863051	宝墩政务:【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】	赞[0]	2020-09-08 09:57:03	来自360安全浏览器
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	丛林指挥官	1829791827	丛林指挥官:转发微博	赞[0]	2020-09-08 09:44:55	来自微博 weibo.com
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	祂的话	1895486957	祂的话:转发微博	赞[0]	2020-09-07 23:03:25	来自iPhone客户端
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	XL号洁娃子	zengxiaojielll	XL号洁娃子:成都现在的街道，真的就是裸晒！！！！太心痛了！	赞[0]	2020-09-07 22:54:08	来自Android
成都商报	:#官方回应桂花巷桂花树被砍完#【成都桂花巷被“剃头”？市公园城市建设管理局：改造方案未通过审批，存在违规】中秋临近，每到这个时候，除了中秋节吃月饼外，沁人心脾的桂花香也是成都市民心中特有的记忆。在成都，与宽窄巷子一街之隔的桂花巷，由于整条街栽种的桂花树以及中秋节前后弥漫整条街道的桂花香味，成为了市民度中秋的打卡之地。但如今，桂花巷现场的情况却与之前大相径庭。近日，不少市民路过桂花巷时发现，以前街道两侧的桂花树，已被大量砍伐和移植，市民称“这是给桂花巷剃头了。”http://t.cn/A64i3vFN #成都300年桂花巷内桂花树全被砍#	2020-09-07 17:38:46    	青山绿水52069202	5416484919	青山绿水52069202:喜欢折腾就折腾吧！记得93年我初到成都，那时候的青龙街和八宝街全部都是很大的长得茂盛的法国梧桐 ，后来被挖走了，今年夏天再到此处看到了小小的梧桐树，心塞了，折腾了差不多30年，树又回到了当年的树，还好在少年宫旁边的银杏树依然郁郁葱葱	赞[0]	2020-09-07 22:04:15	来自vivo AI智慧拍照X21
