用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
阿巴阿巴阿斯巴甜	6146356489	JjHB5zkhl	#我们都为自己是中国人感到骄傲和自豪# ​	2020年09月08日 18:59		评论		https://weibo.com/6146356489/JjHB5zkhl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHB5zkhl?uid=6146356489&rl=1
我头发好油啊啊	5771804092	JjHB023Ri	#我们都为自己是中国人感到骄傲和自豪#🇨🇳  ​	2020年09月08日 18:59		评论		https://weibo.com/5771804092/JjHB023Ri?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHB023Ri?uid=5771804092&rl=1
满眼坠落星空	6272239615	JjHATbXBX	#我们都为自己是中国人感到骄傲和自豪#愿来世还做中国人 ​	2020年09月08日 18:59		2	3	https://weibo.com/6272239615/JjHATbXBX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHATbXBX?uid=6272239615&rl=1
钰钥兒	7091238399	JjHAHlF61	#创业励志语录#别去计较现在付出了多少，别去怀疑现在有没有收获，当我们全身心地投入喜欢的事情时，一切美好的结果，都会在未来的时光给我们最美的答案。不忘初心，温暖前行！#乘风破浪##我们都为自己是中国人感到骄傲和自豪# 2东莞 L钰钥兒的微博视频 ​	2020年09月08日 18:58	1	2	3	https://weibo.com/7091238399/JjHAHlF61?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHAHlF61?uid=7091238399&rl=1
书装满脑子里了	7292516517	JjHAGe4B2	#我们都为自己是中国人感到骄傲和自豪#只想说一句，学医很累，医学生很苦，当一个医生好难，没一个医生是想害死你的，请对医生这个群体好一点，不要拿最严苛的体制寒了怀揣梦想的医学生。。。 ​	2020年09月08日 18:58		评论		https://weibo.com/7292516517/JjHAGe4B2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHAGe4B2?uid=7292516517&rl=1
周印十月春	6601756946	JjHADzt6Z	#我们都为自己是中国人感到骄傲和自豪# ​	2020年09月08日 18:58		评论		https://weibo.com/6601756946/JjHADzt6Z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHADzt6Z?uid=6601756946&rl=1
甜贝奶冻啊	6480372508	JjHAtrc4q	#我们都为自己是中国人感到骄傲和自豪# 有幸 生于华夏🇨🇳 ​	2020年09月08日 18:58		评论		https://weibo.com/6480372508/JjHAtrc4q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHAtrc4q?uid=6480372508&rl=1
冷叶轶事	5532541384	JjHAqgEwq	#我们都为自己是中国人感到骄傲和自豪#十四亿人一条心的毅力，真的可以创造奇迹呀 ​	2020年09月08日 18:58			2	https://weibo.com/5532541384/JjHAqgEwq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHAqgEwq?uid=5532541384&rl=1
大煎bingo子	6603493902	JjHA8gh77	#我们都为自己是中国人感到骄傲和自豪#🇨🇳 ​	2020年09月08日 18:57			2	https://weibo.com/6603493902/JjHA8gh77?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHA8gh77?uid=6603493902&rl=1
如果我有闲	7403335453	JjHA42E62	#我们都为自己是中国人感到骄傲和自豪#虽然心里默认好久了，但真的还没正式的说出来过 ​	2020年09月08日 18:57			1	https://weibo.com/7403335453/JjHA42E62?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHA42E62?uid=7403335453&rl=1
辞白小笔	2177586003	JjHA3tb4e	#我们都为自己是中国人感到骄傲和自豪#我很棒！ ​	2020年09月08日 18:57		评论		https://weibo.com/2177586003/JjHA3tb4e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHA3tb4e?uid=2177586003&rl=1
琳中雪景	7438152416	JjHzX1yyQ	#我们都为自己是中国人感到骄傲和自豪#我是中国人，我骄傲！ ​	2020年09月08日 18:56		1	1	https://weibo.com/7438152416/JjHzX1yyQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHzX1yyQ?uid=7438152416&rl=1
清松排球	3184567572	JjHzWFk9A	#我们都为自己是中国人感到骄傲和自豪#此生无悔入华夏，来世还在中华家！ ​	2020年09月08日 18:56			29	https://weibo.com/3184567572/JjHzWFk9A?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHzWFk9A?uid=3184567572&rl=1
晗霁	5211962813	JjHzKxlE1	#我们都为自己是中国人感到骄傲和自豪#没错！ ​	2020年09月08日 18:56		评论		https://weibo.com/5211962813/JjHzKxlE1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHzKxlE1?uid=5211962813&rl=1
沈阳开发公安分局	1913643007	JjHzto1aQ	“为自己是中国人感到骄傲和自豪！”14亿的“你”，棒！（央视新闻）#我们都为自己是中国人感到骄傲和自豪##祖国我爱你# L沈阳开发公安分局的微博视频 ​	2020年09月08日 18:55		14	8	https://weibo.com/1913643007/JjHzto1aQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHzto1aQ?uid=1913643007&rl=1
蟹堡小羊	5988409448	JjHztbUym	#我们都为自己是中国人感到骄傲和自豪#🇨🇳 ​	2020年09月08日 18:55			1	https://weibo.com/5988409448/JjHztbUym?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjHztbUym?uid=5988409448&rl=1
