用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
VV追梦者	5737536143	JkpZ732yW	#护师考试# 啥也不是 ​	2020年09月13日 11:59			1	https://weibo.com/5737536143/JkpZ732yW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpZ732yW?uid=5737536143&rl=1
甜酒贩卖商	2331289785	JkpZ4Ax6Q	#护师考试#原来不止我一个觉得难 ​	2020年09月13日 11:59		评论		https://weibo.com/2331289785/JkpZ4Ax6Q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpZ4Ax6Q?uid=2331289785&rl=1
草莓巧克力派啊	5267813503	JkpYRm8F9	#护师考试#今天下午还有一场。 ​	2020年09月13日 11:59			1	https://weibo.com/5267813503/JkpYRm8F9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpYRm8F9?uid=5267813503&rl=1
madandthought	3310730825	JkpYOEdMb	#护师考试# 越改越错 ​	2020年09月13日 11:59		评论		https://weibo.com/3310730825/JkpYOEdMb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpYOEdMb?uid=3310730825&rl=1
大大的雲籽	2252906290	JkpYKzmaD	#护师考试#难到热搜都上了，今年重在参与 ​	2020年09月13日 11:58			5	https://weibo.com/2252906290/JkpYKzmaD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpYKzmaD?uid=2252906290&rl=1
PakYunk_陳	2164590860	JkpYBE6fW	#护师考试#是我太渣了才会觉得难吧 ​	2020年09月13日 11:58		5	4	https://weibo.com/2164590860/JkpYBE6fW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpYBE6fW?uid=2164590860&rl=1
-楼上不宜秋	1999502660	JkpYelOZc	#护师考试# 今年已经这么难了，连考试都这么难，真的是从年头难到年尾 ​	2020年09月13日 11:57		10	5	https://weibo.com/1999502660/JkpYelOZc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpYelOZc?uid=1999502660&rl=1
花不开我来	5345129163	JkpYbnpnS	#护师考试#第三门啥呀，冷门，偏僻，很完美的专业知识，对得起它这个名字，是我不够专业😳 ​	2020年09月13日 11:57		1	4	https://weibo.com/5345129163/JkpYbnpnS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpYbnpnS?uid=5345129163&rl=1
天使在人间0725	7018547559	JkpY4BJsr	医疗建设者#护师考试#加强医生和护士的道德文明建设远远比考试本身重要得多！顺便问一句，只有护士证的人可以出现在手术麻醉者签名处吗？ ​​​	2020年09月13日 11:57			5	https://weibo.com/7018547559/JkpY4BJsr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpY4BJsr?uid=7018547559&rl=1
天使在人间0725	7018547559	JkpXCeMHA	#护师考试#加强医生和护士的道德文明建设远远比考试本身重要得多！顺便问一句，只有护士证的人可以出现在手术麻醉者签名处吗？ ​	2020年09月13日 11:56			1	https://weibo.com/7018547559/JkpXCeMHA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpXCeMHA?uid=7018547559&rl=1
齁甜齁甜水蜜桃	3180157625	JkpXtis9N	#护师考试#我太难了 ​	2020年09月13日 11:55			2	https://weibo.com/3180157625/JkpXtis9N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpXtis9N?uid=3180157625&rl=1
97别来无恙	6519617648	JkpXspdma	#护师考试#护士是专业的，考试很不符合我的专业，我太难了就感觉我不是很专业 ​	2020年09月13日 11:55		评论		https://weibo.com/6519617648/JkpXspdma?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpXspdma?uid=6519617648&rl=1
恶-小魔	5031820789	JkpXinuFg	#护师考试#感觉这一段时间看的书白看了 2石家庄·石家庄财经职业学院 ​	2020年09月13日 11:55		4	6	https://weibo.com/5031820789/JkpXinuFg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpXinuFg?uid=5031820789&rl=1
-邓林之荫	3446960074	JkpXftuyE	#护师考试#恭喜护考难到喜提热搜 ​	2020年09月13日 11:55			42	https://weibo.com/3446960074/JkpXftuyE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpXftuyE?uid=3446960074&rl=1
愫MIAO	5949318427	JkpX5acz2	#护师考试# 我确实也晓不得幽门梗阻插胃管插一半到手术室继续，是什么鬼？d(ŐдŐ๑)这个难道不怕侵入性感染吗？ ​	2020年09月13日 11:54			1	https://weibo.com/5949318427/JkpX5acz2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpX5acz2?uid=5949318427&rl=1
陈小胖666666	5758445612	JkpX05wuB	#护师考试#啊，就是，就是吧觉得这个题认识我，但是我不认识这个题题说：我好难我说：你确实难 ​	2020年09月13日 11:54		3	5	https://weibo.com/5758445612/JkpX05wuB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpX05wuB?uid=5758445612&rl=1
Danyanyanyany	5720531929	JkpX05w3J	完了完了，都难到上热搜了 #护师考试# ​	2020年09月13日 11:54			1	https://weibo.com/5720531929/JkpX05w3J?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpX05w3J?uid=5720531929&rl=1
你的外卖在楼下	5084505332	JkpWTfsdT	#护师考试#下午做好题目一定不能再改，再改剁手。 ​	2020年09月13日 11:54		2	5	https://weibo.com/5084505332/JkpWTfsdT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpWTfsdT?uid=5084505332&rl=1
戚暮坤	5640341283	JkpWccuPm	#护师考试#emmmm祝你们好运 ​	2020年09月13日 11:52		评论		https://weibo.com/5640341283/JkpWccuPm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpWccuPm?uid=5640341283&rl=1
燃点时刻MG	6249602979	JkpVV38Hw	#护师考试#护师考试前必须掌握的高频考点，恶补三十分！（视频cr.护考咨询宝） L燃点时刻MG的微博视频 ​	2020年09月13日 11:51		评论		https://weibo.com/6249602979/JkpVV38Hw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpVV38Hw?uid=6249602979&rl=1
·请问一下有没有卖半岛铁盒	5216343458	JkpVBttCW	#护师考试#难到上热搜 真有你的 ​	2020年09月13日 11:51			4	https://weibo.com/5216343458/JkpVBttCW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpVBttCW?uid=5216343458&rl=1
照片里的_陌生人	5033828608	JkpVzpoWP	#护师考试# 抗疫表彰时我就在想，能不能来点实际的把题目出简单点👿😡 😡 ​	2020年09月13日 11:51			2	https://weibo.com/5033828608/JkpVzpoWP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpVzpoWP?uid=5033828608&rl=1
·我捧着月亮别来无恙·	5983383678	JkpVyeBIC	#护师考试#加油@柠檬hnh 稳过！ ​	2020年09月13日 11:51		评论		https://weibo.com/5983383678/JkpVyeBIC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpVyeBIC?uid=5983383678&rl=1
株洲共青团	1461331505	JkpVwr1jS	#护师考试#必背高频知识点汇总转给有需要的小伙伴们！（学霸课长 ​）#株洲共青团就在你身边# ​	2020年09月13日 11:50	18		41	https://weibo.com/1461331505/JkpVwr1jS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpVwr1jS?uid=1461331505&rl=1
华师第一丑	2825983357	JkpUEE6RM	#护师考试# ​	2020年09月13日 11:48		评论		https://weibo.com/2825983357/JkpUEE6RM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpUEE6RM?uid=2825983357&rl=1
西瓜爱好者1124	2622996113	JkpUe5PcF	#护师考试#吃饱下午最后一科！！ 2崇左 ​	2020年09月13日 11:47		评论		https://weibo.com/2622996113/JkpUe5PcF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpUe5PcF?uid=2622996113&rl=1
走开表闹话	3250104005	JkpUdgZpA	#护师考试#看到第一题心就塞了一下看的没看考，考的不会 ​	2020年09月13日 11:47		1	3	https://weibo.com/3250104005/JkpUdgZpA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpUdgZpA?uid=3250104005&rl=1
97别来无恙	6519617648	JkpU4mRcA	#护师考试#别纠结，一纠结留错 ​	2020年09月13日 11:47		评论		https://weibo.com/6519617648/JkpU4mRcA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpU4mRcA?uid=6519617648&rl=1
97别来无恙	6519617648	JkpTHByCQ	#护师考试#一个小时完全是能答完的，要么是学霸，要么是学渣 ​	2020年09月13日 11:46		评论		https://weibo.com/6519617648/JkpTHByCQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpTHByCQ?uid=6519617648&rl=1
机灵小不懂zy	3901843410	JkpTsu5vu	#护师考试#保佑能考过考过吧～🙏🙏🙏 2长沙 ​	2020年09月13日 11:45		4	4	https://weibo.com/3901843410/JkpTsu5vu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkpTsu5vu?uid=3901843410&rl=1
