原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	huang黄l	5657510396	huang黄l:转发微博	赞[0]	2020-07-17 11:29:30	来自华为麦芒7
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	自媒体哒人	2658511000	自媒体哒人:转发微博	赞[0]	2020-07-17 11:25:41	来自微博国际版
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	欣然向往_恍然觊觎	2512671725	欣然向往_恍然觊觎:转发微博	赞[0]	2020-07-17 11:25:36	来自HUAWEI Mate 10
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	双子女李大公举	7345242221	双子女李大公举:转发微博	赞[0]	2020-07-17 11:25:21	来自iPhone客户端
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	学会沉默18_937	3686507281	学会沉默18_937:转发微博	赞[0]	2020-07-17 11:35:46	来自HUAWEI P20
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	用户喜乐88	6249802918	用户喜乐88:转发微博	赞[0]	2020-07-17 11:34:40	来自OPPO智能手机
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	_夏日么么茶_	5774914121	_夏日么么茶_:转发微博	赞[0]	2020-07-17 11:34:09	来自HUAWEI P20 Pro
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	银河偶像星空魔术师	5848460595	银河偶像星空魔术师:转发微博	赞[0]	2020-07-17 11:33:22	来自iPhone
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	栩愿树KOP	2881428824	栩愿树KOP:转发微博	赞[0]	2020-07-17 11:31:13	来自荣耀 9X
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	我亲爱的偏执狂hahu	fanaka	我亲爱的偏执狂hahu:转发微博	赞[0]	2020-07-17 11:55:22	来自三星 GALAXY S6 edge+
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	恋上漫天的星辰	5517965863	恋上漫天的星辰:转发微博	赞[0]	2020-07-17 11:50:15	来自vivo AI智慧拍照X21
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	_清晨___	vipliuqimin	_清晨___:转发微博	赞[0]	2020-07-17 11:43:41	来自小米6 拍人更美
中国新闻网	:【#新疆昌吉公交暂停营运#】#关注新冠肺炎#新疆昌吉公交集团17日通过微信公众号发文表示，该集团所有运营车辆，从即日起暂停营运，并已经安排一线全体干部职工全员做核酸检测，在暂时停运期间对所有车辆每日再进行彻底的防疫消毒。国家卫健委消息：16日，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例10例，其中本土病例1例(在新疆)。	2020-07-17 11:23:09    	我说于2你说哟	2506462272	我说于2你说哟:昌吉公交好棒啊，写的真好	赞[0]	2020-07-17 12:37:27	来自iPhone客户端
