用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
我也想要春PD抱抱	6538216455	JhRi99hYE	#李宇春给国境线上的孩子们上课#孩子们独一无二的童年应该受到良好的教育，希望黄房子美学项目能带给孩子们不一样的温暖与知识 ​	2020年08月27日 15:59		评论		https://weibo.com/6538216455/JhRi99hYE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRi99hYE?uid=6538216455&rl=1
梦想的味道732016	5931576978	JhRi2mx3a	#李宇春给国境线上的孩子们上课#有爱就有希望， 有希望就不要放弃 ​	2020年08月27日 15:59		评论		https://weibo.com/5931576978/JhRi2mx3a?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRi2mx3a?uid=5931576978&rl=1
没所谓ai	6608472723	JhRi261xO	#李宇春给国境线上的孩子们上课##国境线上的黄房子开课了# 美育教育真的挺重要的，这个“黄房子”公益项目特别棒👍🏻 。 ​	2020年08月27日 15:59		评论		https://weibo.com/6608472723/JhRi261xO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRi261xO?uid=6608472723&rl=1
齐天大圣我来了哈哈	7353984122	JhRi0vEuX	李宇春#李宇春给国境线上的孩子们上课#所有的付出只因爱的力量，感知美，发现美，创造美，希望所有的贫困儿童都能拥有美的权利，儿童美育任重道远，对于孩子们来说吃饱穿暖固然重要，但是精神层面的教育与满足更是难能可贵的，喜欢黄房子，支持儿童美育，希望每个孩子都能拥有诗和远方！ ​  展开全文c	2020年08月27日 15:59		18	18	https://weibo.com/7353984122/JhRi0vEuX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRi0vEuX?uid=7353984122&rl=1
可爱的猪年来啦	5731607499	JhRhXDPT1	#李宇春给国境线上的孩子们上课#@玉米爱心基金 “黄房子美学启蒙公益项目”援助学校——云南省普洱市江城县康平镇勐康小学昨天迎来了第一堂的美术课。作为黄房子项目发起人@李宇春 通过视频与黄房子的孩子们分享艺术的美妙，和志愿者老师们一起让孩子们感受美学的力量。迄今为止已有大概十万位需要帮助 ​  展开全文c	2020年08月27日 15:59		评论		https://weibo.com/5731607499/JhRhXDPT1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhXDPT1?uid=5731607499&rl=1
火锅就不点毛肚哇	1968631213	JhRhVzKHB	#李宇春给国境线上的孩子们上课# @玉米爱心基金 十四载公益之旅，以爱点燃希望，一直在路上。为乡村扶贫教育出力，为乡村儿童提供平等的美学启蒙教育机会，愿每一个孩子因爱放飞梦想❤️@李宇春 ​	2020年08月27日 15:59	2		29	https://weibo.com/1968631213/JhRhVzKHB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhVzKHB?uid=1968631213&rl=1
平平淡淡才是真真的快乐	3893635748	JhRhSjIwp	#李宇春给国境线上的孩子们上课#李宇春真的好。 ​	2020年08月27日 15:59			1	https://weibo.com/3893635748/JhRhSjIwp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhSjIwp?uid=3893635748&rl=1
独角兽洁哥	5289310936	JhRhS288l	#国境线上的开学第一课# #李宇春给国境线上的孩子们上课#就在昨天李宇春通过视频与小朋友们分享生活中美学艺术  李宇春公益从没停止。支持她 ​	2020年08月27日 15:59			3	https://weibo.com/5289310936/JhRhS288l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhS288l?uid=5289310936&rl=1
圈外教主	5093046305	JhRhE5uJI	#李宇春给国境线上的孩子们上课#为乡村儿童提供平等的美学启蒙教育机会，以视频录制形式给孩子们上了一节美术课，一直走在公益路上的李宇春啊～ ​ L圈外教主的微博视频 ​	2020年08月27日 15:58	331	423	933	https://weibo.com/5093046305/JhRhE5uJI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhE5uJI?uid=5093046305&rl=1
爱Lee_1314	6056642950	JhRhB74mq	#国境线上的开学第一课# #李宇春给国境线上的孩子们上课# 【黄房子】美学启蒙课程 孩子们完成的作品太美好了，色彩斑斓，鲜活向上玉米爱心基金终身形象代言人～黄房子发起人@李宇春 寄语孩子们，艺术源于生活，希望孩子们拥有发现美，感受美和创造美的能力L新浪视频的微博视频 ​	2020年08月27日 15:58		评论		https://weibo.com/6056642950/JhRhB74mq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhB74mq?uid=6056642950&rl=1
你懂得那就好	7352429443	JhRhzFubm	#李宇春给国境线上的孩子们上课#【黄房子】美学启蒙课程 孩子们完成的作品太美好了，色彩斑斓，鲜活向上玉米爱心基金终身形象代言人～黄房子发起人@李宇春 寄语孩子们，艺术源于生活，希望孩子们拥有发现美，感受美和创造美的能力 ​	2020年08月27日 15:58		评论		https://weibo.com/7352429443/JhRhzFubm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhzFubm?uid=7352429443&rl=1
火锅就不点毛肚哇	1968631213	JhRhvu35b	#李宇春给国境线上的孩子们上课#尝试使用当地特色的蔬菜创作艺术作品，并在创作过程中感悟到美就在身边！打开美与爱的窗口，遇见“美就在身边”。@李宇春 @玉米爱心基金 ​	2020年08月27日 15:58			4	https://weibo.com/1968631213/JhRhvu35b?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhvu35b?uid=1968631213&rl=1
壹条娱乐	2470960793	JhRhosYy7	#李宇春给国境线上的孩子们上课#黄房子项目也好几年了呢，李宇春和玉米建了好几座黄房子了 ​	2020年08月27日 15:58	20	20	145	https://weibo.com/2470960793/JhRhosYy7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhosYy7?uid=2470960793&rl=1
风吹开绒发i	5989997170	JhRhm42zu	有爱就有希望#李宇春给国境线上的孩子们上课# ​	2020年08月27日 15:57		评论		https://weibo.com/5989997170/JhRhm42zu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhRhm42zu?uid=5989997170&rl=1
