原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	21世纪20年代的选择困难症重患者	5592186904	21世纪20年代的选择困难症重患者:杨老师就是坠吊的！	赞[0]	2020-07-31 23:26:19	来自HUAWEI Mate 10
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	爱吃可可甜心的小葵	2669926754	爱吃可可甜心的小葵:加油	赞[0]	2020-07-31 23:26:16	来自UC浏览器
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	遨游宇宙David	5136521025	遨游宇宙David:转发微博	赞[0]	2020-07-31 23:40:09	来自小米MIX 2 全面屏手机
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	懒猫猫猫S	5056303539	懒猫猫猫S:杨易真是太牛了👏👏什么神仙心态啊！！	赞[0]	2020-07-31 23:39:10	来自iPhone客户端
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	Physicsfun	le5on	Physicsfun:杨易 实至名归	赞[0]	2020-07-31 23:38:26	来自Android
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	坏坏超人也会痛	3200770742	坏坏超人也会痛:杨易还是稳啊！这季的小朋友们全军覆没啊	赞[0]	2020-07-31 23:37:51	来自荣耀30 Pro+ 5G
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	羽泉俊杰	1341619492	羽泉俊杰:转发微博	赞[0]	2020-07-31 23:33:24	来自OPPO R9
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	花开彼岸天446	yulandablaesa	花开彼岸天446:@最强大脑杨易  老师 太强了 实至名归！以后儿子如果能像娄云浩那样我也就太感动了！	赞[0]	2020-07-31 23:31:05	来自iPhone
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	CHINESE_ZKL	7236319317	CHINESE_ZKL:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	赞[0]	2020-07-31 23:29:12	来自Redmi Note 8四摄
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	白露奶啤	7390515114	白露奶啤:杨老师是真的很不错，也是我最后一次真情实感看的一季了，上一季就别说了	赞[0]	2020-07-31 23:46:32	来自华为麦芒5
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	米米117452434	3186616120	米米117452434://@好好虾啊:第七季所有选手团灭，看了一季寂寞。	赞[0]	2020-07-31 23:44:44	来自荣耀V10 我AI的快
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	用户6928951742	6928951742	用户6928951742:杨易老师强强强！杨老师🐮 🍺 ！！	赞[2]	2020-07-31 23:43:43	来自vivo AI智慧拍照X21
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	梦想成真0306Ly	7421767518	梦想成真0306Ly:转发微博	赞[0]	2020-07-31 23:42:46	来自HUAWEI Mate30 Pro 5G
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	用户6067626405	6067626405	用户6067626405:转发微博	赞[0]	2020-08-01 21:37:35	来自华为手机 畅享玩不停
最强大脑	:#最强大脑决赛##杨易脑王之王#恭喜@最强大脑杨易 战队获封荣耀战队。凝心聚力，团魂尽显。全员奔赴，荣耀归位，脑力江湖人称“最强前浪团”。 	2020-07-31 23:25:37    	bbccddoooooo	1567441525	bbccddoooooo:三季老粉，始终觉得第一季的选手最强，第二季设计剪辑的最好。第三季换导演，证真实，遇疫情，也是拍的艰难了。	赞[0]	2020-08-01 10:45:36	来自HUAWEI P20 Pro
