用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
小-月	1914055312	Jd0oZ7DZ4	#椰香桂花牛奶团子#椰蓉我最喜欢了，完美的搭配，口感让你有满足感，做法get✓。[视频源于网络] L小-月-雨-文的微博视频 ​	2020年07月26日 17:59	35	18	57	https://weibo.com/1914055312/Jd0oZ7DZ4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0oZ7DZ4?uid=1914055312&rl=1
脆皮小鱼聂宇晟的吃瓜	2496031250	Jd0oKjYqZ	#椰香桂花牛奶团子#呜呜呜呜呜看起来好好吃，我喜欢一切带桂花的点心 ​	2020年07月26日 17:59			3	https://weibo.com/2496031250/Jd0oKjYqZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0oKjYqZ?uid=2496031250&rl=1
一只超级可爱的小橙子janet	7436737656	Jd0oFz3SZ	#椰香桂花牛奶团子#看着超想吃的呢 ​	2020年07月26日 17:59		6		https://weibo.com/7436737656/Jd0oFz3SZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0oFz3SZ?uid=7436737656&rl=1
撕皮博格斗	6296960703	Jd0ogukyK	#椰香桂花牛奶团子# ​	2020年07月26日 17:58			1	https://weibo.com/6296960703/Jd0ogukyK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0ogukyK?uid=6296960703&rl=1
君子不器XZL	6581897228	Jd0nU6mCh	#椰香桂花牛奶团子# ​	2020年07月26日 17:57		评论		https://weibo.com/6581897228/Jd0nU6mCh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0nU6mCh?uid=6581897228&rl=1
种草一姐夏天天	2079847175	Jd0nKyrzW	我发现我特别喜欢椰子味儿的食物比如有椰浆的芒果饭！#椰香桂花牛奶团子##周末不摸鱼##嗨夏吃货节# @鲜城 ​	2020年07月26日 17:56		40	18	https://weibo.com/2079847175/Jd0nKyrzW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0nKyrzW?uid=2079847175&rl=1
这个微博有点味	6367852278	Jd0nIujXn	#椰香桂花牛奶团子# 这又是什么神仙吃法！旺仔牛奶的第100种做法：QQ弹弹，超级软糯的小团子！（CR：草莓厨娘🍓） L这个微博有点味的微博视频 ​	2020年07月26日 17:56	22	1	44	https://weibo.com/6367852278/Jd0nIujXn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0nIujXn?uid=6367852278&rl=1
王火火小食记	5646593684	Jd0nqxed2	#椰香桂花牛奶团子#椰浆牛奶+桂花糖浆绝对是一组神仙组合，太好吃了。正巧在店里吃这个呢，每次来万达必吃之一。。这个小猪布丁是不是很可爱？淋上糖桂花，吃到停不下来。。。。 ​	2020年07月26日 17:56	21	28	149	https://weibo.com/5646593684/Jd0nqxed2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0nqxed2?uid=5646593684&rl=1
琦lovepiece	6473004122	Jd0nnwBS9	#椰香桂花牛奶团子# ​	2020年07月26日 17:56		评论		https://weibo.com/6473004122/Jd0nnwBS9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0nnwBS9?uid=6473004122&rl=1
张家界航空职院航空管理学院	6432425419	Jd0njrKFH	#椰香桂花牛奶团子#团团们，你们最喜欢美食是什么 (*^．^*) 亲亲~ ​	2020年07月26日 17:55		7	26	https://weibo.com/6432425419/Jd0njrKFH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0njrKFH?uid=6432425419&rl=1
海滩花花	5950108242	Jd0mXh1FD	#椰香桂花牛奶团子# ​	2020年07月26日 17:54			1	https://weibo.com/5950108242/Jd0mXh1FD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0mXh1FD?uid=5950108242&rl=1
海棠躲躲	6627552277	Jd0maaE6r	#椰香桂花牛奶团子# ​	2020年07月26日 17:53		评论		https://weibo.com/6627552277/Jd0maaE6r?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0maaE6r?uid=6627552277&rl=1
de然后	7176099559	Jd0m1kSuD	#椰香桂花牛奶团子# ​	2020年07月26日 17:52		评论		https://weibo.com/7176099559/Jd0m1kSuD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0m1kSuD?uid=7176099559&rl=1
小林要长高高高高高高高高高高高	5894552048	Jd0lgo6Ks	#椰香桂花牛奶团子#桂花!!!我超爱桂花 ​	2020年07月26日 17:50			1	https://weibo.com/5894552048/Jd0lgo6Ks?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0lgo6Ks?uid=5894552048&rl=1
坚果玛奇朵	2612712611	Jd0l28LAa	#椰香桂花牛奶团子# 2宜昌·五峰土家族自治县 ​	2020年07月26日 17:50			1	https://weibo.com/2612712611/Jd0l28LAa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0l28LAa?uid=2612712611&rl=1
葡萄味的曲奇饼干	7473636056	Jd0kv5iEz	#椰香桂花牛奶团子#看了就爱上 ​	2020年07月26日 17:48		评论		https://weibo.com/7473636056/Jd0kv5iEz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0kv5iEz?uid=7473636056&rl=1
葡萄味的曲奇饼干	7473636056	Jd0kfmcBW	#椰香桂花牛奶团子#红豆喜欢😍 ​	2020年07月26日 17:48		评论		https://weibo.com/7473636056/Jd0kfmcBW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0kfmcBW?uid=7473636056&rl=1
爱到最美是陪伴201006	5678972094	Jd0jYjrXK	#椰香桂花牛奶团子# ​	2020年07月26日 17:47		评论		https://weibo.com/5678972094/Jd0jYjrXK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0jYjrXK?uid=5678972094&rl=1
天府龙泉	1919999491	Jd0jXlOmv	#椰香桂花牛奶团子##舌尖上的龙泉驿# 【小兔兔团子】🔥卡路里：41 kcal/ 个超～级可爱的小兔兔团子！而且是红薯🍠馅的哦，甜而不腻。没有巧克力笔的话可以开动你们的小脑筋，用其他的材料来做眼睛～材料：粘米粉（糯米粉） 200g、砂糖 3大勺、温水 150cc、巧克力笔（草莓） 适量、杏仁片 适量、 ​  展开全文c	2020年07月26日 17:47	2		9	https://weibo.com/1919999491/Jd0jXlOmv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0jXlOmv?uid=1919999491&rl=1
包裹银河	3713529413	Jd0jet47M	#椰香桂花牛奶团子# ​	2020年07月26日 17:45		评论		https://weibo.com/3713529413/Jd0jet47M?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0jet47M?uid=3713529413&rl=1
葡萄味的曲奇饼干	7473636056	Jd0j6eXPk	#椰香桂花牛奶团子#团子好吃的呀！看起来软乎乎 ​	2020年07月26日 17:45			1	https://weibo.com/7473636056/Jd0j6eXPk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd0j6eXPk?uid=7473636056&rl=1
夜空中最美的两颗小星星	5511383990	Jd03Cr9PU	#椰香桂花牛奶团子# ​	2020年07月26日 17:07		评论		https://weibo.com/5511383990/Jd03Cr9PU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd03Cr9PU?uid=5511383990&rl=1
