原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	牛铃	tagefei	牛铃:	赞[1]	2020-08-31 08:54:39	来自
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	总打不到车的招财猫	7370026022	总打不到车的招财猫:转发微博	赞[0]	2020-08-31 09:26:24	来自Android
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	永登融媒	7444635650	永登融媒:转发微博	赞[2]	2020-08-31 09:14:24	来自HUAWEI P40 5G
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	房天下上海	soufunnews	房天下上海:转发微博	赞[0]	2020-08-31 09:12:59	来自微博 weibo.com
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	艾尼以山已誓	3104035160	艾尼以山已誓:转发微博	赞[0]	2020-08-31 08:57:29	来自HUAWEI Mate 9
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	郑清清611	5582124136	郑清清611:转发微博	赞[0]	2020-08-31 08:56:44	来自荣耀9 美得有声有色
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	聆x有钱z	5471153750	聆x有钱z:开学快乐	赞[0]	2020-08-31 11:51:48	来自小米8青春版 潮流旗舰
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	禾乃小筑	btjialin	禾乃小筑://@宋小渝://@我不是狰鸩的快乐: 新学期加油！🙏	赞[0]	2020-08-31 11:15:23	来自iPhone客户端
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	驻马店生态环境	3576823265	驻马店生态环境:转发微博	赞[0]	2020-08-31 11:06:59	来自vivo Z5x性能实力派
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	木色四衍	1927273461	木色四衍:真好，好像又回到人间的热闹	赞[0]	2020-08-31 10:39:33	来自联想S5Pro 偶像级自拍
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	赛罕区昭乌达南路街道	5444814610	赛罕区昭乌达南路街道:转发微博	赞[0]	2020-08-31 10:38:56	来自直达服务
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	赛立方赛事平台	7455079974	赛立方赛事平台:转发微博	赞[0]	2020-08-31 10:20:09	来自搜狗高速浏览器
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	gogo张小暴	2629363231	gogo张小暴:感动！终于要回到正轨了！	赞[0]	2020-08-31 10:12:49	来自
央视网	:久违了！#武汉百万大学生返校#湖北日报的微博视频 	2020-08-31 08:43:24    	深圳李玉芝	lingzhonghongyun	深圳李玉芝:	赞[0]	2020-08-31 09:55:38	来自HUAWEI P20 Pro
