原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	搞怪的一个人	6787314906	搞怪的一个人:转发微博	赞[0]	2020-08-04 12:53:31	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	秋日星空FF	6449264207	秋日星空FF:现场真热闹	赞[0]	2020-08-04 12:53:26	来自Android
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	茶水bot	7347905824	茶水bot:真是厉害了哈哈哈哈	赞[0]	2020-08-04 12:53:19	来自nova7SE 5G你在焦点在
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	马哥的六斤-	6571266833	马哥的六斤-:哈哈哈哈哈哈哈哈哈哈	赞[0]	2020-08-04 12:53:50	来自vivo AI智慧拍照X21
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	一起看星星吗H	5327319961	一起看星星吗H:哈哈哈哈	赞[0]	2020-08-04 12:53:47	来自HUAWEI Mate30 Pro 5G
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	楼兰姑娘3628	7452440898	楼兰姑娘3628:真的太搞笑啦！	赞[0]	2020-08-04 12:53:42	来自vivo X27
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	tutu今天也要加油呀	5951468145	tutu今天也要加油呀:转发微博	赞[0]	2020-08-04 12:53:40	来自荣耀20 PRO
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	茶水bot	7347905824	茶水bot:差点笑没了哈哈哈	赞[0]	2020-08-04 12:53:37	来自nova7SE 5G你在焦点在
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	一颗发光的鹅卵石	5758098764	一颗发光的鹅卵石:哈哈哈哈哈	赞[0]	2020-08-04 12:53:55	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	闹闹哄哄003	5946131216	闹闹哄哄003:真的是哈哈哈	赞[0]	2020-08-04 12:53:54	来自OPPO A9
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	FunnyLxl	1731750707	FunnyLxl:转发微博	赞[0]	2020-08-04 13:01:01	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	哥不信佛信妍姐	5597808912	哥不信佛信妍姐:转发微博	赞[0]	2020-08-04 12:55:13	来自vivo X20全面屏手机
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	咦老三呢	2072794251	咦老三呢:转发微博	赞[0]	2020-08-04 13:04:55	来自荣耀V20 4800万3D相机
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	我要好好学习了x	5579491072	我要好好学习了x:转发微博	赞[1]	2020-08-04 13:04:10	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	胡念稚很ok	5311367700	胡念稚很ok:转发微博	赞[0]	2020-08-04 13:03:41	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	漢怂帝	5672177055	漢怂帝:转发微博	赞[0]	2020-08-04 13:03:13	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	芭蕉很烦	3067880625	芭蕉很烦:转发微博	赞[0]	2020-08-04 13:02:57	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	成长中的大白菜	1512396661	成长中的大白菜:转发微博	赞[1]	2020-08-04 13:02:18	来自HUAWEI Mate 9
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	晚星坠	2170312852	晚星坠:转发微博	赞[0]	2020-08-04 13:01:48	来自三星A8s黑瞳全视屏
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	皓皓皓ing	5535577268	皓皓皓ing:哈哈哈哈哈	赞[0]	2020-08-04 13:07:56	来自小米8周年旗舰手机
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	1moL刘十三	3226980535	1moL刘十三:转发微博	赞[0]	2020-08-04 13:07:44	来自华为畅享9S超广角三摄
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	anbanglee	1851651375	anbanglee:转发微博	赞[0]	2020-08-04 13:06:56	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	不改名用户1111111118	7457411399	不改名用户1111111118:转发微博	赞[0]	2020-08-04 13:06:29	来自iPhone 11 Pro
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	人鱼岛在下金币雨	1790880427	人鱼岛在下金币雨:转发微博	赞[0]	2020-08-04 13:11:59	来自小米Max2 大屏大电量
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	给钱谢谢xoyo	2580862817	给钱谢谢xoyo:转发微博	赞[0]	2020-08-04 13:11:59	来自前后2000万 OPPO R11s
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	安静的去远行	5544995248	安静的去远行:@阿弥陀fo_L	赞[1]	2020-08-04 13:10:30	来自OnePlus 6
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	CamphorBetula_King	512394617	CamphorBetula_King:哈哈哈哈哈	赞[0]	2020-08-04 13:10:05	来自HUAWEI Mate 20
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	404___not_found	6296017198	404___not_found:转发微博	赞[0]	2020-08-04 13:09:54	来自Redmi K30 Pro 真旗舰
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	Jatropha-curcas	5666186113	Jatropha-curcas:转发微博	赞[0]	2020-08-04 13:09:03	来自荣耀V10 我AI的快
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	程伯伯去当红军	2264644847	程伯伯去当红军:转发微博	赞[0]	2020-08-04 13:21:03	来自荣耀20
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	西柚--柠檬L	7226764777	西柚--柠檬L:转发微博	赞[0]	2020-08-04 14:12:55	来自nova5i 2400万AI四摄
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	TS_folklore	5519478944	TS_folklore:哈哈哈哈哈哈哈哈	赞[0]	2020-08-04 14:09:00	来自HUAWEI P40 Pro 5G
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	手动莫哈	5870288001	手动莫哈:转发微博	赞[0]	2020-08-04 13:59:00	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	臭二麻麻	1707945021	臭二麻麻:转发微博	赞[0]	2020-08-04 13:49:26	来自OPPO超视野全面屏R15
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	星星上看海	1941124347	星星上看海:转发微博	赞[0]	2020-08-04 13:36:18	来自荣耀Magic2 魔法手机
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	杭紫怡	6862361130	杭紫怡:转发微博	赞[0]	2020-08-04 13:32:43	来自HUAWEI P20
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	东郭先生和你qwe	7480855521	东郭先生和你qwe:哈哈哈，你是要把我笑死继承我的花呗吗	赞[0]	2020-08-04 14:46:48	来自微博搜索
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	有情的木头	1976361957	有情的木头:转发微博	赞[0]	2020-08-04 14:43:57	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	小薇1206022262	1206022262	小薇1206022262:转发微博	赞[0]	2020-08-04 14:42:31	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	玻璃周这样有意思吗	7201040756	玻璃周这样有意思吗:转发微博	赞[0]	2020-08-04 14:37:18	来自OPPO随光而变R17
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	林夕颜1437	5189198605	林夕颜1437:转发微博	赞[0]	2020-08-04 14:34:13	来自HUAWEI P30
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	妖女小薇	2618325381	妖女小薇:转发微博	赞[0]	2020-08-04 14:33:08	来自HUAWEI P10
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	粉色巧克力	5976297096	粉色巧克力:转发微博	赞[0]	2020-08-04 14:31:37	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	豆拉菲	3174418517	豆拉菲:转发微博	赞[0]	2020-08-04 14:25:28	来自微博搜索
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	不是你的向日葵_	7340359078	不是你的向日葵_:靠哈哈哈哈哈	赞[0]	2020-08-04 14:19:39	来自OPPO Reno
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	充满热情的黑天鹅	6107983165	充满热情的黑天鹅:转发微博	赞[0]	2020-08-04 15:12:54	来自小米10
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	爱吃牛油果的榴莲	5904643406	爱吃牛油果的榴莲:转发微博	赞[0]	2020-08-04 15:09:54	来自iPhone客户端
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	ShirleyHeart小甜甜布朗尼	lovechushirley	ShirleyHeart小甜甜布朗尼:哈哈哈哈哈哈哈	赞[0]	2020-08-04 15:08:17	来自HUAWEI P30 Pro
每日微博搞笑精选	:#民间大神打脸现场#来看看大神们，舞台翻车打脸现场......猝不及防的大笑 每日微博搞笑精选的微博视频 	2020-08-04 12:50:39    	將孤獨餵飽把記憶埋好吧	zhan15779920030	將孤獨餵飽把記憶埋好吧:转发微博	赞[0]	2020-08-04 14:59:08	来自HUAWEI Mate 20 Pro
