用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
当时我就八卦了	1773456030	JbBcnDdHT	#江湖预告# 古风实验武侠剧《江湖》@Dear-迪丽热巴 @任嘉伦Allen 先导预告片上线，帅气江湖洒脱风，期待正片 L当时我就八卦了的微博视频 ​	2020年07月17日 11:59	113	112	363	https://weibo.com/1773456030/JbBcnDdHT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBcnDdHT?uid=1773456030&rl=1
時光薄了諾言93928	6406804625	JbBclz9so	#任嘉伦高马尾飘雪装#陌上人如玉，公子世无双。啊啊啊啊啊啊，这句话说的就是@任嘉伦Allen  吧，我没了，好期待20号的杂志啊，暗戳戳的搓手等待#江湖预告# ​	2020年07月17日 11:59		评论		https://weibo.com/6406804625/JbBclz9so?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBclz9so?uid=6406804625&rl=1
积一阿佳	2585945235	JbBclhyfF	#江湖预告#VG为他俩拍一部古偶吧，绝对爆！ ​	2020年07月17日 11:59		评论		https://weibo.com/2585945235/JbBclhyfF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBclhyfF?uid=2585945235&rl=1
四叶草的旋律198805	6226520214	JbBbP7j3v	#江湖预告#弃霓裳，点红装，山河迢迢，自任逍遥LVogueMe的微博视频 ​	2020年07月17日 11:58			2	https://weibo.com/6226520214/JbBbP7j3v?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBbP7j3v?uid=6226520214&rl=1
你的千寻_	6304994325	JbBbv1K1T	#江湖预告#哇哇哇期待啦啦啦啦期待 L你的千寻_的微博视频 ​	2020年07月17日 11:57		评论		https://weibo.com/6304994325/JbBbv1K1T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBbv1K1T?uid=6304994325&rl=1
娱小司	7034945806	JbBbrsMBi	#任嘉伦高马尾飘雪装##江湖预告# 白衣少侠翩翩少年！国超的古装造型一直都是那么令人惊艳 真是无比期待正片#任嘉伦玉面剑客# ​​​@任嘉伦Allen L娱小司的微博视频 ​	2020年07月17日 11:57	107	107	544	https://weibo.com/7034945806/JbBbrsMBi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBbrsMBi?uid=7034945806&rl=1
糖分超标剧小甜	6177350823	JbBb30Lzo	#任嘉伦高马尾飘雪装# 《VogueMe》#江湖预告# 任嘉伦高马尾飘雪装，想与一任千面的白衣少侠一起仗剑江湖万里行呀@任嘉伦Allen ​	2020年07月17日 11:56	107	140	507	https://weibo.com/6177350823/JbBb30Lzo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBb30Lzo?uid=6177350823&rl=1
正向娱乐	2866515597	JbBb1b13P	#任嘉伦暮白首#任嘉伦#江湖预告# 《Vogue Me》古风实验武侠剧《江湖》 任嘉伦这个高马尾苏到我了 哥哥简直就是行走的侠客 好期待@任嘉伦Allen #任嘉伦高马尾飘雪装# ​​​	2020年07月17日 11:56	105	102	224	https://weibo.com/2866515597/JbBb1b13P?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBb1b13P?uid=2866515597&rl=1
娱吗	6686246548	JbBaWcVju	#江湖预告# 迪丽热巴先导预告7月20期待《江湖》上线@Dear-迪丽热巴 L娱吗的微博视频 ​	2020年07月17日 11:56	107	108	576	https://weibo.com/6686246548/JbBaWcVju?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBaWcVju?uid=6686246548&rl=1
水木佳人Allen	7377122322	JbBas2mLO	#任嘉伦高马尾飘雪装# rjl#江湖预告# —这位少侠，我观你神情忧郁心有所思，不知是有何心事？—唉，今天去医院检查，医生说我有一项值偏高，故而犯愁。—是哪项值偏高呢？—颜值偏高。@任嘉伦Allen ​	2020年07月17日 11:55		33	16	https://weibo.com/7377122322/JbBas2mLO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbBas2mLO?uid=7377122322&rl=1
李大头姑凉	3730059083	JbB9qs9uq	#任嘉伦高马尾飘雪装# #江湖预告# 仗剑江湖万里行的少年侠客这气质一出整个江湖都是你的@任嘉伦Allen 请任嘉伦多多进横店拍戏造福观众 ​	2020年07月17日 11:52		4	10	https://weibo.com/3730059083/JbB9qs9uq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB9qs9uq?uid=3730059083&rl=1
爱追剧酱	6443063014	JbB9nuOwT	#江湖预告#  迪丽热巴、任嘉伦的古风实验武侠剧《江湖》，俊男靓女的搭配真的亮眼 ​	2020年07月17日 11:52			1	https://weibo.com/6443063014/JbB9nuOwT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB9nuOwT?uid=6443063014&rl=1
Becky957	6236520254	JbB97hZFN	#江湖预告#想和她携手闯江湖 ​	2020年07月17日 11:51			1	https://weibo.com/6236520254/JbB97hZFN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB97hZFN?uid=6236520254&rl=1
李SHU珊girl	6498175064	JbB8StcGF	#江湖预告# 迪丽热巴二登@VogueMe ， 古风实验武侠剧《江湖》剪影定妆照出炉！完美侧颜，侠气十足！轻着红妆，潇洒闯江湖！@Dear-迪丽热巴 ​	2020年07月17日 11:51		评论		https://weibo.com/6498175064/JbB8StcGF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB8StcGF?uid=6498175064&rl=1
圈内毒舌	6348569972	JbB8q8r1n	#任嘉伦高马尾飘雪装##江湖预告# 任嘉伦《江湖》定妆照~陌上人如玉，公子世无双，一任千面，任嘉伦@任嘉伦Allen ​	2020年07月17日 11:50	106	108	117	https://weibo.com/6348569972/JbB8q8r1n?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB8q8r1n?uid=6348569972&rl=1
一个暖两个暖	5507635082	JbB8pgjcx	#任嘉伦高马尾飘雪装##江湖预告# 真的惊艳！！！任嘉伦真的好绝！！！你好！少侠！@任嘉伦Allen ​	2020年07月17日 11:50			25	https://weibo.com/5507635082/JbB8pgjcx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB8pgjcx?uid=5507635082&rl=1
是超超的小弹簧	7192786951	JbB7GzFfM	#江湖预告#任嘉伦，少年感十足，英气风发。 ​	2020年07月17日 11:48		评论		https://weibo.com/7192786951/JbB7GzFfM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB7GzFfM?uid=7192786951&rl=1
元气少女小张loveAllen	7459467136	JbB7qkGBC	#江湖预告#期待任嘉伦 ​	2020年07月17日 11:47		评论		https://weibo.com/7459467136/JbB7qkGBC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB7qkGBC?uid=7459467136&rl=1
二十三娱乐	5938229881	JbB7l3RoE	#任嘉伦高马尾飘雪装##江湖预告# 任嘉伦真的太绝了，太有少年侠客的感觉了，内味儿满满 ​	2020年07月17日 11:47	317	255	804	https://weibo.com/5938229881/JbB7l3RoE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB7l3RoE?uid=5938229881&rl=1
bestiesbesties	7439916877	JbB6psDdf	#江湖预告#啊啊啊啊这颜值我可以 ​	2020年07月17日 11:45			1	https://weibo.com/7439916877/JbB6psDdf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB6psDdf?uid=7439916877&rl=1
orangexin欣	5621579341	JbB6juJhE	#任嘉伦高马尾飘雪装# 把期待值放到最高！造型真的好帅啊侠气满满！看了#江湖预告# 好期待成片啊啊啊！拍个杂志拍出了大片质感7.20上午十点定好小闹钟买限时不限量的vm了 ​	2020年07月17日 11:45		评论		https://weibo.com/5621579341/JbB6juJhE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB6juJhE?uid=5621579341&rl=1
奥奈集团	6145970146	JbB5MnVZA	#江湖预告#预告片上啦迪丽热巴和任嘉伦剧中造型太吸引人了两个实力演员的碰撞你期待吗！！ ​ ​​​	2020年07月17日 11:43		评论		https://weibo.com/6145970146/JbB5MnVZA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB5MnVZA?uid=6145970146&rl=1
音娱八点半	6435427816	JbB5bsQ6o	#江湖预告#  真的是太可了，爱了呀 L音娱八点半的微博视频 ​	2020年07月17日 11:42		评论		https://weibo.com/6435427816/JbB5bsQ6o?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB5bsQ6o?uid=6435427816&rl=1
新娱	2782682084	JbB4ZoaHC	#江湖预告# 迪丽热巴的《江湖》先导预告片来了水墨晕染开色彩，热巴转身展露惊艳姿态，红色连衣裙配高马尾真的太飒了红唇和粗眉更显性感酷炫~期待正片！@Dear-迪丽热巴 #迪丽热巴金属环编发#新娱 L新娱的微博视频 ​	2020年07月17日 11:41	110	123	343	https://weibo.com/2782682084/JbB4ZoaHC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB4ZoaHC?uid=2782682084&rl=1
大唐郡主李长歌我的	6293006583	JbB4UEmdH	#江湖预告#期待迪丽热巴 ​	2020年07月17日 11:41			3	https://weibo.com/6293006583/JbB4UEmdH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB4UEmdH?uid=6293006583&rl=1
剧探王	2535005327	JbB4SjNYt	#江湖预告#任嘉伦 迪丽热巴古风实验武侠剧《江湖》先导预告片，风雨声响，箫鼓调起，刀剑江湖起波澜。墨意山水间，女侠与剑客傲然而立。 #任嘉伦高马尾飘雪装# ​	2020年07月17日 11:41	64	147	2243	https://weibo.com/2535005327/JbB4SjNYt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB4SjNYt?uid=2535005327&rl=1
春风不扶	6359812594	JbB4K3vqt	#江湖预告#期待啊热巴啊 ​	2020年07月17日 11:41		评论		https://weibo.com/6359812594/JbB4K3vqt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB4K3vqt?uid=6359812594&rl=1
新娱	2782682084	JbB3V9wZj	任嘉伦 VogueMe #江湖预告# 任大侠要出招了，一身白衣，一招一式都自带一身侠气和剑意！白衣飘雪的逍遥剑客扮相，太帅了~@任嘉伦Allen#任嘉伦高马尾飘雪装# 新娱 L新娱的微博视频 ​	2020年07月17日 11:39	117	149	438	https://weibo.com/2782682084/JbB3V9wZj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB3V9wZj?uid=2782682084&rl=1
lulu_Allen	6487829465	JbB3w5TAY	#任嘉伦高马尾飘雪装##江湖预告# 卧槽卧槽卧槽！！！期待子！！！！！正片搞快点！！！！！@任嘉伦Allen ​	2020年07月17日 11:38		评论		https://weibo.com/6487829465/JbB3w5TAY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB3w5TAY?uid=6487829465&rl=1
咕咕嘎嘎caecae	7452272784	JbB2JEcPZ	#江湖预告#这到底是个啥剧 ​	2020年07月17日 11:36		评论		https://weibo.com/7452272784/JbB2JEcPZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB2JEcPZ?uid=7452272784&rl=1
大娱乐喝喝	6328801392	JbB2o6doA	#任嘉伦高马尾飘雪装#《江湖》定妆照，整个江湖都「任」你闯！任嘉伦最吸引你的是什么？#江湖预告# ​	2020年07月17日 11:35		2	11	https://weibo.com/6328801392/JbB2o6doA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB2o6doA?uid=6328801392&rl=1
三碗年糕	7420058660	JbB2nqbh6	#江湖预告#所以是真的没有限古令吧 ​	2020年07月17日 11:35			1	https://weibo.com/7420058660/JbB2nqbh6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB2nqbh6?uid=7420058660&rl=1
学术无忧	3217075772	JbB1UtJgH	#江湖预告#漂亮 2哈尔滨 ​	2020年07月17日 11:34			1	https://weibo.com/3217075772/JbB1UtJgH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB1UtJgH?uid=3217075772&rl=1
蠢萌系接班人	7046785957	JbB1pvrik	任嘉伦 风萧剑起，#任嘉伦高马尾飘雪装#清美绝伦！是任公子无疑！！任嘉伦肆意江湖，绝美袭来。VOGUE#江湖预告#。 L娱塘搬运的微博视频 ​	2020年07月17日 11:32		1	4	https://weibo.com/7046785957/JbB1pvrik?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB1pvrik?uid=7046785957&rl=1
追剧少女韩芳芳	6616210484	JbB1bB1z6	#江湖预告# 女侠与剑客傲然而立，抬眸顾盼间，迪丽热巴任嘉伦将带来哪些故事，你们期待吗？ ​	2020年07月17日 11:32	42	62	2032	https://weibo.com/6616210484/JbB1bB1z6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB1bB1z6?uid=6616210484&rl=1
叭圈	7020377975	JbB16gVNM	#江湖预告#江湖传闻，源自蓝色和红色墨染交融，这场预告，江湖离你不远！侠之大者，隐墨于场景之中！ 热巴和任嘉伦精彩演绎。 ​	2020年07月17日 11:32	71	73	106	https://weibo.com/7020377975/JbB16gVNM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbB16gVNM?uid=7020377975&rl=1
