原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	V雅思托福00	6886896603	V雅思托福00:转发微博	赞[0]	2020-09-15 20:35:55	来自iPhone客户端
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	仙灵儿Ya	7474441057	仙灵儿Ya:真的很好听	赞[0]	2020-09-15 20:35:52	来自iPhone 11
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	橱窗的光__	6985105183	橱窗的光__:转发微博	赞[0]	2020-09-15 20:35:48	来自vivo智能手机
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	皮卡皮冲	1164485800	皮卡皮冲:好喜欢汪苏泷唱歌	赞[0]	2020-09-15 20:35:46	来自iPhone客户端
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	彼岸的风铃okl	7350128026	彼岸的风铃okl:来看看咯	赞[0]	2020-09-15 20:35:43	来自2019微博极速版
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	real何清洋	1826457410	real何清洋:太好听了	赞[0]	2020-09-15 20:35:59	来自iPhone客户端
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	星光之恋为啥	7333838625	星光之恋为啥:太好听了收藏了	赞[1]	2020-09-15 20:35:58	来自Redmi Note 8四摄
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	在五菱宏光里喝旺仔牛奶_	1155545563	在五菱宏光里喝旺仔牛奶_:新专辑听起来啊	赞[0]	2020-09-15 20:35:58	来自iPhone 11
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	可爱头目A	6034898364	可爱头目A:我太喜欢听了	赞[0]	2020-09-15 20:36:18	来自前后2000万 OPPO R11
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	我想吃糖23333	6868991772	我想吃糖23333:太好听了	赞[0]	2020-09-15 20:36:18	来自前后2000万 OPPO R11
娱乐指南	:#汪苏泷线上演唱会#汪苏泷新专辑第五支单曲《末班飞行》，温柔的嗓音超好听 http://t.cn/A64YOERU 	2020-09-15 20:34:32    	叶子和夏天020	6531520939	叶子和夏天020:爱了爱了	赞[0]	2020-09-15 20:36:12	来自OPPO智能手机
