用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
Wu喵喵喵喵喵	5834808709	JeWZBDkYb	#浙江事业单位统考#这次准备太匆忙了，就昨天晚上看了看，希望今天做的都对！蒙的也多对点哈哈哈哈 ​	2020年08月08日 12:59			2	https://weibo.com/5834808709/JeWZBDkYb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWZBDkYb?uid=5834808709&rl=1
请叫我徐蜀黍就是徐叔叔	2938533760	JeWZB5f5s	#浙江事业单位统考# 考了个寂寞啥也不是 ​	2020年08月08日 12:59		2	2	https://weibo.com/2938533760/JeWZB5f5s?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWZB5f5s?uid=2938533760&rl=1
Tzz统咋咋	5943638401	JeWZaskmS	#浙江事业单位统考#哈哈哈 不说别的了 祝大家新年快乐 ​	2020年08月08日 12:58		评论		https://weibo.com/5943638401/JeWZaskmS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWZaskmS?uid=5943638401&rl=1
平安开封	2011677057	JeWYI4fUM	#浙江事业单位统考#【“疫情”背景下抗疫暖心金句】申论、面试都可以用得上~ ​	2020年08月08日 12:57	80	3	79	https://weibo.com/2011677057/JeWYI4fUM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWYI4fUM?uid=2011677057&rl=1
小小小黑妞Niu	5390940608	JeWYsEXrS	#浙江事业单位统考# 我就知道只考一门不会那么简单 ​	2020年08月08日 12:57			8	https://weibo.com/5390940608/JeWYsEXrS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWYsEXrS?uid=5390940608&rl=1
tinatina吖	1910941007	JeWXT0pGs	#浙江事业单位统考#考了个寂寞 我想知道你们单选选什么最多 判断是对的多还是错的多… ​	2020年08月08日 12:55		46	9	https://weibo.com/1910941007/JeWXT0pGs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWXT0pGs?uid=1910941007&rl=1
黄阿玛black	2115607335	JeWXP9Pw1	#浙江事业单位统考# 翻开试卷来得及，看到多选蒙到底。感觉对不住自己交的50大洋。 2杭州·浙江经贸职业技术学院 ​	2020年08月08日 12:55		21	11	https://weibo.com/2115607335/JeWXP9Pw1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWXP9Pw1?uid=2115607335&rl=1
大呆弼	5303855457	JeWXCo2Ip	#浙江事业单位统考#又一次体验了数学有时间做不来，结果在发呆的绝望 ​	2020年08月08日 12:54		4	3	https://weibo.com/5303855457/JeWXCo2Ip?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWXCo2Ip?uid=5303855457&rl=1
都市丽人妮	5239828795	JeWXzbk5r	#浙江事业单位统考#我真的是考了个寂寞 根本来不及做 全靠瞎蒙太难了真的本来还庆幸今年只考一门 ​	2020年08月08日 12:54		9	2	https://weibo.com/5239828795/JeWXzbk5r?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWXzbk5r?uid=5239828795&rl=1
電Y燈Y泡	2258826743	JeWX9on0O	#浙江事业单位统考#瞧我说了什么，喜提热搜了吧 ​	2020年08月08日 12:53		2	5	https://weibo.com/2258826743/JeWX9on0O?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWX9on0O?uid=2258826743&rl=1
英语四六级学霸姐	5800038240	JeWWDe5Zv	#浙江事业单位统考# 公务员考试常识汇总。 ​	2020年08月08日 12:52	179	11	202	https://weibo.com/5800038240/JeWWDe5Zv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWWDe5Zv?uid=5800038240&rl=1
是sa不是傻	5196285727	JeWWg92Qj	#浙江事业单位统考#这可能是一场锦鲤选拔赛大家人品积攒够了嘛 ​	2020年08月08日 12:51		1	8	https://weibo.com/5196285727/JeWWg92Qj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWWg92Qj?uid=5196285727&rl=1
___小小小小小小乐	3738317787	JeWWdcPRN	#浙江事业单位统考#拿到试卷，翻开一看，周围一片卧槽 ​	2020年08月08日 12:51		3	9	https://weibo.com/3738317787/JeWWdcPRN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWWdcPRN?uid=3738317787&rl=1
努力学习的新月	5256061746	JeWVLtqWA	#浙江事业单位统考#  多选我做懵了 ​	2020年08月08日 12:50		评论		https://weibo.com/5256061746/JeWVLtqWA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWVLtqWA?uid=5256061746&rl=1
学霸课长	2789987841	JeWUNvpOB	#浙江事业单位统考# 公务员考试必知的50个政治名词，同学们要记忆。 ​	2020年08月08日 12:47	2540	158	3375	https://weibo.com/2789987841/JeWUNvpOB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWUNvpOB?uid=2789987841&rl=1
南夏Away	5305754248	JeWUb3tZn	#浙江事业单位统考#搞了一周的公基，拿到手都是多选。这我哪知道啊。算了，下一个更好，下一个更乖 ​	2020年08月08日 12:46		2	4	https://weibo.com/5305754248/JeWUb3tZn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWUb3tZn?uid=5305754248&rl=1
平安开封	2011677057	JeWTZwUEk	#浙江事业单位统考#写作技巧篇来了，事业单位、省考、国考等公职性考试都能用，转给有需要的伙伴 申论 ​	2020年08月08日 12:46	8	1	16	https://weibo.com/2011677057/JeWTZwUEk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWTZwUEk?uid=2011677057&rl=1
西柚几-	6555475164	JeWTYELic	#浙江事业单位统考#考完试的人们 各怀心事 LJennie张不胖的微博视频 ​	2020年08月08日 12:45		评论		https://weibo.com/6555475164/JeWTYELic?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWTYELic?uid=6555475164&rl=1
今年要去看易烊千玺	5352433238	JeWTEelGb	#浙江事业单位统考#上半年没岗位可以报，接下来两个月我好好看常识还来得及吗就怕出卷人又换方向了到时候数量来个20道，我直接歇菜 ​	2020年08月08日 12:45		9		https://weibo.com/5352433238/JeWTEelGb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWTEelGb?uid=5352433238&rl=1
我叫两头乌的主人	2527546107	JeWTAoQWn	#浙江事业单位统考# 这次考试空调温度刚刚好 监考老师态度也很棒  纸张顺滑 涂写方便 还赠送了一次重游母校的机会 体验感很棒 下次还会再来 ​	2020年08月08日 12:45	1	9	17	https://weibo.com/2527546107/JeWTAoQWn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWTAoQWn?uid=2527546107&rl=1
无理涩尔	6157108219	JeWTxdeGc	#浙江事业单位统考# 此时此刻仍未从多选版常识题的打击中回过神来 2舟山 ​	2020年08月08日 12:44		评论		https://weibo.com/6157108219/JeWTxdeGc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWTxdeGc?uid=6157108219&rl=1
平安开封	2011677057	JeWTqFRjo	#浙江事业单位统考#2020两会“金句”频出，为了方便大家有条理地记忆和理解，能在面试作答中运用得当，特将今年两会的金句按照一定主题进行分类和归纳，快快收藏起来呀！（via.中公网校） ​​​	2020年08月08日 12:44	124	7	118	https://weibo.com/2011677057/JeWTqFRjo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWTqFRjo?uid=2011677057&rl=1
共青团福建省委	2730549204	JeWTjAoGJ	#浙江事业单位统考# 分享超全超完整的历史时间轴，高考、公务员考试、考研、教师资格证都用得上！ ​	2020年08月08日 12:44	215	5	271	https://weibo.com/2730549204/JeWTjAoGJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWTjAoGJ?uid=2730549204&rl=1
crk是真的crk	6030255881	JeWS3eV5E	#浙江事业单位统考#跳过计算、资料、推理时间还是不够用。做着做着越来越不对劲怎么有好几个正确答案?回过头一看，多选题监考老师说还有十五分钟 淦！机读卡没填，判断没做，多选才做了四个……直到交卷才发现多选40分，判断10分单选真的是无尽的寂寞 ​	2020年08月08日 12:41		评论		https://weibo.com/6030255881/JeWS3eV5E?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWS3eV5E?uid=6030255881&rl=1
温冬Libra	2066710903	JeWS1wR2f	温冬#浙江事业单位统考# 涵盖的地理 历史 图形 艺术等知识点合集 🐴住收藏#浙江事业单位考试# ​	2020年08月08日 12:41	69	11	155	https://weibo.com/2066710903/JeWS1wR2f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWS1wR2f?uid=2066710903&rl=1
Endless_Summer无尽夏	5674031416	JeWRKlh9M	50分常识？40分多选？一场看运气的考试？#浙江事业单位统考# ​	2020年08月08日 12:40		评论		https://weibo.com/5674031416/JeWRKlh9M?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWRKlh9M?uid=5674031416&rl=1
沉迷呲饭不能自拔的大雁	1241261831	JeWRnkBNh	#浙江事业单位统考#回家卖红薯了 ​	2020年08月08日 12:39		2		https://weibo.com/1241261831/JeWRnkBNh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWRnkBNh?uid=1241261831&rl=1
-BoBibobo	1991953981	JeWR695sa	#浙江事业单位统考#戴着口罩没有空调头顶电扇哐哐哐的一个半小时题没做完么汗是流了不少 ​	2020年08月08日 12:38		14	5	https://weibo.com/1991953981/JeWR695sa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWR695sa?uid=1991953981&rl=1
绝望的Simbababa	1724268907	JeWQIyWc4	#浙江事业单位统考#看到计算题这么难果断放弃看到20道多选题就知道又是炮灰了 ​	2020年08月08日 12:37		2	6	https://weibo.com/1724268907/JeWQIyWc4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWQIyWc4?uid=1724268907&rl=1
饱和体	2071896607	JeWQotlZQ	#浙江事业单位统考#划重点 ​	2020年08月08日 12:37		评论		https://weibo.com/2071896607/JeWQotlZQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWQotlZQ?uid=2071896607&rl=1
不怎么喝珍珠奶茶的Fanny	2204144674	JeWQ4Fpk1	#浙江事业单位统考#下半年不会也不按套路来吧？？？ ​	2020年08月08日 12:36		评论		https://weibo.com/2204144674/JeWQ4Fpk1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWQ4Fpk1?uid=2204144674&rl=1
没有了快乐wuwuwu	5876277767	JeWQ0tVUp	#浙江事业单位统考#我艹，浙江这个太坑了吧这平时复习没有卵用啊！完全不按套路出牌，让你手足无措！要是我，在考场哭晕吧，还做啥 ​	2020年08月08日 12:36		评论		https://weibo.com/5876277767/JeWQ0tVUp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWQ0tVUp?uid=5876277767&rl=1
Kelly不要胖	1886527032	JeWPXikxs	#浙江事业单位统考#每天刷学习强国的人是不是能得高分？？？可惜我没有报名 ​	2020年08月08日 12:36		评论		https://weibo.com/1886527032/JeWPXikxs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWPXikxs?uid=1886527032&rl=1
长腿小王子小鸡翅	5017334746	JeWPJB7PN	#浙江事业单位统考#蒙多选题就像选妃子 ABCD花枝招展 恨不得都给选上去 ​	2020年08月08日 12:35		9	27	https://weibo.com/5017334746/JeWPJB7PN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWPJB7PN?uid=5017334746&rl=1
蜗牛的夏天biubiubiu	2537064420	JeWPH189a	#浙江事业单位统考#超人妈妈变身考场考生，早起拎着菜篮子去考了个试，一顿操作猛如虎，时间不够，基本裸考，出考场买菜回家 ​	2020年08月08日 12:35		评论		https://weibo.com/2537064420/JeWPH189a?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWPH189a?uid=2537064420&rl=1
用户7322835189	7322835189	JeWPziV8V	#浙江事业单位统考#开考一分钟，翻题本看到40分的多选题，心里已经凉透了。 ​	2020年08月08日 12:35		评论		https://weibo.com/7322835189/JeWPziV8V?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWPziV8V?uid=7322835189&rl=1
努力抗压的自强7	6248730196	JeWPrj9jI	#浙江事业单位统考#本来职测是考智商，这次50分常识考好的要么是认真学习中央讲话的党员，要么是记性好常识记得牢的，要么就是蒙的全对的锦鲤了 ​	2020年08月08日 12:34		评论		https://weibo.com/6248730196/JeWPrj9jI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWPrj9jI?uid=6248730196&rl=1
研girl不是研gou	1835090135	JeWPkxqP3	#浙江事业单位统考#打卡打卡，终于有一次留了半个小时给数量，可是有啥用还不是不会做多选题全靠命了 2温州 ​	2020年08月08日 12:34		14	13	https://weibo.com/1835090135/JeWPkxqP3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeWPkxqP3?uid=1835090135&rl=1
