原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	o小辣椒oo	7451932991	o小辣椒oo:转发微博	赞[0]	2020-09-10 08:33:44	来自iPhone客户端
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	流星飞扬99450	5991741695	流星飞扬99450:转发微博	赞[0]	2020-09-10 06:25:50	来自Redmi Note 8 Pro四摄
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	金蛇舞阳88	6531138274	金蛇舞阳88:转发微博	赞[0]	2020-09-09 22:28:17	来自OPPO超视野全面屏R15
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	栀子花的幸福DD	5735194387	栀子花的幸福DD:转发微博	赞[0]	2020-09-09 22:19:02	来自OPPO超视野全面屏R15
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	金蛇舞阳	5871560429	金蛇舞阳:转发微博	赞[0]	2020-09-09 22:10:15	来自OPPO超视野全面屏R15
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	蒙奇奇非凡4	7297186350	蒙奇奇非凡4:转发微博转发微博转发微博转发微博转发微博	赞[0]	2020-09-09 22:08:17	来自iPhone客户端
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	蒙奇奇非凡3	7296773826	蒙奇奇非凡3:转发微博转发微博转发微博转发微博转发微博	赞[0]	2020-09-09 22:01:51	来自iPhone客户端
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	Ara923	2101684040	Ara923:转发微博	赞[0]	2020-09-10 09:28:23	来自iPhone客户端
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	rickyliu201601	1204283113	rickyliu201601:转发微博	赞[0]	2020-09-10 08:52:30	来自HUAWEI P30 Pro
上海反邪教	:【#消防员救人累瘫居民轮流为其扇风#】9月6日晚，安徽蚌埠一居民楼20层着火，消防员爬楼救人。事后，救人的消防员累瘫在地，大爷大妈心疼坏了，轮番上阵为其扇风降温，现场居民都对消防员们报以热烈的掌声。“俺们要去送锦旗！”@青流视频 青流视频的秒拍视频 	2020-09-09 20:34:33    	波波6014295163	6014295163	波波6014295163:转发微博	赞[0]	2020-09-10 08:45:32	来自OPPO K3 硬核少年
