用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
前安安后跳跳	6074228705	JeNaKvIOE	#湖北A级景区对全国游客免门票# 到今年年底 ​	2020年08月07日 11:59		评论		https://weibo.com/6074228705/JeNaKvIOE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNaKvIOE?uid=6074228705&rl=1
-不端水艺术家-	5165612095	JeNaKtxCw	#湖北A级景区对全国游客免门票#明年还有么！明年高考完我去 ​	2020年08月07日 11:59		2		https://weibo.com/5165612095/JeNaKtxCw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNaKtxCw?uid=5165612095&rl=1
胡成Oo	1765864124	JeNaG746D	#湖北A级景区对全国游客免门票#免费景点清单！具体情况看各景点要求，或许要预约也说不定，8月8日开始希望这些地方人山人海😂 2武汉 ​	2020年08月07日 11:59			1	https://weibo.com/1765864124/JeNaG746D?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNaG746D?uid=1765864124&rl=1
小陈_178	3722413511	JeNatlkzC	#湖北A级景区对全国游客免门票#职业资格鉴定考过！即刻出发 2武汉 ​	2020年08月07日 11:59			1	https://weibo.com/3722413511/JeNatlkzC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNatlkzC?uid=3722413511&rl=1
仙女嘭	5028836632	JeNaswqCG	#湖北A级景区对全国游客免门票#欢乐谷！！！！！！武汉人民也可以冲吗？！！ ​	2020年08月07日 11:59			1	https://weibo.com/5028836632/JeNaswqCG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNaswqCG?uid=5028836632&rl=1
印象襄阳	1908218490	JeNadmLSA	#湖北A级景区对全国游客免门票#为答谢全国人民对湖北的真情关爱，从8月8日开始，湖北近400家A级旅游景区对全国游客免门票开放，一直持续到今年年底，包括“十一”黄金周在内。 你最想去哪旅游？ ​	2020年08月07日 11:58	30	12	623	https://weibo.com/1908218490/JeNadmLSA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNadmLSA?uid=1908218490&rl=1
ThatXzz	5482295554	JeNaaqykx	#湖北A级景区对全国游客免门票#哈哈哈哈哈欢乐谷也免门票一直到12.31 ​	2020年08月07日 11:58		5		https://weibo.com/5482295554/JeNaaqykx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNaaqykx?uid=5482295554&rl=1
宜昌锦鲤	6031359110	JeNa1fTes	#湖北A级景区对全国游客免门票# 景点名单大全！宜昌有38个景点～你还有哪些没有去嘞？2宜昌 ​	2020年08月07日 11:58	2		2	https://weibo.com/6031359110/JeNa1fTes?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNa1fTes?uid=6031359110&rl=1
紫钰解解	1795096371	JeN9OCVqk	#湖北A级景区对全国游客免门票# 我们全家准备疯狂预约打卡各大景点 ​	2020年08月07日 11:57		评论		https://weibo.com/1795096371/JeN9OCVqk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9OCVqk?uid=1795096371&rl=1
春曰玛格丽特	5436177456	JeN9NEcCu	#湖北A级景区对全国游客免门票#正好今年想去木兰草原玩！！！ ​	2020年08月07日 11:57		评论		https://weibo.com/5436177456/JeN9NEcCu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9NEcCu?uid=5436177456&rl=1
广州日报	1887790981	JeN9Lo0AJ	【#湖北A级景区对全国游客免门票# 你感受到门票优惠了吗？ 】湖北近400家A级旅游景区对全国游客免门票开放。活动将一直持续到今年年底，包括“十一”黄金周在内。此外，近日全国多地推出景区免票或降价等优惠措施，大家出游的热情不断高涨，你感受到景区的门票优惠了吗？ 你感受到门票优惠了吗？ ​	2020年08月07日 11:57	5	14	1124	https://weibo.com/1887790981/JeN9Lo0AJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9Lo0AJ?uid=1887790981&rl=1
浙江城市之声	2060420737	JeN9Iot06	#城市快报#湖北今天召开发布会，为答谢全国人民的真情关爱，从明天开始，湖北近400家A级旅游景区对全国游客免门票开放。活动将一直持续到今年年底，包括“十一”黄金周在内。全国疫情低风险地区游客，实名预约，测温、扫健康码后均可免门票进入。北京昨天新增确诊病例1例，为7月27日确诊的大连市疫 ​  展开全文c	2020年08月07日 11:57		评论		https://weibo.com/2060420737/JeN9Iot06?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9Iot06?uid=2060420737&rl=1
分宜发布	2496519594	JeN9Ild7S	【扩散周知！#湖北A级景区对全国游客免门票#】为答谢全国人民的真情关爱，从8月8日开始，湖北将举办“与爱同行惠游湖北”活动。湖北近400家A级旅游景区对全国游客免门票开放。活动将一直持续到今年年底，包括“十一”黄金周在内。全国疫情低风险地区游客，实名预约，测温、扫健康码后均可免门票进入。 ​  展开全文c	2020年08月07日 11:57		评论		https://weibo.com/2496519594/JeN9Ild7S?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9Ild7S?uid=2496519594&rl=1
不知道取啥名的重度纠结症患者	5911337712	JeN9GieuP	#湖北A级景区对全国游客免门票#去年的年卡办了个寂寞 ​	2020年08月07日 11:57		评论		https://weibo.com/5911337712/JeN9GieuP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9GieuP?uid=5911337712&rl=1
广东消防	2113463832	JeN9DEGgs	#湖北A级景区对全国游客免门票#【#中国旅游日# 收下这份旅游场所消防安全提示】第十个“中国旅游日”来临之际，各旅游景区在精心做好防疫工作的基础上，更要时刻关注自身消防安全！广大群众在出行游玩的时候，也要时刻注意自己的行为习惯和身边的火灾隐患，谨防火灾！#消防云课堂# ​​​​	2020年08月07日 11:57	4	3	6	https://weibo.com/2113463832/JeN9DEGgs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9DEGgs?uid=2113463832&rl=1
路过的路人甲乙丙	5581801065	JeN9AFecE	#湖北A级景区对全国游客免门票#武汉的欢乐谷海洋馆东湖&木兰系列湖北其他地区的比如神农架武当山三峡恩施唐城以及各个峡谷漂流…呃啊这么热感觉我9月中旬之前去不完了_(:з」∠)_血亏 ​	2020年08月07日 11:56		8	1	https://weibo.com/5581801065/JeN9AFecE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9AFecE?uid=5581801065&rl=1
是乖乖兔呀	2137205471	JeN9ueCSK	#湖北A级景区对全国游客免门票#很棒呢 ​	2020年08月07日 11:56		评论		https://weibo.com/2137205471/JeN9ueCSK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9ueCSK?uid=2137205471&rl=1
品味枝江	1722188392	JeN9gE1gJ	#湖北A级景区对全国游客免门票#湖北免费景区名单 ​	2020年08月07日 11:56		评论		https://weibo.com/1722188392/JeN9gE1gJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9gE1gJ?uid=1722188392&rl=1
黄石网视	5633190045	JeN9foL4k	#湖北A级景区对全国游客免门票# 景点名单来了！黄石有18个景点，你去过哪些地方嘞？ ​	2020年08月07日 11:56	1		1	https://weibo.com/5633190045/JeN9foL4k?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN9foL4k?uid=5633190045&rl=1
微笑面对自己和世界	5508122499	JeN94fzcG	#湖北A级景区对全国游客免门票#大湖北快快好起来，炸酱面喜欢你谢谢你 ​	2020年08月07日 11:55		评论		https://weibo.com/5508122499/JeN94fzcG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN94fzcG?uid=5508122499&rl=1
張魚Octopus	2020764283	JeN8Zd3L8	#湖北A级景区对全国游客免门票# 湖北所有A级旅游景区，对全国游客免门票开放！（附景区名单）,  O湖北所有A级旅游景区，对全国游客免门票开放！（附景区名单） ​	2020年08月07日 11:55		评论		https://weibo.com/2020764283/JeN8Zd3L8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8Zd3L8?uid=2020764283&rl=1
星空下最亮的一盏灯	3853858410	JeN8YBr9g	#湖北A级景区对全国游客免门票#我只想知道，政府的补贴是对标门票一比一的吗，疫情解禁后，景区收入骤降，每个月的工资都不能按时发了，作为旅游行业的一员，要我怎么去想，景区全国免费，开放旅游，刺激消费，固然是好，但是在政策扶持方面，有没有大的改变，在猛拱其他消费的同时，是否真的也利好旅 ​  展开全文c	2020年08月07日 11:55		3		https://weibo.com/3853858410/JeN8YBr9g?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8YBr9g?uid=3853858410&rl=1
王春颖的微博	1853520374	JeN8Q0gEc	#湖北A级景区对全国游客免门票#哇哈哈😄去吗？ ​	2020年08月07日 11:55		评论		https://weibo.com/1853520374/JeN8Q0gEc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8Q0gEc?uid=1853520374&rl=1
湖南电台	1907083277	JeN8HuhPl	【扩散周知！#湖北A级景区对全国游客免门票#！收好这份#湖北免门票A级景区名单#↓↓↓】为答谢全国人民的真情关爱，从8月8日开始，湖北将举办“与爱同行惠游湖北”活动。湖北近400家A级旅游景区对全国游客免门票开放！活动将一直持续到今年底，包括“十一”黄金周在内。全国疫情低风险地区游客，实 ​  展开全文c	2020年08月07日 11:54	1		1	https://weibo.com/1907083277/JeN8HuhPl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8HuhPl?uid=1907083277&rl=1
Horizonyyqx	6098941668	JeN8HatHl	#湖北A级景区对全国游客免门票#说的我一个湖北黄冈人都心动了！欢迎大家来湖北做客！ ​	2020年08月07日 11:54		评论		https://weibo.com/6098941668/JeN8HatHl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8HatHl?uid=6098941668&rl=1
河东检察	5587238042	JeN8x9SRl	【扩散周知！#湖北A级景区对全国游客免门票#】为答谢全国人民的真情关爱，从8月8日开始，湖北将举办“与爱同行惠游湖北”活动。湖北近400家A级旅游景区对全国游客免门票开放。活动将一直持续到今年年底，包括“十一”黄金周在内。全国疫情低风险地区游客，实名预约，测温、扫健康码后均可免门票进入。 ​  展开全文c	2020年08月07日 11:54		评论		https://weibo.com/5587238042/JeN8x9SRl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8x9SRl?uid=5587238042&rl=1
走四方119	1914288594	JeN8uczhA	#湖北A级景区对全国游客免门票#  ​​​魅力五峰！ 2宜昌 ​	2020年08月07日 11:54			3	https://weibo.com/1914288594/JeN8uczhA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8uczhA?uid=1914288594&rl=1
爱范儿	1642720480	JeN8qm0lt	【8 月 8 日起，#湖北A级景区对全国游客免门票#】湖北日报 8 月 7 日消息，湖北将举办「与爱同行 惠游湖北」活动，自 8 月 8 日起，湖北近 400 家 A 级旅游景区对全国游客免门票开放。活动将一直持续到 2020 年底，包括「十一」黄金周在内。全国疫情低风险地区游客，实名预约，测温、扫健康码后均可免 ​  展开全文c	2020年08月07日 11:54	7	11	18	https://weibo.com/1642720480/JeN8qm0lt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8qm0lt?uid=1642720480&rl=1
秦皇岛旅游文化发布	2119650641	JeN8pqzoT	【扩散周知！#湖北A级景区对全国游客免门票#】为答谢全国人民的真情关爱，从8月8日开始，湖北将举办“与爱同行惠游湖北”活动。湖北近400家A级旅游景区对全国游客免门票开放。活动将一直持续到今年年底，包括“十一”黄金周在内。全国疫情低风险地区游客，实名预约，测温、扫健康码后均可免门票进入。 ​	2020年08月07日 11:54		评论		https://weibo.com/2119650641/JeN8pqzoT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeN8pqzoT?uid=2119650641&rl=1
