用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
文明大兴	2646882747	JiBDHggi1	听说#湖南电信# 崩了？你的呢？ 你的呢？ ​	2020年09月01日 13:59	1		9	https://weibo.com/2646882747/JiBDHggi1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBDHggi1?uid=2646882747&rl=1
余生有张碧晨	5357768924	JiBD4dLGP	#湖南电信#也不知道为什么办公室就我的电脑打不开网站我是独立出来的网络？？？？？ ​	2020年09月01日 13:57		1		https://weibo.com/5357768924/JiBD4dLGP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBD4dLGP?uid=5357768924&rl=1
ZJ教跳跳糖唱歌吧	6079811156	JiBCLF2UN	#湖南电信#原来大家都以为自己欠费了 ​	2020年09月01日 13:57		评论		https://weibo.com/6079811156/JiBCLF2UN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBCLF2UN?uid=6079811156&rl=1
说你胖你就喘t	5526051559	JiBCj2Fw5	#湖南电信#难怪…我电脑死活连不上 ​	2020年09月01日 13:55		评论		https://weibo.com/5526051559/JiBCj2Fw5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBCj2Fw5?uid=5526051559&rl=1
好戏现在才开始	6021032646	JiBC4vtIy	#湖南电信#还有这回事儿？可能那时候我还没醒 ​	2020年09月01日 13:55		评论		https://weibo.com/6021032646/JiBC4vtIy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBC4vtIy?uid=6021032646&rl=1
Dear-我迪甜热热	6570601741	JiBBZ9cUe	#湖南电信#哈哈哈哈～难怪！！难怪我买火车票的时候，一直都查不出来，然后换个移动网一刷就刷出来了，当时还以为手机出问题了心痛啊～心疼我的💰 ​	2020年09月01日 13:55		评论		https://weibo.com/6570601741/JiBBZ9cUe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBBZ9cUe?uid=6570601741&rl=1
爱美女的头发思儿	2725467941	JiBBRxB5u	#湖南电信#我觉着重庆移动也有问题要不然就是我手机的问题 ​	2020年09月01日 13:54		评论		https://weibo.com/2725467941/JiBBRxB5u?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBBRxB5u?uid=2725467941&rl=1
我每天都很困aa	3967583912	JiBBDEfep	#湖南电信#tmd我手机和电脑来回重启了五次，只能发qq和微信消息，其他的应用都打不开，真懵逼了…还以为是手机系统出问题了，又升级到了ios14 ​	2020年09月01日 13:54		2		https://weibo.com/3967583912/JiBBDEfep?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBBDEfep?uid=3967583912&rl=1
人羣-	5510279801	JiBBwtisk	#湖南电信#啊我就说咋回事 图片加载不了网页也加载失败 不过现在已经ok了 ​	2020年09月01日 13:54			1	https://weibo.com/5510279801/JiBBwtisk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBBwtisk?uid=5510279801&rl=1
YSJALMS-xqmc佳佳哒哒哒	3597855694	JiBBs3y7D	#湖南电信#我们办公室所有人的电脑网页都打不开真是心态崩了 ​	2020年09月01日 13:53			3	https://weibo.com/3597855694/JiBBs3y7D?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiBBs3y7D?uid=3597855694&rl=1
