原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	青春金口河	2605220485	青春金口河:转发微博	赞[0]	2020-08-19 20:35:10	来自nova4e 3200W立体美颜
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	慧智来了	huizhilaile	慧智来了:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！#医生谢谢你#	赞[1]	2020-08-19 20:36:21	来自慧智卍官方Android
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	把酒临风_听暮蝉	6392189846	把酒临风_听暮蝉:转发微博	赞[0]	2020-08-19 20:36:19	来自iPhone客户端
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	女侠醒醒别困了	nvxiayizhangqing	女侠醒醒别困了:焦焦又恢复软软的了哈哈哈	赞[2]	2020-08-19 20:36:13	来自荣耀V10 我AI的快
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	东海边上一粒沙	2174323384	东海边上一粒沙:转发微博	赞[0]	2020-08-19 20:36:02	来自HUAWEI P30 Pro
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	用户7349174835	7349174835	用户7349174835:转发微博	赞[0]	2020-08-19 20:35:47	来自OPPO A9
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	024皇姑屯	1927726113	024皇姑屯:转发微博	赞[0]	2020-08-19 20:35:27	来自Redmi Note 8四摄
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	Hank__y	2372537287	Hank__y:转发微博	赞[0]	2020-08-19 20:38:20	来自iPhone客户端
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	用户7273171157	7273171157	用户7273171157:转发微博	赞[0]	2020-08-19 20:38:10	来自小米8 SE
央视新闻	:【#焦雅辉说希望理解医护不止在今天#】国家卫健委医政医管局监察专员焦雅辉曾驰援武汉。今天医师节，她说：“虽然做不到让所有医护都放假一天，但真心希望大家好好过个节，一顿平常的晚餐也好。希望天天都像今天一样，医务人员能得到理解和支持。其实他们不需要更多赞美，理解就好！”#医生谢谢你# 央视新闻的微博视频	2020-08-19 20:34:53    	_阿紫和和源	5341301411	_阿紫和和源:医护人员真的太不容易了，作为一个儿科护理人员真的感触颇深，真的希望大家能够多一点理解。	赞[0]	2020-08-19 20:38:09	来自iPhone客户端
