用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
唯飞啦	1438221067	JjFet6JtE	#特朗普公开攻击美军高层#干得漂亮 ​	2020年09月08日 12:58		评论		https://weibo.com/1438221067/JjFet6JtE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFet6JtE?uid=1438221067&rl=1
我是丑丑不孤单	6411194807	JjFegpjw0	#特朗普公开攻击美军高层#老特是商人啊，利益至上！至于这个言论，成功转移了自己与高层的矛盾，变成高层和普通军人及家属之间的矛盾。说不定还能收获选票。一举两得啊。 ​	2020年09月08日 12:58			9	https://weibo.com/6411194807/JjFegpjw0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFegpjw0?uid=6411194807&rl=1
羊村开扎古的男人	5974896585	JjFebmPDk	#特朗普公开攻击美军高层#感觉他要连任了！！！某登根本不是对手 ​	2020年09月08日 12:57		评论		https://weibo.com/5974896585/JjFebmPDk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFebmPDk?uid=5974896585&rl=1
江北检察	2972503342	JjFe5unJi	【前所未有公开攻击！特朗普批美军高层：只想打仗，让军火商“开心”】#特朗普公开攻击美军高层#“除了打仗，他们什么都不想做。”美国有线电视新闻网（CNN）称，特朗普当地时间7日对五角大楼高层发起了“前所未有的公开攻击”，指责美军高层只想打仗以提高国防工业承包商的利润。“我并不是说军人们 ​  展开全文c	2020年09月08日 12:57	1	9	6	https://weibo.com/2972503342/JjFe5unJi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFe5unJi?uid=2972503342&rl=1
白龙江林区检察	5648628585	JjFdNrMQD	#特朗普公开攻击美军高层#O前所未有公开攻击！特朗普批美军高层：只想打仗，让军火商“开心” @环视频 L环视频的微博视频 ​	2020年09月08日 12:56		评论		https://weibo.com/5648628585/JjFdNrMQD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFdNrMQD?uid=5648628585&rl=1
王小羽biu	6493355300	JjFdMubLJ	#特朗普公开攻击美军高层#牛哈哈哈哈哈哈哈哈实在顶流 ​	2020年09月08日 12:56		评论		https://weibo.com/6493355300/JjFdMubLJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFdMubLJ?uid=6493355300&rl=1
我是小丸子丶没心没肺ing	5708645716	JjFdLC32Q	#特朗普公开攻击美军高层#特朗普肯定觉得有他就行了，反正是无所不能的 ​	2020年09月08日 12:56		1	5	https://weibo.com/5708645716/JjFdLC32Q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFdLC32Q?uid=5708645716&rl=1
asanmeily	6334730943	JjFdG1rW7	#特朗普公开攻击美军高层#他真的玩票一手 2南宁 ​	2020年09月08日 12:56		评论		https://weibo.com/6334730943/JjFdG1rW7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFdG1rW7?uid=6334730943&rl=1
芝芝农农	5232414318	JjFdyAPUu	#特朗普公开攻击美军高层#笑死了 有点强哈哈哈哈哈 ​	2020年09月08日 12:56		评论		https://weibo.com/5232414318/JjFdyAPUu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFdyAPUu?uid=5232414318&rl=1
木丸居士	1269735961	JjFdsqNQK	#特朗普公开攻击美军高层#套路真复杂，怼天怼地的 L白羊悦心的微博视频 ​	2020年09月08日 12:56		评论		https://weibo.com/1269735961/JjFdsqNQK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFdsqNQK?uid=1269735961&rl=1
福建日报	3365993480	JjFcRaMzW	#特朗普公开攻击美军高层#【前所未有公开攻击！特朗普批美军高层：只想打仗，让军火商“开心”】“除了打仗，他们什么都不想做。”美国有线电视新闻网（CNN）称，特朗普当地时间7日对五角大楼高层发起了“前所未有的公开攻击”，指责美军高层只想打仗以提高国防工业承包商的利润。“我并不是说军人们 ​  展开全文c	2020年09月08日 12:54		1	3	https://weibo.com/3365993480/JjFcRaMzW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFcRaMzW?uid=3365993480&rl=1
部级同学园	6643802392	JjFcP6Jid	#特朗普公开攻击美军高层#哈哈又热搜了 ​	2020年09月08日 12:54		评论		https://weibo.com/6643802392/JjFcP6Jid?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFcP6Jid?uid=6643802392&rl=1
羊村开扎古的男人	5974896585	JjFciDxAu	#特朗普公开攻击美军高层#我特么感觉建国要连任了。拜登根本不是对手啊，可能前任大小布什之类的，根本不够他玩。 ​	2020年09月08日 12:53		评论		https://weibo.com/5974896585/JjFciDxAu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFciDxAu?uid=5974896585&rl=1
Helene-Go	3249838182	JjFc8kgkU	#特朗普公开攻击美军高层#他支持不打仗好像也没错呀不到万不得已还是不要有硝烟吧 ​	2020年09月08日 12:52		评论		https://weibo.com/3249838182/JjFc8kgkU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjFc8kgkU?uid=3249838182&rl=1
