用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
福建海博TV	2815224714	JgXvLu3ZH	【#特朗普紧急与班农切割#】当地时间8月20日，特朗普前高级战略顾问史蒂夫•班农，因涉嫌在网络筹款活动“我们来修墙”中欺骗数十万捐赠者而被捕。当天，特朗普回应称：“我有很长时间没有和班农打交道了，对那个项目一无所知。”20日下午，班农首次参加听证会，并申请无罪审判。目前班农已经被保释。  ​  展开全文c	2020年08月21日 17:59	3	1	1	https://weibo.com/2815224714/JgXvLu3ZH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXvLu3ZH?uid=2815224714&rl=1
是美女主啵霸	3155676261	JgXvfdeZS	#特朗普紧急与班农切割#冰清玉洁特朗普我不知道特朗普跟我没关系特朗普平平无奇搞笑博主特朗普罢了 ​	2020年08月21日 17:58			2	https://weibo.com/3155676261/JgXvfdeZS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXvfdeZS?uid=3155676261&rl=1
青春绍兴	5378505733	JgXtZi8v3	疯狂反华的前“白宫师爷”班农被捕，特朗普赶忙撇清关系：我对这个项目一无所知。（央视新闻）#特朗普紧急与班农切割# L辽宁共青团的微博视频 ​​​	2020年08月21日 17:55			5	https://weibo.com/5378505733/JgXtZi8v3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXtZi8v3?uid=5378505733&rl=1
哈尔滨政法	7340786255	JgXtV7MZO	【#特朗普紧急与班农切割#】当地时间8月20日，特朗普前高级战略顾问史蒂夫•班农，因涉嫌在网络筹款活动“我们来修墙”中欺骗数十万捐赠者而被捕。当天，特朗普回应称：“我有很长时间没有和班农打交道了，对那个项目一无所知。”20日下午，班农首次参加听证会，并申请无罪审判。目前班农已经被保释。  ​  展开全文c	2020年08月21日 17:55	1		1	https://weibo.com/7340786255/JgXtV7MZO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXtV7MZO?uid=7340786255&rl=1
四川魏静	2248834985	JgXty2IhP	【#特朗普紧急与班农切割#】当地时间8月20日，特朗普前高级战略顾问史蒂夫•班农，因涉嫌在网络筹款活动“我们来修墙”中欺骗数十万捐赠者而被捕。当天，特朗普回应称：“我有很长时间没有和班农打交道了，对那个项目一无所知。”20日下午，班农首次参加听证会，并申请无罪审判。目前班农已经被保释。 ​  展开全文c	2020年08月21日 17:54		评论		https://weibo.com/2248834985/JgXty2IhP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXty2IhP?uid=2248834985&rl=1
信息日报	1685336690	JgXtrwqLa	【#特朗普紧急与班农切割#】当地时间8月20日，特朗普前高级战略顾问史蒂夫•班农，因涉嫌在网络筹款活动“我们来修墙”中欺骗数十万捐赠者而被捕。当天，特朗普回应称：“我有很长时间没有和班农打交道了，对那个项目一无所知。”20日下午，班农首次参加听证会，并申请无罪审判。目前班农已经被保释。 ​  展开全文c	2020年08月21日 17:53	2		1	https://weibo.com/1685336690/JgXtrwqLa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXtrwqLa?uid=1685336690&rl=1
安徽反邪教	5964184998	JgXrNBV1t	【#特朗普紧急与班农切割#】当地时间8月20日，特朗普前高级战略顾问史蒂夫•班农，因涉嫌在网络筹款活动“我们来修墙”中欺骗数十万捐赠者而被捕。当天，特朗普回应称：“我有很长时间没有和班农打交道了，对那个项目一无所知。”20日下午，班农首次参加听证会，并申请无罪审判。目前班农已经被保释。  ​  展开全文c	2020年08月21日 17:49	49	46	46	https://weibo.com/5964184998/JgXrNBV1t?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXrNBV1t?uid=5964184998&rl=1
罗狮粉的御膳房	3316286287	JgXrN4WjO	#特朗普紧急与班农切割#哈哈哈哈，我差点看成了特朗普紧急班龙切割，我还在想要切啥呢！不过这操作果然很特朗普！ ​	2020年08月21日 17:49		2	3	https://weibo.com/3316286287/JgXrN4WjO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXrN4WjO?uid=3316286287&rl=1
塞尔维亚步小勇	6905679682	JgXrLyY6g	#特朗普紧急与班农切割# 特朗普说很久没和班农打交道了，我什么都不知道。不是懂王吗？你应该说，没有人比我更懂班农了，他可贪了不止这点钱。好无辜的样子，兄弟出点事跑得比兔子还快。其实不用这么紧张，把班农的500万美元保释金报销了，班农会说不认识你的，你丫谁啊？#近距离看全球# ​	2020年08月21日 17:49			6	https://weibo.com/6905679682/JgXrLyY6g?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXrLyY6g?uid=6905679682&rl=1
栾璞	1064975884	JgXrsD5Px	【#特朗普紧急与班农切割#】当地时间8月20日，特朗普前高级战略顾问史蒂夫•班农，因涉嫌在网络筹款活动“我们来修墙”中欺骗数十万捐赠者而被捕。当天，特朗普回应称：“我有很长时间没有和班农打交道了，对那个项目一无所知。”20日下午，班农首次参加听证会，并申请无罪审判。目前班农已经被保释。  ​  展开全文c	2020年08月21日 17:49		评论		https://weibo.com/1064975884/JgXrsD5Px?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXrsD5Px?uid=1064975884&rl=1
Tiffany就是我	2440085024	JgXqv0eCM	#特朗普紧急与班农切割# 冰清玉洁特朗普，一无所知特没谱。 ​	2020年08月21日 17:46		评论		https://weibo.com/2440085024/JgXqv0eCM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXqv0eCM?uid=2440085024&rl=1
蓦默陌沫	6427939726	JgXqr9Hdi	#特朗普紧急与班农切割#不愧是您特朗普只有我们想不到，绝没您做不到的 ​	2020年08月21日 17:46			1	https://weibo.com/6427939726/JgXqr9Hdi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXqr9Hdi?uid=6427939726&rl=1
月光寻源記	6157325453	JgXqiuZi8	#特朗普紧急与班农切割#说得我都笑了 ​	2020年08月21日 17:46		评论		https://weibo.com/6157325453/JgXqiuZi8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXqiuZi8?uid=6157325453&rl=1
邵阳共青团	2557906954	JgXpKAtiD	#特朗普紧急与班农切割#疯狂反华的前“白宫师爷”班农被捕，特朗普赶忙撇清关系：我对这个项目一无所知。#团团看世界# （央视新闻） L青年湖南的微博视频 ​​​	2020年08月21日 17:44		评论		https://weibo.com/2557906954/JgXpKAtiD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXpKAtiD?uid=2557906954&rl=1
聚焦湖湘	3199549951	JgXpfcSET	【#特朗普紧急与班农切割#】当地时间8月20日，特朗普前高级战略顾问史蒂夫•班农，因涉嫌在网络筹款活动“我们来修墙”中欺骗数十万捐赠者而被捕。当天，特朗普回应称：“我有很长时间没有和班农打交道了，对那个项目一无所知。”20日下午，班农首次参加听证会，并申请无罪审判。目前班农已经被保释。  ​  展开全文c	2020年08月21日 17:43		评论		https://weibo.com/3199549951/JgXpfcSET?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXpfcSET?uid=3199549951&rl=1
