用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
Promiscuousyouth柏得溫	7327831534	JkV15kS4f	#瑞丽已完成核酸检测全部为阴性#你这个标题起的有歧义啊 原文说 目前已完成核酸检测13182人 全部为阴性。 ​	2020年09月16日 18:59			3	https://weibo.com/7327831534/JkV15kS4f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkV15kS4f?uid=7327831534&rl=1
北京时间证劵TIME	5925617199	JkV0KjRIY	【#瑞丽已完成核酸检测全部为阴性#】9月16日下午，瑞丽市新冠肺炎疫情防控新闻发布会（第三场）介绍了瑞丽市最新疫情防控情况。据悉，瑞丽市启动全员核酸检测以来，共有16支队伍1196人投入采样和实验室检测工作，全市划分为554个网格，设置采样点360个，进行全天候不间断核酸检测采样工作，同时每个网 ​  展开全文c	2020年09月16日 18:58			2	https://weibo.com/5925617199/JkV0KjRIY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkV0KjRIY?uid=5925617199&rl=1
橘味珍朱奶茶	5661259731	JkUZU2Yux	#瑞丽已完成核酸检测全部为阴性#中国速度！暂时不能掉以轻心 希望检测结果全部准确 都能平安无事 ​	2020年09月16日 18:56		评论		https://weibo.com/5661259731/JkUZU2Yux?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkUZU2Yux?uid=5661259731&rl=1
周李城	2109287495	JkUYjgO3T	截至目前，共有来自四川省核酸检测队，云南省疾控中心、寄防所、地病所、急救中心和保山市、大理州、丽江市等8支队伍632人，支援瑞丽市开展核酸采样、转运、检测等工作。同时，从德宏州州级医疗卫生机构和其他县市抽调564名医务人员支援瑞丽市核酸采样工作。#瑞丽已完成核酸检测全部为阴性#  ​	2020年09月16日 18:52	2	5	3	https://weibo.com/2109287495/JkUYjgO3T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkUYjgO3T?uid=2109287495&rl=1
郑州日报	2716593467	JkUX815RP	【#瑞丽已完成核酸检测全部为阴性#】9月16日下午，记者从瑞丽市新冠肺炎疫情防控新闻发布会（第三场）获悉，截至目前，瑞丽市共诊断2例新冠肺炎确诊病例，均为缅甸输入。自9月12日以来，在国家、省、州指挥部和兄弟县市的驰援帮助下，瑞丽市核酸检测实验室从2个增加到12个，其中移动实验室2个，第三方 ​  展开全文c	2020年09月16日 18:50			1	https://weibo.com/2716593467/JkUX815RP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkUX815RP?uid=2716593467&rl=1
北京通州大峰	5816161945	JkUWP6p1V	【#瑞丽已完成核酸检测全部为阴性#】9月16日下午，记者从瑞丽市新冠肺炎疫情防控新闻发布会（第三场）获悉，截至目前，瑞丽市共诊断2例新冠肺炎确诊病例，均为缅甸输入。自9月12日以来，在国家、省、州指挥部和兄弟县市的驰援帮助下，瑞丽市核酸检测实验室从2个增加到12个，其中移动实验室2个，第三方 ​  展开全文c	2020年09月16日 18:49	3		1	https://weibo.com/5816161945/JkUWP6p1V?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkUWP6p1V?uid=5816161945&rl=1
重庆晚报	1774259814	JkUVH7MaF	【#瑞丽已完成核酸检测全部为阴性#】9月16日下午，记者从瑞丽市新冠肺炎疫情防控新闻发布会（第三场）获悉，截至目前，瑞丽市共诊断2例新冠肺炎确诊病例，均为缅甸输入。自9月12日以来，在国家、省、州指挥部和兄弟县市的驰援帮助下，瑞丽市核酸检测实验室从2个增加到12个，其中移动实验室2个，第三方 ​  展开全文c	2020年09月16日 18:46	1		3	https://weibo.com/1774259814/JkUVH7MaF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkUVH7MaF?uid=1774259814&rl=1
贵阳交通广播	1750349224	JkUV51OYz	【#瑞丽已完成核酸检测全部为阴性#】9月16日下午，记者从瑞丽市新冠肺炎疫情防控新闻发布会（第三场）获悉，截至目前，瑞丽市共诊断2例新冠肺炎确诊病例，均为缅甸输入。自9月12日以来，在国家、省、州指挥部和兄弟县市的驰援帮助下，瑞丽市核酸检测实验室从2个增加到12个，其中移动实验室2个，第三方 ​  展开全文c	2020年09月16日 18:45		评论		https://weibo.com/1750349224/JkUV51OYz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkUV51OYz?uid=1750349224&rl=1
北京日报	1893892941	JkUUJ4iy8	【#瑞丽已完成核酸检测全部为阴性#】9月16日下午，瑞丽市新冠肺炎疫情防控新闻发布会（第三场）介绍了瑞丽市最新疫情防控情况。据悉，瑞丽市启动全员核酸检测以来，共有16支队伍1196人投入采样和实验室检测工作，全市划分为554个网格，设置采样点360个，进行全天候不间断核酸检测采样工作，同时每个网 ​  展开全文c	2020年09月16日 18:44	5	6	20	https://weibo.com/1893892941/JkUUJ4iy8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkUUJ4iy8?uid=1893892941&rl=1
钟山清风	2942982592	JkUUwnZKF	【#瑞丽已完成核酸检测全部为阴性#】9月16日下午，记者从瑞丽市新冠肺炎疫情防控新闻发布会（第三场）获悉，截至目前，瑞丽市共诊断2例新冠肺炎确诊病例，均为缅甸输入。自9月12日以来，在国家、省、州指挥部和兄弟县市的驰援帮助下，瑞丽市核酸检测实验室从2个增加到12个，其中移动实验室2个，第三方 ​  展开全文c	2020年09月16日 18:43	5	6	1	https://weibo.com/2942982592/JkUUwnZKF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkUUwnZKF?uid=2942982592&rl=1
