用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
·忆然团子·	6334402644	JgbckaAqX	#管栎男子射箭冠军#管栎就是坠吊的！！！ ​	2020年08月16日 14:59		评论		https://weibo.com/6334402644/JgbckaAqX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgbckaAqX?uid=6334402644&rl=1
琳达gldaipxh	5422225116	JgbcjbRZ9	#管栎男子射箭冠军#🌙呜呜呜我太开心了，宝贝好棒！！我好骄傲啊！努力是会有回报的！@UNINE_管栎 ​	2020年08月16日 14:59			2	https://weibo.com/5422225116/JgbcjbRZ9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgbcjbRZ9?uid=5422225116&rl=1
草莓味的筱雨1106	7339449708	JgbciAdFU	UNINE#管栎 超新星运动会##管栎男子射箭冠军# 管老师太棒了努力都会有收货 ​	2020年08月16日 14:59			19	https://weibo.com/7339449708/JgbciAdFU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgbciAdFU?uid=7339449708&rl=1
Criisty	2758892901	JgbciAcUD	#管栎男子射箭冠军#今年是有金牌的了！管栎棒棒！ ​	2020年08月16日 14:59		评论		https://weibo.com/2758892901/JgbciAcUD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgbciAcUD?uid=2758892901&rl=1
管栎最爱的火锅	7480718798	Jgbchb4PG	#管栎男子射箭冠军#优秀的男孩子谁不喜欢@UNINE_管栎 ​	2020年08月16日 14:59		评论		https://weibo.com/7480718798/Jgbchb4PG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbchb4PG?uid=7480718798&rl=1
·星糖柚冰·	6604713516	Jgbcgk35C	#管栎男子射箭冠军# 果然努力就会有收获🎉新晋大魔王👑@UNINE_管栎 永远是我的骄傲 ​​​	2020年08月16日 14:59		1	2	https://weibo.com/6604713516/Jgbcgk35C?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbcgk35C?uid=6604713516&rl=1
PCY是我的小宝贝	6737375660	JgbcgewSD	#管栎男子射箭冠军#越努力，越优秀！ ​	2020年08月16日 14:59		评论		https://weibo.com/6737375660/JgbcgewSD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgbcgewSD?uid=6737375660&rl=1
66dashunn	5643546795	Jgbcg1kGH	#管栎男子射箭冠军# 进步不是一条笔直的过程，而是螺旋形的路径，时而前进，时而折回，停滞后又前进，有失有得，有付出也有收获，在不利和艰难的环境中百折不挠，继续进步 ​	2020年08月16日 14:59		4	9	https://weibo.com/5643546795/Jgbcg1kGH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbcg1kGH?uid=5643546795&rl=1
温祁_qi	6412889485	JgbcdEjsx	#管栎男子射箭冠军#他只是立了一个flag，就拿了一块儿金牌，栎栎太棒了！ ​	2020年08月16日 14:59		评论		https://weibo.com/6412889485/JgbcdEjsx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgbcdEjsx?uid=6412889485&rl=1
我爱学习0116	7084557623	Jgbcd2VLt	#管栎男子射箭冠军#这就是偶像的意义啊，努力真的会有回报@UNINE_管栎 ​	2020年08月16日 14:59		评论		https://weibo.com/7084557623/Jgbcd2VLt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbcd2VLt?uid=7084557623&rl=1
街口眺望10644	7047997442	Jgbc7s5pQ	#管栎男子射箭冠军#太帅了 努力终有回报的 ​	2020年08月16日 14:59		评论		https://weibo.com/7047997442/Jgbc7s5pQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbc7s5pQ?uid=7047997442&rl=1
可口可乐	1795839430	Jgbc7s5wk	#小可超新星 独家现场# 真·心跳现场！@UNINE_管栎 ​夺冠告诉我们，Flag立的好，冠军准没跑哈哈哈哈~6箭57环夺冠，一次完美的逆袭！期待接下来比赛的运动员们，也能有同样的出色发挥~小可和管栎小哥哥用可口可乐，在现场为他们打call！#畅爽好喝 让夏天更带劲# #超新星运动会# #管栎男子射箭冠军# ​	2020年08月16日 14:59	31	6	41	https://weibo.com/1795839430/Jgbc7s5wk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbc7s5wk?uid=1795839430&rl=1
管栎最爱的火锅	7480718798	Jgbc4daJb	#管栎男子射箭冠军#管栎太厉害了@UNINE_管栎 ​	2020年08月16日 14:59		评论		https://weibo.com/7480718798/Jgbc4daJb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbc4daJb?uid=7480718798&rl=1
MrsJH栎	6992876021	Jgbc47I4U	#管栎男子射箭冠军#管栎你也太棒了吧！！！@UNINE_管栎 ​	2020年08月16日 14:59			1	https://weibo.com/6992876021/Jgbc47I4U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbc47I4U?uid=6992876021&rl=1
用户7247493642	7247493642	Jgbc26Tt6	#管栎男子射箭冠军#努力总会有回报的😭 😭 ​	2020年08月16日 14:59		评论		https://weibo.com/7247493642/Jgbc26Tt6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbc26Tt6?uid=7247493642&rl=1
-胡杨絮语-	6390917588	Jgbc0D93T	#管栎男子射箭冠军#上rs了啊啊啊啊啊啊啊，努力是会有回报的@UNINE_管栎 ​	2020年08月16日 14:59		评论		https://weibo.com/6390917588/Jgbc0D93T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgbc0D93T?uid=6390917588&rl=1
柿子都给我吃光	6032989981	JgbbZnUxa	#管栎男子射箭冠军#在这个档口 不安利恐怕都不合适吧！这样一张脸 这么优秀一个男孩子！不容错过！！ ​	2020年08月16日 14:59			4	https://weibo.com/6032989981/JgbbZnUxa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgbbZnUxa?uid=6032989981&rl=1
