原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	曹县法律服务	1764059695	曹县法律服务:转发微博	赞[0]	2020-08-23 07:10:28	来自vivo Z5全面实力派
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	用户7388973695	7388973695	用户7388973695:转发微博	赞[0]	2020-08-23 07:12:47	来自nova4e 3200W立体美颜
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	明如旅游	5406886388	明如旅游:转发微博	赞[1]	2020-08-23 07:12:43	来自OPPO R9s
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	易华勇002	7494518276	易华勇002:转发微博	赞[0]	2020-08-23 07:12:07	来自小米10 Pro
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	老虎6358	6177529511	老虎6358:转发微博	赞[0]	2020-08-23 07:11:53	来自小米9 透明尊享版
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	乐侠002	5252477189	乐侠002:转发微博	赞[0]	2020-08-23 07:14:39	来自Android
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	wvw555	1472642453	wvw555:转发微博	赞[0]	2020-08-23 07:14:14	来自Redmi Note 7 Pro
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	乐观419226	3608408171	乐观419226:转发微博	赞[0]	2020-08-23 07:14:07	来自HUAWEI nova 2s
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	用户5695794510	5695794510	用户5695794510://@阴阳与五行:“民主”的常态！	赞[0]	2020-08-23 07:13:53	来自荣耀Play 让快更快
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	爱折腾的张君7087	6561816677	爱折腾的张君7087:转发微博	赞[0]	2020-08-23 07:13:34	来自HUAWEI Mate 10 Pro
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	纯真的赵闪闪	3115243477	纯真的赵闪闪:转发微博	赞[0]	2020-08-23 07:13:26	来自vivo智能手机
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	搜房网官网	5632455771	搜房网官网:纽约周末发生多起枪击案  	赞[0]	2020-08-23 07:17:27	来自nova7你在焦点在
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	Ms招财进宝喵大仙2021	pzjewelry	Ms招财进宝喵大仙2021:转发微博	赞[0]	2020-08-23 07:16:58	来自Android
央视新闻	:【美国#纽约周末发生多起枪击案#，已致1死7伤】据美国纽约警方消息，当地时间21日晚间至22日凌晨，警方共接到至少6起与枪击关联的报案，案件发生在纽约哈林区、布朗克斯区、布鲁克林区等地。目前，这几起枪击案已致7人受伤，1人因伤势过重而死亡，案件正在调查当中。（央视记者许弢 许骁） 	2020-08-23 07:10:14    	草原凤凰阳阳	2083886737	草原凤凰阳阳:转发微博	赞[0]	2020-08-23 07:16:16	来自荣耀20
