用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
每日咀嚼运动	6518510891	JcOYmrJWf	#罗伯森时隔30个月复出#好久不见好久不见 又恍惚了 雷霆三巨头也…哎 ​	2020年07月25日 12:54		评论		https://weibo.com/6518510891/JcOYmrJWf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOYmrJWf?uid=6518510891&rl=1
我叫小李飞冰你说对吗-	7299021968	JcOXMar3B	#罗伯森时隔30个月复出#论一个爱吃的人有多可怕看到这个热搜第一眼看成“罗森时隔...复出”我还在罗森为啥要复出啊之前关店了？？？我爱罗森里的树莓小蛋糕 ​	2020年07月25日 12:52		2		https://weibo.com/7299021968/JcOXMar3B?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOXMar3B?uid=7299021968&rl=1
欧超联赛雷总推荐	1842094851	JcOTL07k5	#罗伯森时隔30个月复出#能看得出来，这两年恢复得不错，老球迷真的是老泪众横，NBA分析预测 ​	2020年07月25日 12:42		1	3	https://weibo.com/1842094851/JcOTL07k5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOTL07k5?uid=1842094851&rl=1
体育章鱼哥	3567974090	JcOTKbfp0	罗伯森回归首秀集锦！出战12分钟，得到5分2板1抢断1盖帽！2018年1月28日，罗伯森在比赛中遭遇左腿髌韧带撕裂，随后的两年中一直在恢复！时隔909天，他，终于回来了！#罗伯森时隔30个月复出##nba全心开启# LNBA的微博视频 ​	2020年07月25日 12:42	4	4	22	https://weibo.com/3567974090/JcOTKbfp0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOTKbfp0?uid=3567974090&rl=1
火狐电竞主页君	7351363063	JcOTl24PJ	终于复出了！多诺万带领全队欢迎罗伯森回归，如果恢复的好，雷霆的防守挺吓人呀#罗伯森时隔30个月复出# L火狐电竞官方的微博视频 ​	2020年07月25日 12:41	12	15	15	https://weibo.com/7351363063/JcOTl24PJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOTl24PJ?uid=7351363063&rl=1
世海独狼	1165783210	JcOTkFQFP	#罗伯森时隔30个月复出#网友：森迷们终于等到了，终于可以看到#罗伯森#赛场上的威武霸气的身影了，900何日日夜夜…… ​	2020年07月25日 12:41		评论		https://weibo.com/1165783210/JcOTkFQFP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOTkFQFP?uid=1165783210&rl=1
口袋里都是星星	5502305964	JcOT03i4K	#罗伯森时隔30个月复出#909天的等待，萝卜终于回归！加油，Dre！⚡️🏆 ​	2020年07月25日 12:40		评论		https://weibo.com/5502305964/JcOT03i4K?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOT03i4K?uid=5502305964&rl=1
詹老头子	5414220409	JcORViwEZ	今日凯尔特人对战雷霆精彩集锦，罗伯森久违30个月，终于复出#罗伯森时隔30个月复出# L詹老头子的微博视频 ​	2020年07月25日 12:38	3	1	15	https://weibo.com/5414220409/JcORViwEZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcORViwEZ?uid=5414220409&rl=1
布兰登英格拉姆资讯	5329262329	JcOQngspF	#罗伯森时隔30个月复出#距离罗伯森上一次出现在赛场上，已经过去了909天。罗伯森回归首秀，本场比赛罗伯森出战12分钟，得到5分2板1抢断1盖帽。#NBA##nba全心开启#nba吐槽大会 L布兰登英格拉姆资讯的微博视频 ​	2020年07月25日 12:34	2	3	55	https://weibo.com/5329262329/JcOQngspF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOQngspF?uid=5329262329&rl=1
解说员佳俊	1346584871	JcOPE51FW	#罗伯森时隔30个月复出# 2018年1月28日罗伯森在一场比赛中左腿髌韧带撕裂，随后的这两年中一直都在恢复身体，时隔909天的罗伯森在今天的热身赛重返NBA赛场，他篮下抛投得分后又三分命中，加油  L大赛型球迷的微博视频 ​	2020年07月25日 12:32	7	8	17	https://weibo.com/1346584871/JcOPE51FW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcOPE51FW?uid=1346584871&rl=1
