原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	beliallisa	beliallisa	beliallisa:看看人家恩爱秀的	赞[0]	2020-07-30 09:02:06	来自iPhone XS Max
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	可爱仙草冻	6984397334	可爱仙草冻:主要唐嫣太好看了 怎么拍都好看	赞[0]	2020-07-30 15:47:55	来自Android
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	可爱仙草冻	6984397334	可爱仙草冻:唐嫣太美啦//@仙渡瑞佧:大美女啊 怎么照都好看	赞[0]	2020-07-30 15:47:19	来自Android
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	每天不做梦	3952712898	每天不做梦:唐嫣罗晋珠联璧合，唐嫣和valentino相得益彰	赞[0]	2020-07-30 15:25:55	来自努比亚miniS
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	茉莉JYmyshine	6444972519	茉莉JYmyshine:#罗晋镜头下的唐嫣# 	赞[0]	2020-07-30 15:04:07	来自vivo X23全息幻彩
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	11301206简单让我快乐	6191298874	11301206简单让我快乐:#罗晋镜头下的唐嫣# 散发迷人的魅力！状态真好！好有范罗摄影师厉害👍👍👍技术杠杠的天作之合！完美！美好的爱情值得值得祝福	赞[0]	2020-07-30 14:43:40	来自iPhone 6s Plus
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	JY蜜糖JY	5331909496	JY蜜糖JY:转发微博	赞[0]	2020-07-30 14:40:10	来自荣耀 9X
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	贝尔的糖葫芦99	6819286849	贝尔的糖葫芦99:转发微博	赞[0]	2020-07-30 14:36:41	来自华为手机
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	jl木槿糖	6422615889	jl木槿糖:超美，超甜	赞[3]	2020-07-30 13:45:57	来自
凤凰网娱乐	:【#罗晋镜头下的唐嫣#】29日，#唐嫣[超话]# 分享了老公罗晋为她拍摄的一组写真，并发文：“摄影师@罗晋 ，可以哦👍  ”随后罗晋也在自己的社交平台盖章摄影师身份，还在评论中调侃唐嫣：“你发的没有我发的好看。”今日份的狗粮已经送到，此处要不要艾特你们的男朋友进来学一下拍照[doge] 	2020-07-30 08:49:43    	可爱仙草冻	6984397334	可爱仙草冻://@可爱仙草冻:是valentino品牌宣传图啦唐嫣是真的太美了港风大美人	赞[0]	2020-07-30 17:20:56	来自Android
