用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
花花予-婷婷	3800938121	Je0QZ6IDI	#美国24小时新增新冠超6万人# 疫情数据证明全世界都对美国都很包容，包括美国人自己。全世界都对中国很严苛，很针对，包括中国人自己。#中国红灸商学院# 但结果事实证明，纵容就是犯罪，严肃抗疫才是正道！🙏🙏🙏  ​	2020年08月02日 08:59			1	https://weibo.com/3800938121/Je0QZ6IDI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0QZ6IDI?uid=3800938121&rl=1
乌兰浩特政法	6579033207	Je0QmjDKI	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。（央视） ​	2020年08月02日 08:57	2	4	6	https://weibo.com/6579033207/Je0QmjDKI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0QmjDKI?uid=6579033207&rl=1
法治四川	1897723622	Je0PQ7c41	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。（央视记者徐德智） ​@央视新闻 ​	2020年08月02日 08:56	4		1	https://weibo.com/1897723622/Je0PQ7c41?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0PQ7c41?uid=1897723622&rl=1
慢慢摸摸脾气	6351505832	Je0PabLYN	#美国24小时新增新冠超6万人#为啥感觉死亡人数不止这个数，都460多万人确诊了。 ​	2020年08月02日 08:54		评论		https://weibo.com/6351505832/Je0PabLYN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0PabLYN?uid=6351505832&rl=1
扬州房天下	2827306484	Je0OZhY7L	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。 ​	2020年08月02日 08:54		评论		https://weibo.com/2827306484/Je0OZhY7L?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0OZhY7L?uid=2827306484&rl=1
我坚守自己的内心	3249450905	Je0OanZOO	#美国24小时新增新冠超6万人#希望哪天变成新增死亡超6万 2海城市 ​	2020年08月02日 08:52		评论		https://weibo.com/3249450905/Je0OanZOO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0OanZOO?uid=3249450905&rl=1
Euphoria蓝月亮	6546580825	Je0NRcNYs	#美国24小时新增新冠超6万人#真的想问一句特朗普，白宫采取过什么措施去防疫吗……感染人数在上升……对他来说这就是数字而已嘛……… ​	2020年08月02日 08:51		评论		https://weibo.com/6546580825/Je0NRcNYs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0NRcNYs?uid=6546580825&rl=1
财经961	2208511471	Je0NQ32r6	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。（央视） ​​​​	2020年08月02日 08:51			1	https://weibo.com/2208511471/Je0NQ32r6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0NQ32r6?uid=2208511471&rl=1
邱天道	2964767992	Je0NMrU2l	#美国24小时新增新冠超6万人# 疫情数据证明全世界都对美国都很包容，包括美国人自己。全世界都对中国很严苛，很针对，包括中国人自己。#中国红灸商学院# 但结果事实证明，纵容就是犯罪，严肃抗疫才是正道！🙏🙏🙏 2新乡·绿都・塞纳春天 ​	2020年08月02日 08:51	1	10	6	https://weibo.com/2964767992/Je0NMrU2l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0NMrU2l?uid=2964767992&rl=1
婺源发布	5786884150	Je0NLAQP9	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。（央视记者徐德智） ​	2020年08月02日 08:51	1	1	3	https://weibo.com/5786884150/Je0NLAQP9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0NLAQP9?uid=5786884150&rl=1
北仑检察	3460580442	Je0NJyXzq	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。（央视记者徐德智） ​	2020年08月02日 08:51		评论		https://weibo.com/3460580442/Je0NJyXzq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0NJyXzq?uid=3460580442&rl=1
百姓一时间	1990101450	Je0NygXRR	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。（央视新闻） ​	2020年08月02日 08:50		评论		https://weibo.com/1990101450/Je0NygXRR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0NygXRR?uid=1990101450&rl=1
张维奇	1802636722	Je0NrcA9j	#美国24小时新增新冠超6万人##美国新冠肺炎超460万例#据约翰斯·霍普金斯大学统计，截至8月1日17：34，美国累计新冠肺炎确诊病例4603204例，8月1日17：34，美国24小时新增确诊病例60584例。这样的新增节奏持续下去，在八月底：美国的新冠肺炎会不会超过500万例？ 美国的新冠肺炎会不会超过500万例？ ​	2020年08月02日 08:50			10	https://weibo.com/1802636722/Je0NrcA9j?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0NrcA9j?uid=1802636722&rl=1
山东交警	1943128881	Je0MVCDRH	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。（央视记者徐德智） ​​​	2020年08月02日 08:49	2	1		https://weibo.com/1943128881/Je0MVCDRH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0MVCDRH?uid=1943128881&rl=1
微微万象民生直通车A	1791010393	Je0MfnsqW	#美国24小时新增新冠超6万人#【#美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊病例60584例，新增死亡1046例。 ​	2020年08月02日 08:47		评论		https://weibo.com/1791010393/Je0MfnsqW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0MfnsqW?uid=1791010393&rl=1
鄂尔多斯日报	2294220693	Je0M8whmb	【如何才能警醒美政府？#美众议员故意问福奇一堆可笑问题#】“注射消毒剂或漂白剂有用吗？”“新冠疫情是场骗局吗？”……7月31日，美国众议员杰米•拉斯金向流行病学家福奇提出一串“可笑”问题。事后他回应，希望以此澄清关于疫情的虚假信息；他喊话美国政府，别再“甩锅中国”了，无视误导大众的言 ​  展开全文c	2020年08月02日 08:47		1	1	https://weibo.com/2294220693/Je0M8whmb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0M8whmb?uid=2294220693&rl=1
商业地产运营	1563042101	Je0M1rVwb	【#美国24小时新增新冠超6万人##美国新冠肺炎超460万例#】据美国约翰斯·霍普金斯大学统计系统，截至美东时间8月1日17时34分，美国累计新冠肺炎确诊病例4603204例，累计死亡 153986例。7月31日17：55至8月1日17：34，美国新增确诊60584例，新增死亡1046例。【#全球疫情#】 L·__残梦的微博视频 ​	2020年08月02日 08:47		评论		https://weibo.com/1563042101/Je0M1rVwb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0M1rVwb?uid=1563042101&rl=1
手机上的新浪	1712686623	Je0LXiEML	【如何才能警醒美政府？#美众议员故意问福奇一堆可笑问题#】“注射消毒剂或漂白剂有用吗？”“新冠疫情是场骗局吗？”……7月31日，美国众议员杰米•拉斯金向流行病学家福奇提出一串“可笑”问题。事后他回应，希望以此澄清关于疫情的虚假信息；他喊话美国政府，别再“甩锅中国”了，无视误导大众的言 ​  展开全文c	2020年08月02日 08:46	1	1	5	https://weibo.com/1712686623/Je0LXiEML?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0LXiEML?uid=1712686623&rl=1
Qing	1154814271	Je0LX3h4i	【如何才能警醒美政府？#美众议员故意问福奇一堆可笑问题#】“注射消毒剂或漂白剂有用吗？”“新冠疫情是场骗局吗？”……7月31日，美国众议员杰米•拉斯金向流行病学家福奇提出一串“可笑”问题。事后他回应，希望以此澄清关于疫情的虚假信息；他喊话美国政府，别再“甩锅中国”了，无视误导大众的言 ​  展开全文c	2020年08月02日 08:46	1	1	1	https://weibo.com/1154814271/Je0LX3h4i?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0LX3h4i?uid=1154814271&rl=1
全球新闻眼	2925141777	Je0LX2ano	【如何才能警醒美政府？#美众议员故意问福奇一堆可笑问题#】“注射消毒剂或漂白剂有用吗？”“新冠疫情是场骗局吗？”……7月31日，美国众议员杰米•拉斯金向流行病学家福奇提出一串“可笑”问题。事后他回应，希望以此澄清关于疫情的虚假信息；他喊话美国政府，别再“甩锅中国”了，无视误导大众的言 ​  展开全文c	2020年08月02日 08:46			2	https://weibo.com/2925141777/Je0LX2ano?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je0LX2ano?uid=2925141777&rl=1
