原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	郊区防邪	6510578024	郊区防邪:转发微博	赞[0]	2020-07-18 11:20:39	来自HUAWEI Mate 10 Pro
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	黟县宣传之6	6437965132	黟县宣传之6:#美国加州幼儿园已报告近1000例确诊#	赞[0]	2020-07-18 16:19:13	来自360安全浏览器
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	长安响肠	7426455581	长安响肠:#美国加州幼儿园已报告近1000例确诊#	赞[0]	2020-07-18 15:04:04	来自360安全浏览器
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	城东清韵	6678844295	城东清韵:🙏🙏🙏	赞[0]	2020-07-18 14:56:09	来自iPhone客户端
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	涡阳防邪	7240749757	涡阳防邪:转发微博	赞[0]	2020-07-18 14:23:57	来自iPhone客户端
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	埇桥反邪教	6399802806	埇桥反邪教:转发微博	赞[0]	2020-07-18 13:41:52	来自nova4自拍极点全面屏
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	相山区政法委	5492734072	相山区政法委:转发微博	赞[0]	2020-07-18 13:06:22	来自iPhone客户端
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	黄山反邪教	3134925031	黄山反邪教:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。	赞[0]	2020-07-18 12:59:47	来自搜狗高速浏览器
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	太平政法	7020173506	太平政法:转发微博	赞[0]	2020-07-18 12:46:45	来自HUAWEI nova 3
安徽反邪教	:【#美国加州幼儿园已报告近1000例确诊#】美媒当地时间17日报道称，据加州社会服务部数据显示，7月9日至7月12日，美国加州幼儿园新冠确诊病例增加了12.1%，发现确诊的幼儿园主要遍布北加州湾区的9个县。目前，加州幼儿园共确诊998例，其中患者包括老师、学生、家长。确诊数字仍在攀升中。（央视） 	2020-07-18 09:52:53    	长安古坊	7432719442	长安古坊:转发微博	赞[0]	2020-07-18 12:08:49	来自nova7你在焦点在
