用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
平安温州	1663933725	JcnUblcIu	【#美国阿拉斯加州以南海域7.8级地震#】中国地震台网正式测定：07月22日14时12分在美国阿拉斯加州以南海域（北纬55.05度，西经158.50度）发生7.8级地震，震源深度10千米。 ​	2020年07月22日 15:59	1	4	7	https://weibo.com/1663933725/JcnUblcIu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnUblcIu?uid=1663933725&rl=1
都江堰司法	5043101733	JcnTQ1uc5	【#美国阿拉斯加州以南海域7.8级地震#】中国地震台网正式测定：7月22日14时12分在美国阿拉斯加州以南海域（北纬55.05度，西经158.50度）发生7.8级地震，震源深度10千米。地震来时如何躲避？如何自救？地震逃生手册↓戳图，这些知识你得知道！​​​​​#安全知识# （天津消防） ​	2020年07月22日 15:58			1	https://weibo.com/5043101733/JcnTQ1uc5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnTQ1uc5?uid=5043101733&rl=1
930老友记	1912715061	JcnSH4aq8	【#美国阿拉斯加发布海啸预警#，岸边可见数十米巨浪】#美国阿拉斯加州以南海域7.8级地震# 据中国地震台网正式测定，北京时间7月22日14时12分（当地时间7月21日19时12分）在美国阿拉斯加州以南海域发生7.8级地震，震源深度10千米。此次地震已触发海啸预警，现场可以看到数十米巨浪。 #930新闻眼#  ​  展开全文c	2020年07月22日 15:56	1		2	https://weibo.com/1912715061/JcnSH4aq8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnSH4aq8?uid=1912715061&rl=1
共青团黔南州委	1069649113	JcnSulE8o	【#美国阿拉斯加州以南海域7.8级地震#】中国地震台网正式测定：07月22日14时12分在美国阿拉斯加州以南海域（北纬55.05度，西经158.50度）发生7.8级地震，震源深度10千米。 ​地震了？如何第一时间科学避震？ L四川共青团的秒拍视频 ​​​	2020年07月22日 15:55		评论		https://weibo.com/1069649113/JcnSulE8o?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnSulE8o?uid=1069649113&rl=1
西安中院	3911617807	JcnSmmWUo	#微提醒# 【地震自救逃生必备技能】#美国阿拉斯加州以南海域7.8级地震# 愿平安！地震发生时如何避险？这些常识务必掌握！转发扩散！@四川消防 ​	2020年07月22日 15:55		8	3	https://weibo.com/3911617807/JcnSmmWUo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnSmmWUo?uid=3911617807&rl=1
都江堰司法	5043101733	JcnSmpakb	#安全知识# 【地震自救知识 | 地震来时，我们该如何躲避？如何自救？】（中国消防）#美国阿拉斯加州以南海域7.8级地震# ​​​	2020年07月22日 15:55			2	https://weibo.com/5043101733/JcnSmpakb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnSmpakb?uid=5043101733&rl=1
上海青浦消防	2616220302	JcnS3uq8X	#美国阿拉斯加州以南海域7.8级地震#【遇到地震的正确做法！一定要马】近年地震频发，大家平时要注意学习地震知识，快来和蓝朋友学习掌握避险技能，确保人生安全！戳↓↓千万别慌张，愿所有人平安！ L云浮消防的微博视频 ​ ​​​	2020年07月22日 15:54	1	3	6	https://weibo.com/2616220302/JcnS3uq8X?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnS3uq8X?uid=2616220302&rl=1
贵阳晚报官方微博	1905912064	JcnRH0ZOf	【#美国阿拉斯加州以南海域7.8级地震#】中国地震台网正式测定：07月22日14时12分在美国阿拉斯加州以南海域（北纬55.05度，西经158.50度）发生7.8级地震，震源深度10千米。 ​（人民日报）（编辑：忻玖） ​	2020年07月22日 15:53			1	https://weibo.com/1905912064/JcnRH0ZOf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnRH0ZOf?uid=1905912064&rl=1
眉山天府新区	6167691229	JcnRqdDnd	【#美国阿拉斯加州以南海域7.8级地震#】中国地震台网正式测定：07月22日14时12分在美国阿拉斯加州以南海域（北纬55.05度，西经158.50度）发生7.8级地震，震源深度10千米。 ​（人民日报） ​	2020年07月22日 15:52		10	4	https://weibo.com/6167691229/JcnRqdDnd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnRqdDnd?uid=6167691229&rl=1
福建海博TV	2815224714	JcnRpjhfP	【#美国阿拉斯加州以南海域7.8级地震#】中国地震台网正式测定：07月22日14时12分在美国阿拉斯加州以南海域（北纬55.05度，西经158.50度）发生7.8级地震，震源深度10千米。 ​	2020年07月22日 15:52	1		2	https://weibo.com/2815224714/JcnRpjhfP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcnRpjhfP?uid=2815224714&rl=1
