用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
共青团南川区	2049507924	JfQnp9MRL	这三年半你是否因对美国人民撒谎而感到后悔？特朗普：谁？我？下一个问题 …… #美拟将孔子学院列入外国使团##多家美国企业联手抵制特朗普封杀微信# L辽宁共青团的微博视频 ​​​	2020年08月14日 09:59		1	2	https://weibo.com/2049507924/JfQnp9MRL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQnp9MRL?uid=2049507924&rl=1
环球网健康	2538567791	JfQn5mUvW	【#美国一州刚复课千名师生就因新冠被隔离# 学生和家长“吵翻了” 】#美国新冠肺炎超524万例#据美国广播公司晨间新闻节目《早安美国》报道，随着美国新冠肺炎确诊数量不断增加，美国返校危机仍在继续。美国佐治亚州返校一周左右就有超过1000名学生和教职工被隔离。返校安全问题引争议，学生和家长“吵 ​  展开全文c	2020年08月14日 09:58		评论		https://weibo.com/2538567791/JfQn5mUvW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQn5mUvW?uid=2538567791&rl=1
牡丹江检察	5572895687	JfQmL0Qgy	【美媒：#美拟将孔子学院列入外国使团#】8月12日彭博社报道，美国国务院计划最早于13日宣布在美国的孔子学院将需要登记为“外国使团”。据报道，目前有80所孔子学院位于美国高校，其中包括斯坦福大学。O美媒：美国拟将孔子学院列入“外国使团” L澎湃新闻的微博视频 ​	2020年08月14日 09:57	1	15	7	https://weibo.com/5572895687/JfQmL0Qgy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQmL0Qgy?uid=5572895687&rl=1
漫大叔动漫社	5337179145	JfQmDBmmE	#美拟将孔子学院列入外国使团#孔子学院走到今天不容易。一个学术交流和语言学习机构竟然被当做外交使团，美国的无耻操作令人震惊。孔子学院是用与传播文化友谊，将中国文化传播世界，它是所有国家仰望的生治 ​	2020年08月14日 09:57			3	https://weibo.com/5337179145/JfQmDBmmE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQmDBmmE?uid=5337179145&rl=1
南宁普法	5726438725	JfQmDAeEt	【美媒：#美拟将孔子学院列入外国使团#】8月12日彭博社报道，美国国务院计划最早于13日宣布在美国的孔子学院将需要登记为“外国使团”。据报道，目前有80所孔子学院位于美国高校，其中包括斯坦福大学。O美媒：美国拟将孔子学院列入“外国使团” L澎湃新闻的微博视频 ​	2020年08月14日 09:57		评论		https://weibo.com/5726438725/JfQmDAeEt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQmDAeEt?uid=5726438725&rl=1
淄博警方	2052120021	JfQmjbY2K	【转！外国人能造，中国同样能造】“中国人怎么不行？外国人能搞的，难道中国人不能搞？”在回忆中国航天事业起点时，钱学森如是说。今天，中国制造、中国创造、中国建造共同改变中国面貌。向每位科学家、工程师、建设者和参与者致敬↓我们坚信：外国人能造，中国同样能造！ ​  展开全文c	2020年08月14日 09:56			5	https://weibo.com/2052120021/JfQmjbY2K?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQmjbY2K?uid=2052120021&rl=1
枣庄高速交警	5658284166	JfQmf2Jjq	【转！外国人能造，中国同样能造】“中国人怎么不行？外国人能搞的，难道中国人不能搞？”在回忆中国航天事业起点时，钱学森如是说。今天，中国制造、中国创造、中国建造共同改变中国面貌。向每位科学家、工程师、建设者和参与者致敬↓我们坚信：外国人能造，中国同样能造！ ​  展开全文c	2020年08月14日 09:56		评论		https://weibo.com/5658284166/JfQmf2Jjq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQmf2Jjq?uid=5658284166&rl=1
康贝斯宠物用品	6561986549	JfQm25VR4	#美拟将孔子学院列入外国使团#孔子可不是我们上学读的那几条子曰，如果你深刻了解国学，又接触过西方哲学，你会发现孔孟老子哲学，这些哲学在中国政治统治上起到巨大作用。当然大前提是你需要除了背过的那些论语之外再了解其他关于儒家学派和道家学派的一切，再从西方哲学找出差别。你就会发现，道家执 ​  展开全文c	2020年08月14日 09:56		评论		https://weibo.com/6561986549/JfQm25VR4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQm25VR4?uid=6561986549&rl=1
广西政法	5328345103	JfQlz6d8B	【美媒：#美拟将孔子学院列入外国使团#】8月12日彭博社报道，美国国务院计划最早于13日宣布在美国的孔子学院将需要登记为“外国使团”。据报道，目前有80所孔子学院位于美国高校，其中包括斯坦福大学。L澎湃新闻的微博视频 ​	2020年08月14日 09:55			2	https://weibo.com/5328345103/JfQlz6d8B?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQlz6d8B?uid=5328345103&rl=1
辽宁共青团	2079751412	JfQlnj8XJ	这三年半你是否因对美国人民撒谎而感到后悔？特朗普：谁？我？下一个问题 …… #美拟将孔子学院列入外国使团##多家美国企业联手抵制特朗普封杀微信# L辽宁共青团的微博视频 ​	2020年08月14日 09:54	84	17	109	https://weibo.com/2079751412/JfQlnj8XJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfQlnj8XJ?uid=2079751412&rl=1
