原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	李乐嘟	2609572367	李乐嘟:转发微博	赞[0]	2020-08-05 07:31:01	来自iPhone客户端
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	鲜袖小姐	5518684656	鲜袖小姐:真的好期待	赞[0]	2020-08-05 07:30:52	来自iPhone客户端
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	陌谨愿木	7341788328	陌谨愿木:还会看的	赞[0]	2020-08-05 07:31:07	来自HUAWEI nova 3
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	辉煌發	3025416822	辉煌發:转发微博	赞[0]	2020-08-05 07:31:25	来自OPPO智能手机
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	茜小仙女敏敏	6318555000	茜小仙女敏敏:会看的呀，期待！	赞[0]	2020-08-05 07:31:22	来自HUAWEI nova 3
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	神秘的女明星	7331584179	神秘的女明星:喜欢刘亦菲女神很久了！想看花木兰	赞[0]	2020-08-05 07:31:19	来自全屏双摄 OPPO A5
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	其实都很好ly	2683995242	其实都很好ly:那就一直等吧	赞[0]	2020-08-05 07:31:16	来自荣耀Play3
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	你的小杂鱼	6130593926	你的小杂鱼:等了好久了。	赞[0]	2020-08-05 07:31:17	来自前置双摄vivo X9
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	可爱头目A	6034898364	可爱头目A:我感觉我会看的。	赞[0]	2020-08-05 07:31:33	来自前后2000万 OPPO R11
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	新的开始gf	6367974472	新的开始gf:特别期待花木兰	赞[0]	2020-08-05 07:31:28	来自Redmi Note 8四摄
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	爱你哦小菠萝	6489746865	爱你哦小菠萝:转发微博	赞[0]	2020-08-05 07:33:20	来自OPPO随光而变R17
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	浪荡猫仔	7411434366	浪荡猫仔:特别期待，到时候一定要看一下。	赞[0]	2020-08-05 07:32:45	来自iPad客户端
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	柠檬有点甜lxy	7333730943	柠檬有点甜lxy:期待已久了	赞[0]	2020-08-05 07:32:21	来自小米5X 拍人更美
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	琪梦达	6961951927	琪梦达:转发微博	赞[0]	2020-08-05 07:32:17	来自柔光自拍vivo X7
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	诗凝Jenae	1769385935	诗凝Jenae:what about China	赞[0]	2020-08-05 07:52:03	来自iPhone
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	玛丽酱啊	1779116245	玛丽酱啊:北美放不放不要紧，中国放就行	赞[0]	2020-08-05 07:51:13	来自iPhone
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	五月天婷婷咖	6936043160	五月天婷婷咖:转发微博	赞[0]	2020-08-05 07:51:03	来自iPhone客户端
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	小海带你浪宁夏	3204840474	小海带你浪宁夏:转发微博	赞[0]	2020-08-05 07:46:44	来自前后2000万 OPPO R11
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	憨八龟我们走	2678198063	憨八龟我们走:@小生洛格 真的是时运不济……	赞[0]	2020-08-05 07:45:08	来自
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	y92wwww	6339171660	y92wwww:转发微博	赞[0]	2020-08-05 07:43:20	来自华为手机 畅享玩不停
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	Yico的Ryuchan	570334498	Yico的Ryuchan:等一个国内院线上映	赞[0]	2020-08-05 07:43:19	来自曾哪吒的iPhone X
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	MydearJusBie	5993795747	MydearJusBie:一大早就心梗	赞[0]	2020-08-05 07:37:01	来自HUAWEI P30
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	金刚芭比gaga	gagahoho	金刚芭比gaga:每一帧都是一个表情	赞[0]	2020-08-05 08:17:27	来自iPhone客户端
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	一只小肉蹄	1806518954	一只小肉蹄:呜呜呜老婆快上映吧	赞[0]	2020-08-05 07:58:54	来自HUAWEI P30 Pro
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	听说年糕很软	3719041230	听说年糕很软:转发微博	赞[0]	2020-08-05 07:56:40	来自HUAWEI nova 3
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	听说年糕很软	3719041230	听说年糕很软:x	赞[0]	2020-08-05 07:56:35	来自HUAWEI nova 3
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	爱亦菲爱茜茜爱老公	6835301455	爱亦菲爱茜茜爱老公:不急，我们等你	赞[0]	2020-08-05 07:54:52	来自iPhone客户端
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	嗯哼哎呦喂啊哇嘤	5709216735	嗯哼哎呦喂啊哇嘤:害，爱咋咋地我能看见就行	赞[1]	2020-08-05 07:53:57	来自前后2000万 OPPO R11s
星娱酱	:#花木兰放弃北美院线发行#迪士尼宣布电影《花木兰》放弃在北美院线发行！太难了，到现在还没有上映！你还会看吗？！ 	2020-08-05 07:30:04    	白开水Of	2067039595	白开水Of:国内国内国内	赞[0]	2020-08-05 07:53:10	来自iPhone客户端
