用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
四川工人日报	1132428807	JbD9DhiOG	【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农 ​  展开全文c	2020年07月17日 16:58		评论		https://weibo.com/1132428807/JbD9DhiOG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD9DhiOG?uid=1132428807&rl=1
段奥娟的小歌名	6672359791	JbD9niMTa	#西班牙将扑杀10万只养殖貂#连貂都受疫情影响了 加油加油一定要控制住疫情 ​	2020年07月17日 16:58		评论		https://weibo.com/6672359791/JbD9niMTa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD9niMTa?uid=6672359791&rl=1
四川共青团	1718699234	JbD9lytI8	【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农 ​  展开全文c	2020年07月17日 16:57	1	评论		https://weibo.com/1718699234/JbD9lytI8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD9lytI8?uid=1718699234&rl=1
牛牛爱橙子汽水	3381396544	JbD9g07GP	#西班牙将扑杀10万只养殖貂#能不能有个组织把动物皮草全禁了！太残酷了吧 ​	2020年07月17日 16:57		评论		https://weibo.com/3381396544/JbD9g07GP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD9g07GP?uid=3381396544&rl=1
大连户口	5658135233	JbD94p99t	【#西班牙将扑杀10万只养殖貂# 】7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农业部长表示，目前尚不清楚具体的传染路径 ​  展开全文c	2020年07月17日 16:57		评论		https://weibo.com/5658135233/JbD94p99t?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD94p99t?uid=5658135233&rl=1
揽尔	7382203728	JbD8sloHy	#西班牙将扑杀10万只养殖貂#他们养貂本来也是为了用貂皮的，只不过现在可能用不了了总博主 ​	2020年07月17日 16:55		7	1	https://weibo.com/7382203728/JbD8sloHy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD8sloHy?uid=7382203728&rl=1
木子槿1113	5359147072	JbD8m4LPQ	#西班牙将扑杀10万只养殖貂#扑杀这10万只貂，也是没有办法的事情吧… ​	2020年07月17日 16:55		评论		https://weibo.com/5359147072/JbD8m4LPQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD8m4LPQ?uid=5359147072&rl=1
TOP趣旅行	2272603077	JbD7D9QN3	【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农 ​  展开全文c	2020年07月17日 16:53		评论		https://weibo.com/2272603077/JbD7D9QN3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD7D9QN3?uid=2272603077&rl=1
太原铁路	1918830794	JbD7fAOcl	【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农 ​  展开全文c	2020年07月17日 16:52	1		1	https://weibo.com/1918830794/JbD7fAOcl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD7fAOcl?uid=1918830794&rl=1
马鞍山生态环境	1307923317	JbD6lmKFt	【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农 ​  展开全文c	2020年07月17日 16:50		评论		https://weibo.com/1307923317/JbD6lmKFt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD6lmKFt?uid=1307923317&rl=1
中国科技工作者之家	6243817726	JbD5LCtL3	#抗炎科技日志# 【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。 ​  展开全文c	2020年07月17日 16:49	4	1	3	https://weibo.com/6243817726/JbD5LCtL3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD5LCtL3?uid=6243817726&rl=1
山西共青团	2489596935	JbD5vpGS4	【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农 ​  展开全文c	2020年07月17日 16:48			1	https://weibo.com/2489596935/JbD5vpGS4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD5vpGS4?uid=2489596935&rl=1
郝吉林	1192230491	JbD5hxrSe	#西班牙将扑杀10万只养殖貂#这又是一个新动静，说明人和动物之间可以传播病毒。10万只被扑杀，可以说也是因新冠而逝去的生命。 ​	2020年07月17日 16:47		评论		https://weibo.com/1192230491/JbD5hxrSe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD5hxrSe?uid=1192230491&rl=1
揽尔	7382203728	JbD4XsYT8	#西班牙将扑杀10万只养殖貂#可怜啥啊，难道为了卖貂皮不会杀了剥皮吗…总博主 ​	2020年07月17日 16:47		5	4	https://weibo.com/7382203728/JbD4XsYT8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD4XsYT8?uid=7382203728&rl=1
我一定会踏着七彩祥云去接你	6013507301	JbD4WuebC	#西班牙将扑杀10万只养殖貂# 你觉得应该扑杀还是放生？ 你觉得应该扑杀还是放生？ ​	2020年07月17日 16:47	25	265	9591	https://weibo.com/6013507301/JbD4WuebC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD4WuebC?uid=6013507301&rl=1
微西班牙	7391875583	JbD3pE5qp	【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农 ​  展开全文c	2020年07月17日 16:43			2	https://weibo.com/7391875583/JbD3pE5qp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD3pE5qp?uid=7391875583&rl=1
揽尔	7382203728	JbD2pjkCP	#西班牙将扑杀10万只养殖貂#动物保护组织呢？总博主 ​	2020年07月17日 16:40		10	4	https://weibo.com/7382203728/JbD2pjkCP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD2pjkCP?uid=7382203728&rl=1
揽尔	7382203728	JbD1vfaO6	#西班牙将扑杀10万只养殖貂#人类犯了错，由动物承担。可怜啊总博主 ​	2020年07月17日 16:38		5	6	https://weibo.com/7382203728/JbD1vfaO6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbD1vfaO6?uid=7382203728&rl=1
宁波镇海检察	3702523900	JbCWW72wb	【扑杀10万只貂！西班牙大量养殖貂感染新冠】#西班牙将扑杀10万只养殖貂#7月16日BBC报道，西班牙阿拉贡自治区一养殖场大量养殖貂感染新冠。当地卫生部门表示将大面积扑杀周边地区的近10万只貂。阿拉贡是西班牙新冠疫情最为严重的地区之一，该地区新冠确诊病例已超25万，死亡超2.8万例。阿拉贡自治区农 ​  展开全文c	2020年07月17日 16:27		评论		https://weibo.com/3702523900/JbCWW72wb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbCWW72wb?uid=3702523900&rl=1
封面新闻	1496814565	JbCVFaZVK	【#西班牙宰杀近10万只水貂#   87%的水貂感染新冠】7月17日，据BBC报道，西班牙东北部阿拉贡省一家养殖场的近10万只水貂将被宰杀，因为其中许多水貂的新冠病毒检测呈阳性。今年5月，该养殖场一雇员的妻子感染新冠病毒后，她的丈夫和其他6名雇员也被确诊。荷兰卫生部门7月初发表声明称，自大流行开始以 ​  展开全文c	2020年07月17日 16:24	12	17	24	https://weibo.com/1496814565/JbCVFaZVK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbCVFaZVK?uid=1496814565&rl=1
