原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	南瓜的甜甜圈	5789935866	南瓜的甜甜圈:不太清楚啊	赞[0]	2020-08-30 20:31:50	来自iPhone客户端
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	简爱挺好	7231266129	简爱挺好:看具体原因考虑	赞[0]	2020-08-30 20:31:47	来自小米9
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	可爱头目A	6034898364	可爱头目A:我感觉不应该	赞[0]	2020-08-30 20:31:40	来自前后2000万 OPPO R11
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	姜成皓吃屎去吧你	6506717675	姜成皓吃屎去吧你:我参与了@树洞 发起的投票【你觉得他们应该被退学么？】，我投给了“应该”这个选项，你也快来表态吧~	赞[0]	2020-08-30 20:31:39	来自iPhone客户端
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	三寸人间Cc	7063803774	三寸人间Cc:转发微博	赞[0]	2020-08-30 20:31:38	来自vivo Z3性能实力派
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	喜欢吃菜叶子	5699623592	喜欢吃菜叶子:不了解情况啊我	赞[0]	2020-08-30 20:31:37	来自Android
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	王叫我来巡山	3278853921	王叫我来巡山:转发微博	赞[0]	2020-08-30 22:23:28	来自HUAWEI Mate 30
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	赵苍术	6427444631	赵苍术:我参与了@树洞 发起的投票【你觉得他们应该被退学么？】，我投给了“不太清楚”这个选项，你也快来表态吧~ 不知道，也不好说	赞[0]	2020-08-30 22:06:03	来自OnePlus 6
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	暖暖6098839396	6098839396	暖暖6098839396:我参与了@树洞 发起的投票【你觉得他们应该被退学么？】，我投给了“应该”这个选项，你也快来表态吧~	赞[0]	2020-08-30 22:03:49	来自iPhone客户端
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	玲珑灯笼	1893278164	玲珑灯笼:我参与了@树洞 发起的投票【你觉得他们应该被退学么？】，我投给了“应该”这个选项，你也快来表态吧~	赞[0]	2020-08-30 21:34:41	来自nova4e 3200W立体美颜
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	大象R0V	6006247033	大象R0V:应该清退的	赞[0]	2020-08-30 20:32:03	来自前置双摄vivo X9
树洞	:#西电拟清退33名失联超期博士生# 你觉得他们应该被退学么？ 	2020-08-30 20:30:17    	tuouu	3953258507	tuouu:为什么会失联呢	赞[0]	2020-08-30 20:31:56	来自OPPO超视野全面屏R15
