原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	miya_68294	3279843410	miya_68294:转发微博	赞[0]	2020-08-21 12:02:02	来自HUAWEI P30
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	爱萌萌的星201809	6691917795	爱萌萌的星201809:转发微博	赞[0]	2020-08-21 11:59:13	来自小米8周年旗舰手机
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	舒Susy	5514496954	舒Susy:越来越好	赞[0]	2020-08-21 11:30:12	来自iPhone客户端
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	昵称689689	yangshangjian	昵称689689:转发微博	赞[0]	2020-08-21 11:25:53	来自iPad
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	牛转新李	2447922625	牛转新李:转发微博	赞[0]	2020-08-21 11:17:59	来自中兴天机Axon11 SE 5G
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	Dear-Daniel-D	5671521990	Dear-Daniel-D:老婆🎸生产基地，👴❤️🌶️	赞[0]	2020-08-21 17:26:14	来自iPhone客户端
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	嘟嘟媚娘	5650801944	嘟嘟媚娘:转发微博	赞[0]	2020-08-21 15:29:24	来自HUAWEI P30 Pro
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	张小琪呀er	7306997961	张小琪呀er:转发微博	赞[0]	2020-08-21 14:32:03	来自荣耀 9X
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	思敏敏start	606028550	思敏敏start:转发微博	赞[0]	2020-08-21 12:25:05	来自iPhone客户端
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	ericabetter	1273418301	ericabetter:转发微博	赞[0]	2020-08-21 12:13:59	来自nova 5i Pro
电商报	:#贵州吉他村一年产800万把#贵州正安县大山深处的小村里，藏着一个“吉他王国”：每年可以造800万把，全国一半吉他都来自这里。去年成为贵州第二个淘宝村，今年初县城脱贫。现在，当地有2万人在这里找到工作，乐队歌手结束流浪回家创业，打工妇女家门口就业养全家。网友：乐夏没在这里办可惜了。梨视频的秒拍视频	2020-08-21 10:30:04    	北七里寨	2655643983	北七里寨:转发微博	赞[0]	2020-08-21 12:12:15	来自Redmi 10X 4G版
