原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	X-瑶YAO	5661682110	X-瑶YAO:转发微博	赞[0]	2020-08-01 08:01:00	来自vivo Z5x性能实力派
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	yfwu123_277166	1285456153	yfwu123_277166:转发微博	赞[0]	2020-08-01 08:05:37	来自iPhone客户端
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	超市帮吴军生	2630146883	超市帮吴军生:转发微博	赞[0]	2020-08-01 08:04:38	来自华为MateRS保时捷设计
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	用户6586105905	6586105905	用户6586105905:转发微博	赞[0]	2020-08-01 08:04:39	来自iPhone客户端
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	紫色篱菊	1882150862	紫色篱菊:转发微博	赞[0]	2020-08-01 08:03:56	来自华为手机 畅享玩不停
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	N忠鑫	2664992882	N忠鑫:转发微博	赞[0]	2020-08-01 08:02:16	来自iQOO Neo 855版
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	龙猫呵呵--	3200674764	龙猫呵呵--:转发微博	赞[0]	2020-08-01 08:42:36	来自OPPO智能手机
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	到东边就见关口	5921609397	到东边就见关口:转发微博	赞[0]	2020-08-01 08:39:58	来自iPhone客户端
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	用户5706366348	5706366348	用户5706366348:@Angelalee李津津..  .. 🇧🇸	赞[0]	2020-08-01 08:39:32	来自nova4e 3200W立体美颜
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	Katori曦-不练出马甲线不改名	240540456	Katori曦-不练出马甲线不改名:🙏	赞[0]	2020-08-01 08:36:07	来自板鸭女孩的Android
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	秦地舆情记录员	7407000124	秦地舆情记录员:转发微博	赞[0]	2020-08-01 08:32:44	来自OPPO超视野全面屏R15
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	默寞陌_樱	7361800711	默寞陌_樱:转发微博	赞[0]	2020-08-01 08:26:21	来自nova6SE好看拍出来看
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	砀山县唐寨镇微博	6863651554	砀山县唐寨镇微博:转发微博	赞[0]	2020-08-01 08:25:32	来自iPhone客户端
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	山东高速交警沂源大队	2642778732	山东高速交警沂源大队:转发微博	赞[0]	2020-08-01 08:25:07	来自小米10
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	怀化学院-电气院	dianqiyuan	怀化学院-电气院:转发微博	赞[0]	2020-08-01 08:23:24	来自vivo S1照亮你的美
人民网	:【#辽宁新增8例本土病例#】#新冠肺炎最新动态# 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。（辽宁卫健委）http://t.cn/A6UUBsKc	2020-08-01 08:00:48    	为什么我们跑不过时间	7436679681	为什么我们跑不过时间:加油！	赞[0]	2020-08-01 09:34:29	来自nova4e 3200W立体美颜
