用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
-伊依琳-	1130035865	JkfnDy3i1	#迪丽热巴用蔡徐坤表情包#呃，这个，如果你们不说，路人真的不知道这个表情包跟cxk有关，yxh这么一搬，知道的人越来越多了 ​	2020年09月12日 09:00			2	https://weibo.com/1130035865/JkfnDy3i1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnDy3i1?uid=1130035865&rl=1
菜菜菜的小白菜	6205983566	JkfnDiE84	#迪丽热巴用蔡徐坤表情包#蔡徐坤的表情包好可爱，脸圆圆像小朋友 ​	2020年09月12日 08:59		1	1	https://weibo.com/6205983566/JkfnDiE84?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnDiE84?uid=6205983566&rl=1
小小亚比	6579643306	JkfnD13ab	#迪丽热巴用蔡徐坤表情包#。。迷惑 ​	2020年09月12日 08:59		评论		https://weibo.com/6579643306/JkfnD13ab?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnD13ab?uid=6579643306&rl=1
KUN是我的小王子	2826043264	JkfnCCC1G	#迪丽热巴用蔡徐坤表情包#一觉睡醒，怎么我家菜菜又被黑了，真双标啊 ​	2020年09月12日 08:59			4	https://weibo.com/2826043264/JkfnCCC1G?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnCCC1G?uid=2826043264&rl=1
樱桃少侠	1788371235	JkfnC6IvI	#迪丽热巴为杨幂庆生# 期待迪丽热巴李长歌 期待迪丽热巴乔晶晶#迪丽热巴用蔡徐坤表情包# ​	2020年09月12日 08:59			4	https://weibo.com/1788371235/JkfnC6IvI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnC6IvI?uid=1788371235&rl=1
Dear-喵呜大人	6533477853	JkfnC4vRR	#迪丽热巴用蔡徐坤表情包#大家早啊  来看美女 ​	2020年09月12日 08:59		评论		https://weibo.com/6533477853/JkfnC4vRR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnC4vRR?uid=6533477853&rl=1
倾城74678	6921223647	JkfnBwaqB	#迪丽热巴用蔡徐坤表情包#打起来打起来 ​	2020年09月12日 08:59		评论		https://weibo.com/6921223647/JkfnBwaqB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnBwaqB?uid=6921223647&rl=1
红酒85344	7500827128	JkfnBtXYn	#迪丽热巴用蔡徐坤表情包#请大家不要在吵了，我相信迪丽热巴是不了解，大家要有自己的想法，不要被有心人利用了，不要把事情闹大。 ​	2020年09月12日 08:59		评论		https://weibo.com/7500827128/JkfnBtXYn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnBtXYn?uid=7500827128&rl=1
小葵花kf	7285497380	JkfnAgWpe	#迪丽热巴用蔡徐坤表情包#来看看大帅哥吧！！yxh和黑子不要带节奏了！！！！@蔡徐坤 ​	2020年09月12日 08:59		评论		https://weibo.com/7285497380/JkfnAgWpe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnAgWpe?uid=7285497380&rl=1
饺汁儿	5874304217	JkfnA4PzK	#迪丽热巴用蔡徐坤表情包#看看帅哥 ​	2020年09月12日 08:59			2	https://weibo.com/5874304217/JkfnA4PzK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnA4PzK?uid=5874304217&rl=1
飞飞追鱼	6625454430	JkfnzoOTS	迪丽热巴蔡徐坤这件事你们怎么看 #迪丽热巴用蔡徐坤表情包# ​	2020年09月12日 08:59	1	21	68	https://weibo.com/6625454430/JkfnzoOTS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnzoOTS?uid=6625454430&rl=1
快乐兔炎洁	6488646598	Jkfnz7c04	#迪丽热巴用蔡徐坤表情包#笑死了啊 怎么还热搜了 哪个对家买的啊 哈哈哈哈哈哈 ​	2020年09月12日 08:59		评论		https://weibo.com/6488646598/Jkfnz7c04?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkfnz7c04?uid=6488646598&rl=1
usernamehotpot	6704937420	JkfnyhfBH	#迪丽热巴用蔡徐坤表情包#压根就不知道那个表情包是蔡徐坤，蔡徐坤全网黑的时候也没关注过细节，只听说篮球，不过具体还不知道。虽然我知道蔡徐坤，也偶尔看豆瓣，但这个根本就不知道，估计迪丽热巴也不知道 ​	2020年09月12日 08:59		评论		https://weibo.com/6704937420/JkfnyhfBH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnyhfBH?uid=6704937420&rl=1
曲奇爱困	7427078276	JkfnycRbJ	#迪丽热巴用蔡徐坤表情包#求求姐姐粉放过蔡徐坤吧，他真的很好，是一个很善良又绅士的人，ikun们知道热巴姐姐不是故意的，爱丽丝们放过坤吧 ​	2020年09月12日 08:59		评论		https://weibo.com/7427078276/JkfnycRbJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnycRbJ?uid=7427078276&rl=1
Kformusic	6867299080	JkfnxkJUv	#迪丽热巴用蔡徐坤表情包#行吧，自己发图自己半夜编辑，早上热搜自己再道歉，再来一个热搜，关键是别人生日。谁看了不说这是高手 ​	2020年09月12日 08:59		1	9	https://weibo.com/6867299080/JkfnxkJUv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnxkJUv?uid=6867299080&rl=1
胡睡觉爱睡觉	5694868426	Jkfnx4dnK	#迪丽热巴用蔡徐坤表情包#看一看帅哥 ​	2020年09月12日 08:59		评论		https://weibo.com/5694868426/Jkfnx4dnK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkfnx4dnK?uid=5694868426&rl=1
葵葵的海蓝色的眼镜镜	6600178736	Jkfnvyh0x	#迪丽热巴用蔡徐坤表情包#别骂了，和平相处吧，全都是蔡和我们蔡粉的错，降下去吧，唉(┯_┯) ​	2020年09月12日 08:59		2	2	https://weibo.com/6600178736/Jkfnvyh0x?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkfnvyh0x?uid=6600178736&rl=1
祖安琵琶手	7439690731	JkfnvBx7s	#迪丽热巴用蔡徐坤表情包#都tm编辑掉了还怎么样？？？说删了的人脑子有问题？删了对谁都不尊重好吧，所有粉丝都道歉了，说实话这张图怎么就是黑图了呢？ ​	2020年09月12日 08:59		评论		https://weibo.com/7439690731/JkfnvBx7s?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnvBx7s?uid=7439690731&rl=1
涐系李耳	6532334278	JkfnvjVTH	#迪丽热巴用蔡徐坤表情包# 是时候分享一波我的表情包了 ​	2020年09月12日 08:59		1		https://weibo.com/6532334278/JkfnvjVTH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkfnvjVTH?uid=6532334278&rl=1
