用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
陇原政法	6892712944	JgFrzBgPD	【#重庆轨道2号线变水上列车#，网红李子坝游客不减】8月19日，“长江2020年第5号洪水”过境重庆主城，轨道2号线下方部分路段、楼层被淹，轨道最低处离水面只几米的距离，市民调侃在坐“水上单轨”，带根鱼竿就可以在站台上钓鱼。网红李子坝观景平台不受影响，前来打卡的游客较多。#洪水漫上重庆主城#  ​  展开全文c	2020年08月19日 19:59	3	4	7	https://weibo.com/6892712944/JgFrzBgPD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFrzBgPD?uid=6892712944&rl=1
红城骑兵	1602362023	JgFryb0uQ	#重庆轨道2号线变水上列车#壮观#热点，大家谈！# ​	2020年08月19日 19:59			1	https://weibo.com/1602362023/JgFryb0uQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFryb0uQ?uid=1602362023&rl=1
遵义发布	5521606430	JgFrp1rFM	【#重庆轨道2号线变水上列车#，网红李子坝游客不减】8月19日，“长江2020年第5号洪水”过境重庆主城，轨道2号线下方部分路段、楼层被淹，轨道最低处离水面只几米的距离，市民调侃在坐“水上单轨”，带根鱼竿就可以在站台上钓鱼。网红李子坝观景平台不受影响，前来打卡的游客较多。#洪水漫上重庆主城#  ​  展开全文c	2020年08月19日 19:59	1		1	https://weibo.com/5521606430/JgFrp1rFM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFrp1rFM?uid=5521606430&rl=1
Strawkarry__	6301993158	JgFrirTm1	#重庆轨道2号线变水上列车#今天正好坐了 确实感觉在水上了 害！ ​	2020年08月19日 19:59			8	https://weibo.com/6301993158/JgFrirTm1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFrirTm1?uid=6301993158&rl=1
西西的甜品	3179929850	JgFrheR6T	#重庆轨道2号线变水上列车#李子坝当时还找了挺久j ​	2020年08月19日 19:59		评论		https://weibo.com/3179929850/JgFrheR6T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFrheR6T?uid=3179929850&rl=1
娱筱	7280903579	JgFqQ617o	#重庆轨道2号线变水上列车#我们大重庆就是千与千寻分寻水上烈车，欢迎你乘坐 LV你的唯一V的微博视频 ​	2020年08月19日 19:58		11	15	https://weibo.com/7280903579/JgFqQ617o?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFqQ617o?uid=7280903579&rl=1
大庆市中级人民法院	3876342106	JgFqNFHkV	#新闻# 【#重庆轨道2号线变水上列车#，网红李子坝游客不减】8月19日，“长江2020年第5号洪水”过境重庆主城，轨道2号线下方部分路段、楼层被淹，轨道最低处离水面只几米的距离，市民调侃在坐“水上单轨”，带根鱼竿就可以在站台上钓鱼。网红李子坝观景平台不受影响，前来打卡的游客较多。 ​  展开全文c	2020年08月19日 19:57	11	13	13	https://weibo.com/3876342106/JgFqNFHkV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFqNFHkV?uid=3876342106&rl=1
小青龙的犄角三号	6679375293	JgFpVDqvF	#重庆轨道2号线变水上列车# ohno ​	2020年08月19日 19:55		评论		https://weibo.com/6679375293/JgFpVDqvF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFpVDqvF?uid=6679375293&rl=1
医路向前冲	7451524654	JgFpGhEar	#重庆轨道2号线变水上列车# ​	2020年08月19日 19:55		评论		https://weibo.com/7451524654/JgFpGhEar?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFpGhEar?uid=7451524654&rl=1
·沸腾气泡·	5824157232	JgFpc77Uy	#重庆轨道2号线变水上列车#一切平安🙏 ​	2020年08月19日 19:54		评论		https://weibo.com/5824157232/JgFpc77Uy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFpc77Uy?uid=5824157232&rl=1
涨价元专属保安	7347114863	JgFp1uSzQ	#重庆轨道2号线变水上列车#耶斯莫拉啊哈哈哈哈一下在房子里一下在水上想想就觉得挺开心的 ​	2020年08月19日 19:53			2	https://weibo.com/7347114863/JgFp1uSzQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFp1uSzQ?uid=7347114863&rl=1
微愽女拳	5653003552	JgFoWsppH	为什么还在运行，不危险吗？被水浸泡的地方都有可能出现隐藏问题。#重庆轨道2号线变水上列车# ​	2020年08月19日 19:53	10	55	290	https://weibo.com/5653003552/JgFoWsppH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFoWsppH?uid=5653003552&rl=1
闻一下奶油	6193731411	JgFoV4mWv	#重庆轨道2号线变水上列车#在重庆注意安全吧 ​	2020年08月19日 19:53			1	https://weibo.com/6193731411/JgFoV4mWv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFoV4mWv?uid=6193731411&rl=1
天水播报	5627430319	JgFoM6V7y	【#重庆轨道2号线变水上列车#，网红李子坝游客不减】8月19日，“长江2020年第5号洪水”过境重庆主城，轨道2号线下方部分路段、楼层被淹，轨道最低处离水面只几米的距离，市民调侃在坐“水上单轨”，带根鱼竿就可以在站台上钓鱼。网红李子坝观景平台不受影响，前来打卡的游客较多。#洪水漫上重庆主城#  ​  展开全文c	2020年08月19日 19:52	2		2	https://weibo.com/5627430319/JgFoM6V7y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFoM6V7y?uid=5627430319&rl=1
今日北碚	5346297625	JgFoF3DxV	#重庆轨道2号线变水上列车#截至8月19日16时，嘉陵江北碚（三）号站水位达到200.12米，超警戒水位5.62米，超保证水位1.12米。据北碚区防汛办最新消息，8月19日12时35分已达到此次嘉陵江洪峰峰值水位，此次洪峰峰值水位达到200.23米，目前嘉陵江北碚段水位已在逐渐回落。 #重庆身边事#  ​  展开全文c	2020年08月19日 19:52	3	3	12	https://weibo.com/5346297625/JgFoF3DxV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFoF3DxV?uid=5346297625&rl=1
温柔固拉希木本花	3195966934	JgFmTapLQ	#重庆轨道2号线变水上列车#太吓人了，出行都成问题 ​	2020年08月19日 19:48			1	https://weibo.com/3195966934/JgFmTapLQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFmTapLQ?uid=3195966934&rl=1
媒介360	1693496950	JgFmqvDuT	【#重庆轨道2号线变水上列车#】8月19日，“长江2020年第5号洪水”过境重庆主城，轨道2号线下方部分路段、楼层被淹，轨道最低处离水面只几米的距离，市民调侃在坐“水上单轨”，带根鱼竿就可以在站台上钓鱼。网红李子坝观景平台不受影响，前来打卡的游客较多。#洪水漫上重庆主城# L一手Video的秒拍视频 ​	2020年08月19日 19:47		1	6	https://weibo.com/1693496950/JgFmqvDuT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgFmqvDuT?uid=1693496950&rl=1
931郑州经济广播	2076255252	JgEEwp5Q1	【#重庆轨道2号线变水上列车#，网红李子坝游客不减】8月19日，“长江2020年第5号洪水”过境重庆主城，轨道2号线下方部分路段、楼层被淹，轨道最低处离水面只几米的距离，市民调侃在坐“水上单轨”，带根鱼竿就可以在站台上钓鱼。网红李子坝观景平台不受影响，前来打卡的游客较多。L一手Video的秒拍视频 ​	2020年08月19日 17:59			1	https://weibo.com/2076255252/JgEEwp5Q1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgEEwp5Q1?uid=2076255252&rl=1
