用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
新晚报	1451977335	JkxPB1YTx	【#重庆通报城管追打商贩被砍伤案# ：商贩正当防卫，城管行拘】9月13日，重庆。重庆通报“城管追打商贩被砍伤”：水果摊主占道经营，城管队员执法时双方发生冲突。摊主杨某予警告处罚，挥刀行为系正当防卫。城管队员杨某桥行拘。（澎湃新闻）L澎湃新闻的微博视频 ​	2020年09月14日 07:58		1	1	https://weibo.com/1451977335/JkxPB1YTx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxPB1YTx?uid=1451977335&rl=1
汇荆州	2675690061	JkxPtjKPD	#重庆通报城管追打商贩被砍伤案# 城管暴力执法行为构成殴打他人，被处行政拘留，#砍伤城管女摊主回应被判正当防卫# ，网友：总算公平公正了一次。  L汇荆州的微博视频 ​	2020年09月14日 07:58	2	5	6	https://weibo.com/2675690061/JkxPtjKPD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxPtjKPD?uid=2675690061&rl=1
中工网	2292896411	JkxPokydC	#重庆通报城管追打商贩被砍伤案#【#重庆通报城管追打商贩被砍伤案#：商贩正当防卫，城管被行拘】13日，就“重庆南岸区一城管追打商贩被砍伤”事件，@平安南岸 发布通报：水果摊主杨某的行为构成阻碍执行职务，予以警告处罚。杨某被追打过程中挥刀致城管队员杨某桥受伤的行为系正当防卫；城管队员杨某桥 ​  展开全文c	2020年09月14日 07:57		评论		https://weibo.com/2292896411/JkxPokydC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxPokydC?uid=2292896411&rl=1
知心惟有月-	5530702809	JkxPm2b0e	#重庆通报城管追打商贩被砍伤案#职权是用来维护城市建设的，不是用来耀武扬威的 ​	2020年09月14日 07:57		评论		https://weibo.com/5530702809/JkxPm2b0e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxPm2b0e?uid=5530702809&rl=1
遵义发布	5521606430	JkxPgkMbT	【#砍伤城管女摊主回应被判正当防卫#：】13日，#重庆通报城管追打商贩被砍伤案#称，水果摊主阻碍执行任务被警告处罚，被追打过程中挥刀系正当防卫，城管殴打他人被行拘。当事水果摊主称处理结果“是公平公正的”，可以接受。在其看来，城管人员的这个打人行为，不能算为执法，就是一个单纯的暴力行为， ​  展开全文c	2020年09月14日 07:57		2	3	https://weibo.com/5521606430/JkxPgkMbT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxPgkMbT?uid=5521606430&rl=1
双桦检察	5705310235	JkxPg4eBo	【#重庆通报城管追打商贩被砍伤案#：商贩正当防卫，城管被行拘】13日，就“重庆南岸区一城管追打商贩被砍伤”事件，@平安南岸 发布通报：详情⬇️⬇️⬇️ ​	2020年09月14日 07:57	5	51	45	https://weibo.com/5705310235/JkxPg4eBo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxPg4eBo?uid=5705310235&rl=1
唯幂丶时光	3955930971	JkxPasjL2	#重庆通报城管追打商贩被砍伤案#这事漂亮，公事公办，谁的责任谁承担。 ​	2020年09月14日 07:57	2		1	https://weibo.com/3955930971/JkxPasjL2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxPasjL2?uid=3955930971&rl=1
yinxinpp	2618250511	JkxOUvZFq	#重庆通报城管追打商贩被砍伤案#监控的重要性，监控一定要装 ​	2020年09月14日 07:56		评论		https://weibo.com/2618250511/JkxOUvZFq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxOUvZFq?uid=2618250511&rl=1
斗奋在宝小	1865709303	JkxOOfnDF	#重庆通报城管追打商贩被砍伤案#上热搜啊 2西安 ​	2020年09月14日 07:56		评论		https://weibo.com/1865709303/JkxOOfnDF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxOOfnDF?uid=1865709303&rl=1
今天我得起床了	7437934376	JkxOg148z	#重庆通报城管追打商贩被砍伤案#干得漂亮 ​	2020年09月14日 07:55		评论		https://weibo.com/7437934376/JkxOg148z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkxOg148z?uid=7437934376&rl=1
