原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	李一桐的迷妹	7167339107	李一桐的迷妹:转发微博	赞[0]	2020-07-30 09:57:34	来自iPhone客户端
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	精彩瞬间kiss	7337343068	精彩瞬间kiss:对啊，能做什么工作呢	赞[0]	2020-07-30 09:57:30	来自荣耀20S
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	春秋入梦来	7421562922	春秋入梦来:转发微博	赞[0]	2020-07-30 09:57:22	来自vivo智能手机
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	爱可就爱了	6575849293	爱可就爱了:说的很有道理啊	赞[0]	2020-07-30 09:57:21	来自realme X2 6400万鹰眼
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	美丽的王夫人	6518791137	美丽的王夫人:转发微博	赞[0]	2020-07-30 09:57:52	来自Android
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	爱可就爱了	6575849293	爱可就爱了:转发微博	赞[1]	2020-07-30 09:57:44	来自realme X2 6400万鹰眼
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	不是山谷啊VV	7421543163	不是山谷啊VV:可能是没钱	赞[0]	2020-07-30 09:57:37	来自iPhone客户端
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	晨曦以西	5155585870	晨曦以西:不是吧，为啥想工作嘞	赞[0]	2020-07-30 09:58:15	来自vivo Z5全面实力派
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	TT金燕	5862060683	TT金燕:我也热爱工作	赞[0]	2020-07-30 09:58:13	来自HUAWEI Mate 20 Pro
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	李职员	6143945079	李职员:所以真的是这样啊	赞[0]	2020-07-30 09:58:07	来自OPPO智能手机
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	涵晓沫809	6095035031	涵晓沫809:还是中国好啊。	赞[0]	2020-07-30 09:58:00	来自iPhone客户端
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	其实都很好ly	2683995242	其实都很好ly:他们主要是在家太无聊了	赞[0]	2020-07-30 09:58:39	来自荣耀Play3
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	枕边密友	6613163040	枕边密友:为什么啊不理解	赞[0]	2020-07-30 09:58:17	来自红米Redmi
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	ansjor123秉	6598829139	ansjor123秉:不知道这些嘲讽别人的是什么心态。日韩的生活水平比国内高有问题啊发展中国家天天嘲讽别人发达国家真的很有意思不行咱们就让数据说话，从人均GDP、到幸福指数、恩格尔系数、民间各种调查、出生率、平均寿命你哪点比得上人家	赞[0]	2020-07-30 11:03:48	来自HUAWEI P30
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	宠本贤钊	6626016555	宠本贤钊:20多岁就想退休了	赞[0]	2020-07-30 12:19:01	来自微博 weibo.com
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	琉璃发艺凯文枝	6620798047	琉璃发艺凯文枝:会吧～	赞[0]	2020-07-30 12:31:32	来自Android客户端
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	naodai_mmx宁	6886946390	naodai_mmx宁:王鼻子叔是老人了哈哈哈哈	赞[0]	2020-07-30 12:29:48	来自HUAWEI P30
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	忘忧皇后	7066387557	忘忧皇后:转发微博	赞[0]	2020-07-31 06:56:27	来自Android
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	土德善人	7424026096	土德善人:何止40岁呀…很多招聘还都注明35岁以下，本科以上学历…一般来讲，经济下行工作机会就少一些…	赞[0]	2020-07-31 06:54:51	来自红米Redmi
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	大表哥HK	5248362104	大表哥HK:转发微博	赞[0]	2020-07-31 06:23:57	来自iPhone客户端
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	虫虫zsw	1788436841	虫虫zsw:转发微博	赞[0]	2020-07-30 22:40:59	来自HUAWEI P30
圈内皇叔	:#韩国近七成80岁以下老人想工作#这是多么热爱工作啊，他们是在家闲的心慌吗？真不知道60、70的能找到啥工作，感觉40就找不到工作了 	2020-07-30 09:55:15    	A不是梦er	5651440216	A不是梦er:转发微博	赞[0]	2020-07-30 20:42:52	来自OnePlus 7
