原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	小浪花w	2364529914	小浪花w:【黄子韬 hzt tt tao】，我投给了“#黄子韬加盟说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:48:11	来自iPhone客户端
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	於刈刈	6988940292	於刈刈:【黄子韬 hzt tt tao】，我投给了“#黄子韬说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:47:18	来自华为手机
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	於刈刈	6988940292	於刈刈:【黄子韬 hzt tt tao】，我投给了“#黄子韬加盟说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:47:07	来自华为手机
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	糖狸旭	5715942598	糖狸旭:【黄子韬 hzt tt tao】，我投给了“#黄子韬加盟说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:46:58	来自iPhone 7
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	Swaggy-蓝胖子	5996170449	Swaggy-蓝胖子:我参与了@黄子韬一你是我的王 发起的【黄子韬 hzt tt tao】，我投给了“#黄子韬说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:46:10	来自魅族 17
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	对不起是颜狗	6587945613	对不起是颜狗:我参与了@黄子韬一你是我的王 发起的【黄子韬 hzt tt tao】，我投给了“#黄子韬加盟说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:44:58	来自HUAWEI P20
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	你别搞笑了好嘛	6327830621	你别搞笑了好嘛:我参与了@黄子韬一你是我的王 发起的【黄子韬 hzt tt tao】，我投给了“#黄子韬说唱新世代#”这个选项，你也快来表态吧~	赞[1]	2020-07-22 13:55:19	来自Redmi K30 Pro 真旗舰
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	你别搞笑了好嘛	6327830621	你别搞笑了好嘛:我参与了@黄子韬一你是我的王 发起的【黄子韬 hzt tt tao】，我投给了“#黄子韬加盟说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:55:09	来自Redmi K30 Pro 真旗舰
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	夭夭木桃	5409071706	夭夭木桃:我参与了@黄子韬一你是我的王 发起的【黄子韬 hzt tt tao】，我投给了“#黄子韬加盟说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:51:55	来自小米9
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	集万千可爱于一身的桃	5523084049	集万千可爱于一身的桃:我参与了@黄子韬一你是我的王 黄子韬 hzt tt tao】，我投给了“#黄子韬说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:49:27	来自nova5 人像超级夜景
黄子韬一你是我的王	:#黄子韬加盟说唱新世代#热搜了 加热黄子韬《说唱新世代》期待说唱基地主理人 黄子韬@YKYBtao-黄子韬 #黄子韬说唱新世代# 黄子韬 hzt tt tao 	2020-07-22 13:44:27    	偏爱小桃-	7310505102	偏爱小桃-:【黄子韬 hzt tt tao】，我投给了“#黄子韬说唱新世代#”这个选项，你也快来表态吧~	赞[0]	2020-07-22 13:49:25	来自iPad mini
