原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	是你的橙子姐姐	6222548299	是你的橙子姐姐:明明加油啊，相信自己可以的，哈哈	赞[0]	2020-08-12 11:35:28	来自Android
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	明亲有明	6432092320	明亲有明:在太空漫步，原地踏步的晓明哥	赞[0]	2020-08-12 11:39:26	来自新浪微博4G版
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	憨厚的小么熊吖	6440341231	憨厚的小么熊吖:能在上面，站住不倒，我觉得就很厉害了	赞[0]	2020-08-12 11:38:26	来自新浪微博4G版
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	_黑礼帽and酷教主	6904518631	_黑礼帽and酷教主:晓明哥笑死我了，可以说一句有点憨吗？哈哈哈哈	赞[0]	2020-08-12 11:37:47	来自iPhone客户端
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	陛下我是念奴娇	6432619432	陛下我是念奴娇:光看上半身，还以为晓明哥在跳舞	赞[0]	2020-08-12 11:37:01	来自Android
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	爱吃鱼的吴小难	6190699121	爱吃鱼的吴小难:又看到我们的明明子在挑战自己了，哈哈，加油哦❤️	赞[0]	2020-08-12 11:36:49	来自iPhone客户端
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	小仙女会飞呢	6190680851	小仙女会飞呢:哈哈，姿势很帅，但是一直原地踏步的晓明哥很无奈啊	赞[0]	2020-08-12 11:36:12	来自iPhone客户端
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	tony_ybliu宙敬	5887429594	tony_ybliu宙敬:晓明哥也太快乐了！	赞[0]	2020-08-12 11:48:45	来自HUAWEI Mate 20 Pro
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	教主大大的拥抱_	6905154849	教主大大的拥抱_:晓明哥勇敢挑战自己，虽然一直在原地漫步	赞[0]	2020-08-12 11:48:40	来自iPhone客户端
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	想去青岛吃虾	6432562556	想去青岛吃虾:畲族文化真的好有意思啊，一直在原地的明明子加油啊	赞[0]	2020-08-12 11:46:09	来自微博国际版
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	小甜甜蕊哇	3805400032	小甜甜蕊哇:不断挑战自己的晓明哥	赞[0]	2020-08-12 11:45:46	来自HUAWEI Mate 20 Pro
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	好静冷暖自知·	6429973341	好静冷暖自知·:哈哈哈晓明哥还比耶，太逗了	赞[0]	2020-08-12 11:43:29	来自Android
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	明教刘小鱼	6190695874	明教刘小鱼:这个是真的很难，晓明哥能够维持平衡也不错了	赞[0]	2020-08-12 11:43:05	来自iPhone客户端
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	静水U	6065596077	静水U:晓明哥每次都在挑战自己	赞[0]	2020-08-12 11:42:57	来自HUAWEI Mate 20 Pro
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	最爱明明的小仙女	6193444933	最爱明明的小仙女:这自信的步伐，必须给他@黄晓明 点赞	赞[0]	2020-08-12 12:18:51	来自荣耀7X 全面屏手机
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	我捡到了快乐	6190119992	我捡到了快乐:哈哈哈，今日份的快乐源泉来自晓明哥	赞[0]	2020-08-12 12:18:34	来自Android
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	是奶油桃子的味道	5977079769	是奶油桃子的味道:真的有点像太空漫步，哈哈哈	赞[0]	2020-08-12 12:16:37	来自Android
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	悲恋词汇心慌	6424338443	悲恋词汇心慌:这个起跳确实吓我一跳	赞[0]	2020-08-12 12:15:38	来自荣耀7X 全面屏手机
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	榴莲草莓味的口香糖	3808780149	榴莲草莓味的口香糖:看到了一个不一样的明明子	赞[0]	2020-08-12 12:15:01	来自iPhone客户端
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	独臂大侠小小明	6193447110	独臂大侠小小明:哈哈哈，晓明哥还比耶，好可爱	赞[0]	2020-08-12 12:13:55	来自新浪微博4G版
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	黄晓明的女人绝不认输yes	6431560726	黄晓明的女人绝不认输yes:晓明哥已经很厉害了👍	赞[0]	2020-08-12 12:12:19	来自iPhone客户端
搜狐视频移动客户端	:#我们在行动# 《我们在行动》黄晓明体验畲族高难度独特运动项目，运动变太空漫步，看着有点难啊#黄晓明夏日午后大片# #黄晓明[超话]# 搜狐视频移动客户端的微博视频 	2020-08-12 11:30:04    	明哥哥的小乖乖呀	3810945120	明哥哥的小乖乖呀:看着还挺有意思的呀~晓明哥是原地踏步吧	赞[0]	2020-08-12 11:51:11	来自HUAWEI Mate 20 Pro
