原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	万般皆是命半点不由人啊	6079397441	万般皆是命半点不由人啊:转发微博	赞[0]	2020-08-09 11:59:45	来自iPhone客户端
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	cloud是八月份的前奏	2086983697	cloud是八月份的前奏:转发微博	赞[0]	2020-08-09 11:59:13	来自iPhone客户端
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	阿屿1998	6067266950	阿屿1998:还没去过这里	赞[0]	2020-08-09 21:39:40	来自iPhone客户端
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	寻美阳泉	7204958791	寻美阳泉:黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生	赞[0]	2020-08-09 21:30:57	来自iPhone客户端
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	潮流一点通	5891269595	潮流一点通:27次	赞[0]	2020-08-09 21:25:45	来自iPhone 11 Pro Max
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	luozuo2012	2659918195	luozuo2012:转发微博	赞[0]	2020-08-09 12:38:20	来自Android
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	可爱的小仙女flowers	6277653634	可爱的小仙女flowers:想再去一次黄鹤楼	赞[0]	2020-08-09 12:03:59	来自iPhone客户端
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	五月天婷婷咖	6936043160	五月天婷婷咖:转发微博	赞[0]	2020-08-09 12:03:58	来自iPhone客户端
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	dlyrhwm	6413002878	dlyrhwm:转发微博	赞[0]	2020-08-09 12:03:27	来自华为畅享 10e
倪好帅	:【黄鹤楼是怎样被重建的？】上一代黄鹤楼毁于战火，1978年启动重建，已是百年后。1981年10月22日，爆破主楼基础岩石的一声巨响，宣告了黄鹤楼重建工程的正式动工。有统计称，这是黄鹤楼近1800年历史的第27次重建。更确凿的史料表明，明清两代，历经兵燹、火焚，黄鹤楼损毁7次，重建和维修了10次，史称“火经三发，工届八兴”。近代摄影技术的诞生，更是让我们一睹黄鹤楼历史上的真容。1871年，英国著名旅行家约翰·汤姆逊来到武汉，慕名探访黄鹤楼。他爬上距离黄鹤楼最近的汉阳门，在城门的瓮城墙上，拍下了黄鹤楼北面的影像，这是史上黄鹤楼最早的一张照片。1985年，新建的黄鹤楼对外开放，其形制与清代黄鹤楼相似，也是直筒状，四望如一，更加了两层，气势宏伟。黄鹤楼铭刻在中国人的集体记忆中，只要中华文明存在，黄鹤楼就会不断重生。#黄鹤楼免票首日客流量涨3倍#	2020-08-09 11:57:50    	醉美夜啊	7419364712	醉美夜啊:转发微博	赞[0]	2020-08-09 12:01:05	来自前置双摄vivo X9
