原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	胡萝卜成的精	jillzhang0605	胡萝卜成的精:翻山队，明天继续加油！！！！	赞[0]	2020-08-29 21:22:00	来自微博国际版
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	你不得好好想想吗	5094075314	你不得好好想想吗:明天也要加油啊	赞[0]	2020-08-29 21:22:16	来自小米8周年旗舰手机
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	-hhzey	6000597438	-hhzey:明天稳点 求你了	赞[0]	2020-08-29 21:22:15	来自iPhone客户端
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	冷心需暖笑	3031770363	冷心需暖笑:再接再厉	赞[0]	2020-08-29 21:22:14	来自荣耀Play 让快更快
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	不准说李荣浩坏话	Amphitaminelove	不准说李荣浩坏话:明天加油！！！	赞[0]	2020-08-29 21:22:13	来自OPPO超视野全面屏R15
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	基地的王	6571367333	基地的王:明天加油！	赞[0]	2020-08-29 21:22:13	来自OPPO智能手机
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	把帽子带正	5639958756	把帽子带正:转发微博	赞[0]	2020-08-29 21:22:12	来自iPhone客户端
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	至尊shy吹用户	6044885787	至尊shy吹用户:加油加油	赞[0]	2020-08-29 21:22:10	来自iPhone客户端
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	快去跟虾滑借钱	5905408332	快去跟虾滑借钱:你妈，老pua了	赞[0]	2020-08-29 21:22:25	来自iPhone客户端
iG电子竞技俱乐部	:#S10资格赛# 2020英雄联盟全球总决赛LPL赛区资格赛，iG对阵FPX比赛结束，双方争夺激烈比分战平，决胜局iG拿下，最终3:2战胜对手，晋级下一轮！30日将与LGD争夺最后的门票！加油！最后感谢一直以来支持iG的粉丝，感谢@虎牙直播 @雪佛兰 @比心陪练 @网鱼网咖官方微博 @美年达Mirinda中国 @快手 @Lilbetter @Secretlab圣临电竞椅 大力支持	2020-08-29 21:21:42    	夏末甜茶_	2826850681	夏末甜茶_:你又能多活一天了，明天给我赢	赞[0]	2020-08-29 21:22:25	来自nova5Pro人像超级夜景
