原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	聊城大学药学院	5726029470	聊城大学药学院:#青春微能量# #长安# 大连加油@聊城大学共青团 @青春山东	赞[0]	2020-07-23 22:13:21	来自荣耀20
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	南京小文玟	japanstudylang	南京小文玟:转发微博	赞[0]	2020-07-23 22:10:21	来自华为畅享10
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	爱笑睡美人	2386279574	爱笑睡美人:感谢！大连加油	赞[1]	2020-07-23 22:06:12	来自iPhone 11 Pro Max
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	老王RR涡扇花动机	6518988728	老王RR涡扇花动机:转发微博	赞[0]	2020-07-23 22:03:24	来自HUAWEI Mate30 Pro 5G
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	用户orfww29nu7	5141441692	用户orfww29nu7:转发微博	赞[0]	2020-07-23 22:01:28	来自iPhone客户端
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	TVXQCAT	1759424037	TVXQCAT:转发微博	赞[0]	2020-07-23 23:58:16	来自AI实力派 vivo Z1
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	cl02182006	5525494354	cl02182006:转发微博	赞[0]	2020-07-23 23:58:08	来自荣耀V9 我想要的快
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	Godloveme1	3425173004	Godloveme1:加油💪！	赞[0]	2020-07-23 23:57:55	来自Android
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	空白白呀	6251653627	空白白呀:希望专家们都能够平安，有效控制新冠疫情🙏🙏🙏	赞[0]	2020-07-23 23:56:08	来自OPPO A92s
中国新闻网	:#关注新冠肺炎#【#国家卫健委18人专家团队抵达大连#】大连市人民政府新闻办公室23日晚间召开新闻发布会。大连市卫生健康委副主任赵连表示，今晚国家卫健委组建18人团队专家团队，专家团队的成员均经历过武汉、北京新发地疫情防控，具有丰富疫情经验的专家抵达大连，并已立即开始工作。（记者杨毅） 	2020-07-23 22:00:00    	灿的幸福生活	1903235481	灿的幸福生活:转发微博	赞[0]	2020-07-23 22:53:25	来自iPhone客户端
