用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
小朵造梦中	5893813542	JkBLonqro	#大理两旅行社擅改行程被吊销许可#支持 旅游业的确需要规范一下啦 ​	2020年09月14日 17:58		评论		https://weibo.com/5893813542/JkBLonqro?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBLonqro?uid=5893813542&rl=1
南山侠	7344712981	JkBLmwz1U	#大理两旅行社擅改行程被吊销许可# 那边的旅行社老出事，前几年曝光强买强卖。说实话，当地监管应该重视了，不能因为一些小事坏了名声。 ​	2020年09月14日 17:58			1	https://weibo.com/7344712981/JkBLmwz1U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBLmwz1U?uid=7344712981&rl=1
西安检察	5878527193	JkBKVnGS7	【跟团游，你必须小心的9大陷阱】#大理两旅行社擅改行程被吊销许可# 我们一起旅游去！计划参加旅行团？一些常见陷阱你必须知道：①导游、司机为多拿回扣引导游客购物；②旅行社汽车和司机是临时雇来的，有安全隐患；③旅行社安排的行程与合同不符；④合同内暗藏免责条款……戳图！跟团游9大陷阱 ​  展开全文c	2020年09月14日 17:57	2	11	8	https://weibo.com/5878527193/JkBKVnGS7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBKVnGS7?uid=5878527193&rl=1
Tiana_恬正	6431881753	JkBKOD8Fz	#大理两旅行社擅改行程被吊销许可#他们那边儿旅游乱象挺多的。老是有相关的报道。 ​	2020年09月14日 17:57			1	https://weibo.com/6431881753/JkBKOD8Fz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBKOD8Fz?uid=6431881753&rl=1
商业评论	1663312464	JkBITcaJv	【#大理旅行社扰乱市场被吊销许可#】#大理两旅行社擅改行程被吊销许可#据央视报道，未征得游客同意擅自变更行程、指定购物场所、擅自委托行程…9月14日，经立案调查，大理市跟我游旅行社有限公司、大理风情旅行社有限责任公司，因严重扰乱旅游市场秩序，被吊销经营许可。风情旅行社法人宝某处以20000元 ​  展开全文c	2020年09月14日 17:52	10	12	20	https://weibo.com/1663312464/JkBITcaJv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBITcaJv?uid=1663312464&rl=1
网红先走我段后	1728885872	JkBIvxEMS	#大理两旅行社擅改行程被吊销许可# 该！大理两旅行社擅改行程被吊销许可,  O该！大理两旅行社擅改行程被吊销许可 ​	2020年09月14日 17:51			1	https://weibo.com/1728885872/JkBIvxEMS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBIvxEMS?uid=1728885872&rl=1
平凉检察	6414488050	JkBIhEiCF	【#大理两旅行社擅改行程被吊销许可#】未征得游客同意擅自变更行程、指定购物场所、擅自委托行程……9月14日，经立案调查，大理市跟我游旅行社有限公司、大理风情旅行社有限责任公司，因严重扰乱旅游市场秩序，被吊销经营许可。风情旅行社法人宝某被处以20000元罚款。（央视新闻客户端） ​  展开全文c	2020年09月14日 17:51		2		https://weibo.com/6414488050/JkBIhEiCF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBIhEiCF?uid=6414488050&rl=1
oh我是你大牙哥	2011852911	JkBHUBrG5	#大理两旅行社擅改行程被吊销许可#这年头除非语言不通，不然真的没必要找导游，自己想干嘛就干嘛不爽吗？路线，酒店，吃饭，租车等等全部可以网上搞定。随心所欲。当然高端那种专人陪护的另外，毕竟不是体验同样的东西了。 ​	2020年09月14日 17:50			3	https://weibo.com/2011852911/JkBHUBrG5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBHUBrG5?uid=2011852911&rl=1
罗源检察	5500486868	JkBHdcuQC	【#大理两旅行社擅改行程被吊销许可#】未征得游客同意擅自变更行程、指定购物场所、擅自委托行程……9月14日，经立案调查，大理市跟我游旅行社有限公司、大理风情旅行社有限责任公司，因严重扰乱旅游市场秩序，被吊销经营许可。风情旅行社法人宝某被处以20000元罚款。（央视新闻客户端） ​  展开全文c	2020年09月14日 17:48	6	10	4	https://weibo.com/5500486868/JkBHdcuQC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBHdcuQC?uid=5500486868&rl=1
大庆市中级人民法院	3876342106	JkBG62Lvu	#微提醒# 【跟团游，你必须小心的9大陷阱】#大理两旅行社擅改行程被吊销许可# 我们一起旅游去！计划参加旅行团？一些常见陷阱你必须知道：①导游、司机为多拿回扣引导游客购物；②旅行社汽车和司机是临时雇来的，有安全隐患；③旅行社安排的行程与合同不符；④合同内暗藏免责条款……戳图！跟团 ​  展开全文c	2020年09月14日 17:45	9	19	15	https://weibo.com/3876342106/JkBG62Lvu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkBG62Lvu?uid=3876342106&rl=1
