原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	开往小幸福	3820612313	开往小幸福:勇敢往前冲呀	赞[0]	2020-09-06 20:44:09	来自iPhone客户端
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	像雾又像风的女子	5000009788	像雾又像风的女子:加油	赞[0]	2020-09-06 20:44:09	来自Android
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	虎小凌	7318784272	虎小凌:精彩剧	赞[0]	2020-09-06 20:44:08	来自OPPO Reno Ace
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	鱼七姑娘hhh	5371480420	鱼七姑娘hhh:加油！	赞[0]	2020-09-06 20:44:04	来自OPPO R9s
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	2021梅西冲冲	6413163474	2021梅西冲冲:转发微博	赞[0]	2020-09-06 20:44:02	来自iPhone客户端
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	兔牙小孩	5887877401	兔牙小孩:加油往前吧！加油	赞[0]	2020-09-06 20:45:55	来自iPhone客户端
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	不断前行厉害	3179765283	不断前行厉害:有骨气哈哈	赞[0]	2020-09-06 20:45:03	来自荣耀 9X
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	天青色笑烟雨	5057645881	天青色笑烟雨:小秋向前冲就对了	赞[0]	2020-09-06 20:44:41	来自OPPO A9x
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	L·公子爷	ccchao000	L·公子爷:加油向前冲	赞[0]	2020-09-06 20:44:37	来自iPhone 8
影视热不停	:#孙弈秋有骨气#现在是直接下车走人，后面会不会直接回怼吴恪之？我开始dream徒弟揭竿起义反抗师傅的剧情了，有骨气有胆量的小秋不要怂，勇敢往前冲！ 	2020-09-06 20:34:48    	青铜判官	5406019483	青铜判官:非常精彩	赞[0]	2020-09-06 20:44:34	来自华为手机 畅享玩不停
