用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
冰阔乐喝不停	3934376292	JcIIVmI8l	#家暴起诉离婚要调解吗#家暴直接可以go die，有调解必要? ​	2020年07月24日 20:59		评论		https://weibo.com/3934376292/JcIIVmI8l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIIVmI8l?uid=3934376292&rl=1
霸总阿极	7458581420	JcIIkohZI	#家暴起诉离婚要调解吗#家暴只有一次和无数次，调个屁 ，离不离婚受害人难道还不比你知道的多，要不是日子真的过不下去了谁会选择离婚 ​	2020年07月24日 20:58		评论		https://weibo.com/7458581420/JcIIkohZI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIIkohZI?uid=7458581420&rl=1
南宁普法	5726438725	JcIIkrzCN	【#家暴起诉离婚要调解吗#？】近日，河南商丘刘女士（化名）爆料称自己在2019年8月被丈夫窦某某家暴，为逃生从二楼跳下，导致自己双下肢截瘫，至今不能脱拐行走。而这是结婚以来其遭受的第三次家暴。刘女士称，事发近一年她仍未能成功离婚。在向法院提起离婚诉讼后，她却被告知男方不愿离婚，而今年7月 ​  展开全文c	2020年07月24日 20:58		评论		https://weibo.com/5726438725/JcIIkrzCN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIIkrzCN?uid=5726438725&rl=1
十七日尾·灯	5992013656	JcIIc6R5e	#家暴起诉离婚要调解吗#每天一个恐婚话题这不是废话吗热知识:家暴只有零次和无数次! ​	2020年07月24日 20:57			1	https://weibo.com/5992013656/JcIIc6R5e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIIc6R5e?uid=5992013656&rl=1
kellme--	6577576962	JcIIbvdfm	#家暴起诉离婚要调解吗#反思一下，这为什么是个问句？? ?还用问？ ​	2020年07月24日 20:57			1	https://weibo.com/6577576962/JcIIbvdfm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIIbvdfm?uid=6577576962&rl=1
UUDeMicroBlog	2042293537	JcII7FLqb	#家暴起诉离婚要调解吗#人死了就不用调解了！和稀泥似得执法就是助纣为虐！ ​	2020年07月24日 20:57		评论		https://weibo.com/2042293537/JcII7FLqb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcII7FLqb?uid=2042293537&rl=1
三生石上书	2790169805	JcII4qQIN	#家暴起诉离婚要调解吗#离婚冷静期到底是哪个婚姻美满到以为全人类都能得到幸福的人提的？ ​	2020年07月24日 20:57			1	https://weibo.com/2790169805/JcII4qQIN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcII4qQIN?uid=2790169805&rl=1
Bell寒鈴	2732930501	JcII1vJtM	#家暴起诉离婚要调解吗#都上法院了需要你这狗屁调解？家暴biss好吧 ​	2020年07月24日 20:57		评论		https://weibo.com/2732930501/JcII1vJtM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcII1vJtM?uid=2732930501&rl=1
寒浸浸悬于我命	5522482639	JcIHWpX5U	#家暴起诉离婚要调解吗#家暴不是受害者的丑闻，这是加害者的丑陋面目。所以女性被家暴的时候勇敢一点，没有男人也可以活下去，活的更好。也希望我们如果发现周围有人被家暴，请拿起电话帮忙报警。 ​	2020年07月24日 20:57		评论		https://weibo.com/5522482639/JcIHWpX5U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHWpX5U?uid=5522482639&rl=1
柯京野	5105030324	JcIHVjw54	#家暴起诉离婚要调解吗#调解个屁！家暴男必死 ​	2020年07月24日 20:57			1	https://weibo.com/5105030324/JcIHVjw54?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHVjw54?uid=5105030324&rl=1
公子珑	3885306523	JcIHSzoql	#家暴起诉离婚要调解吗#既然这么麻烦，那就以暴制暴算了，一个人打不过，喊一群人不把他打个半死，看他以后还敢不敢再动一下？ ​	2020年07月24日 20:57			1	https://weibo.com/3885306523/JcIHSzoql?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHSzoql?uid=3885306523&rl=1
芝士奶盖波波茶	5500147571	JcIHQi7Se	#家暴起诉离婚要调解吗#没结过婚，我就想知道结婚是两个人一起同意，离婚也得两个人都同意吗？我怎么看这感觉要是男的死耗着，还就不能离了？ ​	2020年07月24日 20:57		评论		https://weibo.com/5500147571/JcIHQi7Se?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHQi7Se?uid=5500147571&rl=1
安迪紧张時会喝水	5996328074	JcIHIkwha	#家暴起诉离婚要调解吗#吐了，还需要什么调解人都已经这样了还调解个毛，法官是读书读的失去人性了嘛 ​	2020年07月24日 20:56		评论		https://weibo.com/5996328074/JcIHIkwha?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHIkwha?uid=5996328074&rl=1
盐妍超极无敌大聪明	3795738201	JcIHIg8pB	不要#家暴起诉离婚要调解吗# ​	2020年07月24日 20:56		评论		https://weibo.com/3795738201/JcIHIg8pB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHIg8pB?uid=3795738201&rl=1
二次元a	2214346835	JcIHGeejp	#家暴起诉离婚要调解吗#家暴零容忍，有第一次就有第二次，这根本不是调解能改变的。 ​	2020年07月24日 20:56		评论		https://weibo.com/2214346835/JcIHGeejp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHGeejp?uid=2214346835&rl=1
小王子的802皇冠	6428252913	JcIHwczC8	#家暴起诉离婚要调解吗#调解到没命为止？调解期间的生命安全怎么保证 ​	2020年07月24日 20:56			5	https://weibo.com/6428252913/JcIHwczC8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHwczC8?uid=6428252913&rl=1
大江网	1767961804	JcIHsn5SR	【#家暴起诉离婚要调解吗#？】#检方建议对家暴跳楼案男子从重量刑# 近日，河南商丘刘女士（化名）爆料称自己在2019年8月被丈夫窦某某家暴，为逃生从二楼跳下，导致自己双下肢截瘫，至今不能脱拐行走。而这是结婚以来其遭受的第三次家暴。刘女士称，事发近一年她仍未能成功离婚。在向法院提起离婚诉讼后 ​  展开全文c	2020年07月24日 20:56	2		1	https://weibo.com/1767961804/JcIHsn5SR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHsn5SR?uid=1767961804&rl=1
xueer31	5859651195	JcIHqwecH	#家暴起诉离婚要调解吗#都打那样了还调解哪 ​	2020年07月24日 20:55		评论		https://weibo.com/5859651195/JcIHqwecH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHqwecH?uid=5859651195&rl=1
泰妈祖传命理	6692976263	JcIHos9zs	#检方建议对家暴跳楼案男子从重量刑##家暴起诉离婚要调解吗# 女人离婚太难了，能不能照顾一下女人。女人本来生了孩子，能下决心离婚的已经很不容易了。离也是痛不离也是痛，挂念孩子。既然能下定决心离婚，那肯定是过不下去了。能拿出家暴视频的就立即判决离婚吧，都跳楼了还不判决离婚也是无语了。官 ​  展开全文c	2020年07月24日 20:55	2	1	28	https://weibo.com/6692976263/JcIHos9zs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcIHos9zs?uid=6692976263&rl=1
