原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	W是一只飞翔的鹰	5510035122	W是一只飞翔的鹰:真的太好听了	赞[0]	2020-08-17 19:50:37	来自HUAWEI Mate 8
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	想找六旬女友	7355709173	想找六旬女友:真的可以呀	赞[0]	2020-08-17 19:50:36	来自Redmi Note 8 Pro四摄
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	温柔的猫猫啊	5412402835	温柔的猫猫啊:真的太喜欢了	赞[0]	2020-08-17 19:50:35	来自优秀如我Android
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	大白兔不白呢	7364096701	大白兔不白呢:转发微博	赞[0]	2020-08-17 19:50:23	来自搜狗高速浏览器
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	张慧猫腻	6332616948	张慧猫腻://@观视界旅行攻略:喜欢林俊杰	赞[0]	2020-08-17 19:50:50	来自Android
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	隔却山海g-	6649852353	隔却山海g-:转发微博	赞[0]	2020-08-17 19:50:47	来自荣耀10 AI变色更潮美
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	来去自如1986	7085918412	来去自如1986:很好听一直在循环	赞[0]	2020-08-17 19:50:42	来自荣耀9青春版 全屏四摄
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	菲菲就是酷崽	7311879449	菲菲就是酷崽:走过红尘 再也不怕冷	赞[0]	2020-08-17 20:01:52	来自iPhone客户端
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	菲菲就是酷崽	7311879449	菲菲就是酷崽:我流汗意志更坚决	赞[0]	2020-08-17 20:01:49	来自iPhone客户端
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	菲菲就是酷崽	7311879449	菲菲就是酷崽:是我们都在制造巧遇	赞[0]	2020-08-17 20:01:46	来自iPhone客户端
影视剧荒	:#林俊杰孙燕姿staywithyou# 由@林俊杰 @孙燕姿 合作演绎的歌曲《Stay with you》上线英文版MV。两位歌手最大程度释放出了自己歌声当中温暖的能量。 I' II Stay With You，爱，一直都在。驱散内心的惶恐不安，都在MV中通过插画的画面得到了完美的诠释。陪伴的歌声比苍白的话语更有情感与力度。此次单曲所有收益都作善款捐出，也为两位的善意点赞#林俊杰孙燕姿新歌MV# 林俊杰的微博视频	2020-08-17 19:14:56    	玖至	6292049505	玖至:好听好听	赞[0]	2020-08-17 19:52:39	来自
