用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
_木易毛_	3443281062	JfVQL1Kzt	#梁靖崑夺得男单冠军#看了几天的比赛，发现真的打国内比打国际难多了，恭喜大胖得了冠军🏆 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆 ​	2020年08月14日 23:55		评论		https://weibo.com/3443281062/JfVQL1Kzt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVQL1Kzt?uid=3443281062&rl=1
西部网	1650414555	JfVP7pV6F	【奥运模拟赛-#梁靖崑夺得男单冠军#】北京时间8月14日晚，#2020国乒奥运模拟赛# 男单决赛，梁靖崑4-2战胜王楚钦，夺得男单冠军。 ​	2020年08月14日 23:51	1	3	3	https://weibo.com/1650414555/JfVP7pV6F?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVP7pV6F?uid=1650414555&rl=1
遵义发布	5521606430	JfVONi9Lo	【奥运模拟赛-#梁靖崑夺得男单冠军#】北京时间8月14日晚，#2020国乒奥运模拟赛# 男单决赛，梁靖崑4-2战胜王楚钦，夺得男单冠军。 ​	2020年08月14日 23:50		评论		https://weibo.com/5521606430/JfVONi9Lo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVONi9Lo?uid=5521606430&rl=1
经典句子	5973614069	JfVOngTk5	#梁靖崑夺得男单冠军#说实话，不太关注国乒，这个名字我还是第一次听说，希望以后会越来越熟悉，加油 ​	2020年08月14日 23:49			2	https://weibo.com/5973614069/JfVOngTk5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVOngTk5?uid=5973614069&rl=1
爱豆安利手册	5720134787	JfVO2BRBI	#梁靖崑夺得男单冠军#男单决赛胜出梁靖崑VS王楚钦恭喜恭喜恭喜恭喜 ​	2020年08月14日 23:48	61	110	286	https://weibo.com/5720134787/JfVO2BRBI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVO2BRBI?uid=5720134787&rl=1
正版塞林格格	1337052662	JfVH8bnFZ	#梁靖崑夺得男单冠军#一直看好梁靖崑、孙颖莎，有微博为证。#格林为之语塞# ​​​	2020年08月14日 23:31			3	https://weibo.com/1337052662/JfVH8bnFZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVH8bnFZ?uid=1337052662&rl=1
央视网体育	1819318401	JfVk4eSfE	【8月14日体坛夜画】1、莱比锡2-1马德里竞技挺进欧冠四强；2、#女单卫冕冠军退出2020美网#；3、#小克鲁伊夫执教深足#；4、15岁留洋小将因意外去世；5、2020国乒奥运模拟赛 #梁靖崑夺得男单冠军#【更多精彩内容】O(cctv.com) ​	2020年08月14日 22:35	5	1	6	https://weibo.com/1819318401/JfVk4eSfE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVk4eSfE?uid=1819318401&rl=1
岳然_	1686061272	JfVi0leKq	🏆#国乒奥运模拟赛# 男单决赛梁靖崑4-2战胜王楚钦，夺得男单冠军。(9-11，12-10，11-8，11-6，7-11，12-10) #梁靖崑夺得男单冠军# ​	2020年08月14日 22:29		评论		https://weibo.com/1686061272/JfVi0leKq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVi0leKq?uid=1686061272&rl=1
正义南康	2414369130	JfVgTdGkJ	【2020国乒奥运模拟赛：#梁靖崑夺得男单冠军#】14晚进行的2020中国乒乓球队东京奥运模拟赛男单决赛中，国乒小将梁靖崑以4:2逆转队友王楚钦，将男单冠军收入囊中。至此，本次模拟赛所有单项比赛全部结束，女单赛场“小魔王”孙颖莎成功登顶，混双项目她又与老将许昕搭档夺得冠军。 ​​​	2020年08月14日 22:27	6	9	37	https://weibo.com/2414369130/JfVgTdGkJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVgTdGkJ?uid=2414369130&rl=1
体育台	6002061257	JfVgf3Ebi	🏆#国乒奥运模拟赛# 男单决赛梁靖崑4-2战胜王楚钦，夺得男单冠军(9-11，12-10，11-8，11-6，7-11，12-10) #梁靖崑夺得男单冠军# ​​​via@乒乓report ​	2020年08月14日 22:25	1	1	2	https://weibo.com/6002061257/JfVgf3Ebi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfVgf3Ebi?uid=6002061257&rl=1
