用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
沈倦是人间妄想	5864774960	JeOlMF4Jv	#王者世冠决赛线下售票#DYG冲鸭虽然我喜欢的已经没了但是曹秃秃冲鸭@DYG丶久诚  ​	2020年08月07日 14:59		评论		https://weibo.com/5864774960/JeOlMF4Jv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOlMF4Jv?uid=5864774960&rl=1
肖-飞越星河-霞津锦浪动	5044394990	JeOl5f1WT	#王者世冠决赛线下售票#成都AG超玩会您看我还有机会吗？明天，加油⛽ ​	2020年08月07日 14:58	1		18	https://weibo.com/5044394990/JeOl5f1WT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOl5f1WT?uid=5044394990&rl=1
一颗小胖婷	5363411729	JeOk5tsTI	#王者世冠决赛线下售票#AG给我冲 赢了我就去 2北京·恒通商务园 ​	2020年08月07日 14:55			1	https://weibo.com/5363411729/JeOk5tsTI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOk5tsTI?uid=5363411729&rl=1
南华梦里先惊觉·	2798904542	JeOgS18f8	#王者世冠决赛线下售票##2020王者荣耀世冠#可以线下观赛啦，开放少量名额，8月10日中午12点限量开票，今年世冠决赛在北京，想去线下观赛的小伙伴可以蹲一下 L推广小技巧的微博视频 ​	2020年08月07日 14:47	1	1	3	https://weibo.com/2798904542/JeOgS18f8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOgS18f8?uid=2798904542&rl=1
王者荣耀游戏台	7039441563	JeOgfgfJA	#王者世冠决赛线下售票#有人准备去线下观赛吗？王者荣耀 ​	2020年08月07日 14:46	121	101	182	https://weibo.com/7039441563/JeOgfgfJA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOgfgfJA?uid=7039441563&rl=1
连连连连连连x	5748362851	JeOgeDuQb	#王者世冠决赛线下售票#有人知道要从哪里买票么... ​	2020年08月07日 14:46		评论		https://weibo.com/5748362851/JeOgeDuQb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOgeDuQb?uid=5748362851&rl=1
边玩边学英语bot	6395663162	JeOg4i31U	#王者世冠决赛线下售票#王者荣耀国际版，想玩吗（不好意思我其实是一个正经英语博主，但是这个真的太好笑了）（cr：宇文及格） L边玩边学英语bot的微博视频 ​	2020年08月07日 14:45	3	4	12	https://weibo.com/6395663162/JeOg4i31U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOg4i31U?uid=6395663162&rl=1
倪的华哥·	6034469921	JeOfLESCD	#王者世冠决赛线下售票##2020王者荣耀世冠#可以线下观赛啦，开放少量名额，8月10日中午12点限量开票，今年世冠决赛在北京，想去线下观赛的小伙伴可以蹲一下 L电竞小丸子·的微博视频 ​	2020年08月07日 14:44			1	https://weibo.com/6034469921/JeOfLESCD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOfLESCD?uid=6034469921&rl=1
手游荐游君	6449319935	JeOflFPTP	#王者世冠决赛线下售票# 王者世冠决赛你想去线下观赛嘛？  王者世冠决赛你想去线下观赛嘛？ ​	2020年08月07日 14:43			15	https://weibo.com/6449319935/JeOflFPTP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOflFPTP?uid=6449319935&rl=1
最全手游攻略组	6463474336	JeOfdrGIw	#王者世冠决赛线下售票#王者世冠决赛，你怎么看？王者荣耀 线上or线下，你会选择？ ​	2020年08月07日 14:43	119	100	536	https://weibo.com/6463474336/JeOfdrGIw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOfdrGIw?uid=6463474336&rl=1
游戏黑洞小王	7166576070	JeOe3Fx0T	#王者世冠决赛线下售票##2020王者荣耀世冠#可以线下观赛啦，开放少量名额，8月10日中午12点限量开票，今年世冠决赛在北京，想去线下观赛的小伙伴可以蹲一下 L王者情报君的微博视频 ​	2020年08月07日 14:40			5	https://weibo.com/7166576070/JeOe3Fx0T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOe3Fx0T?uid=7166576070&rl=1
莫问酱	2850592853	JeOe31W86	#王者世冠决赛线下售票#不知道最终是哪两支队伍进行比赛啊…明后天 ​	2020年08月07日 14:40		3	2	https://weibo.com/2850592853/JeOe31W86?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOe31W86?uid=2850592853&rl=1
火狐体育官方咨询	6877309899	JeOdVFJZD	#王者世冠决赛线下售票#这也意味着电竞爱好者有机会到现场去见证冠军的诞生。世冠赛大家看好哪支战队能夺冠？ 哪支战队夺冠的几率大一些呢？ ​	2020年08月07日 14:40	8	25	1884	https://weibo.com/6877309899/JeOdVFJZD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOdVFJZD?uid=6877309899&rl=1
FightorFlightUSA	5846497412	JeOdt02H2	#王者世冠决赛线下售票#哇，不知道今年还能不能搞到票了 ​	2020年08月07日 14:39		1		https://weibo.com/5846497412/JeOdt02H2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOdt02H2?uid=5846497412&rl=1
游戏迷惑行为大赏	7198778322	JeOd82lWL	#王者世冠决赛线下售票#官宣！2020王者荣耀世冠总决赛开启线下观赛！8月10日开启少量的售票预约！开放名额申请少量，且有门槛，实名制等要求，数量较少，大家去线下观赛嘛？ L游戏迷惑行为大赏的微博视频 ​	2020年08月07日 14:38	10	27	24	https://weibo.com/7198778322/JeOd82lWL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOd82lWL?uid=7198778322&rl=1
云游戏台	7039987600	JeObr524s	#王者世冠决赛线下售票# 线下观赛来了！2020王者荣耀世冠总决赛落地北京，今日​北京市政府新闻发布会官宣，开放部分线下观赛名额，8月10日开启预约！ ​	2020年08月07日 14:34			105	https://weibo.com/7039987600/JeObr524s?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeObr524s?uid=7039987600&rl=1
月亮睡醒了o	5620563126	JeOb7h56w	#王者世冠决赛线下售票#今年就算了 本来无比期待线下 奈何喜欢的崽们不在 我们秋天见吧！ ​	2020年08月07日 14:33		3	7	https://weibo.com/5620563126/JeOb7h56w?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOb7h56w?uid=5620563126&rl=1
拿了首胜就下线	6618780648	JeOb2ynRk	#王者世冠决赛线下售票#线下观赛来了！2020王者荣耀世冠总决赛落地北京，今日​北京市政府新闻发布会官宣，开放部分线下观赛名额，8月10日开启预约！ ​	2020年08月07日 14:33	100	19	125	https://weibo.com/6618780648/JeOb2ynRk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOb2ynRk?uid=6618780648&rl=1
飞纵电竞	7309074913	JeOakB5dQ	#王者世冠决赛线下售票##王者荣耀世冠可线下观赛#你有过现场观赛的经历吗？ ​	2020年08月07日 14:31			1	https://weibo.com/7309074913/JeOakB5dQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeOakB5dQ?uid=7309074913&rl=1
王者荣耀攻略君	5807237691	JeO9y7r2R	线下观赛来了！2020王者荣耀世冠总决赛落地北京，今日​北京市政府新闻发布会官宣，开放部分线下观赛名额，8月10日开启预约！少量名额需要申请，拼手速拼人品的时候到了！#王者世冠决赛线下售票# #王者荣耀世冠可线下观赛# L王者荣耀攻略君的微博视频 ​	2020年08月07日 14:29			1	https://weibo.com/5807237691/JeO9y7r2R?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeO9y7r2R?uid=5807237691&rl=1
游戏欧皇陈本伟	5615033747	JeO8efb5w	#王者世冠决赛线下售票#你期待今年冠军谁会夺得？我们线下见#王者荣耀世冠可线下观赛# ​	2020年08月07日 14:26	12	39	34	https://weibo.com/5615033747/JeO8efb5w?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeO8efb5w?uid=5615033747&rl=1
致友情	6359585827	JeO6umLc7	如果条件允许，你会买票去看吗？#王者世冠决赛线下售票# 如果条件允许，你会买票去看吗？ ​	2020年08月07日 14:22			65	https://weibo.com/6359585827/JeO6umLc7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeO6umLc7?uid=6359585827&rl=1
解说天云	2677652880	JeO3OjTs0	#王者世冠决赛线下售票##王者荣耀世冠可线下观赛##2020王者荣耀世冠# #王者荣耀# 官宣！2020王者荣耀世冠总决赛开启线下观赛！8月10日开启少量的售票预约！开放名额申请少量，且有门槛，实名制等要求，数量较少！大家要靠人品冲了！总决赛见！ ​	2020年08月07日 14:15	2	40	356	https://weibo.com/2677652880/JeO3OjTs0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeO3OjTs0?uid=2677652880&rl=1
小药店短视频	1875709957	JeO1NFbCU	王者荣耀#王者世冠决赛线下售票##视频号PICK大赛# @微博视频 官宣！2020王者荣耀世冠总决赛8月10日开启少量线下观赛售票预约！名额数量较少，申请不到的我们就一起相约线上观赛吧！ L小药店短视频的微博视频 ​	2020年08月07日 14:10			3	https://weibo.com/1875709957/JeO1NFbCU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeO1NFbCU?uid=1875709957&rl=1
知名玩家青九	2659218842	JeNhM48mO	#王者世冠决赛线下售票#官宣！2020王者荣耀世冠总决赛开启线下观赛！8月10日开启少量的售票预约！开放名额申请少量，且有门槛，实名制等要求，数量较少，能申请到的玩家是真的天选之子了！#王者荣耀世冠可线下观赛##王者世冠决赛线下售票# L知名玩家青九的微博视频 ​	2020年08月07日 12:17	4	7	8	https://weibo.com/2659218842/JeNhM48mO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeNhM48mO?uid=2659218842&rl=1
