用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
石家庄文旅之声	2516150701	JiN1s2YeS	#石家庄# 庄庄在第一页哦【#第二批全国乡村旅游重点村#名单公布，680个村有你们村吗？】文化和旅游部、国家发展改革委2日发布#第二批全国乡村旅游重点村名单#，680个村入围，包括北京门头沟区斋堂镇爨底下村等。看看有你们村吗？（李金磊） ​	2020年09月02日 18:58		评论		https://weibo.com/2516150701/JiN1s2YeS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiN1s2YeS?uid=2516150701&rl=1
浦东发布	2557375422	JiN1jplxG	#浦东涨知识# 今天，第二批全国乡村旅游重点村名单公布了！浦东有一个村上榜了哦，你知道是哪一个吗？ ​#第二批全国乡村旅游重点村# 浦东哪个村成为了第二批全国乡村旅游重点村？ ​	2020年09月02日 18:57			86	https://weibo.com/2557375422/JiN1jplxG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiN1jplxG?uid=2557375422&rl=1
遵义发布	5521606430	JiMZ86toM	【#第二批全国乡村旅游重点村#名单公布，680个村有你们村吗？】文化和旅游部、国家发展改革委2日发布#第二批全国乡村旅游重点村名单#，680个村入围，包括遵义赤水、凤冈、湄潭等。看看有你们村吗？ ​	2020年09月02日 18:52			2	https://weibo.com/5521606430/JiMZ86toM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiMZ86toM?uid=5521606430&rl=1
热门旅游攻略君	5030422367	JiMXVFGVw	#第二批全国乡村旅游重点村#你比较喜欢去城市逛街还是去乡村散步 你比较喜欢去城市逛街还是去乡村散步 ​	2020年09月02日 18:49	21	1	121	https://weibo.com/5030422367/JiMXVFGVw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiMXVFGVw?uid=5030422367&rl=1
三峡商报	2108053230	JiMXzdksL	【#宜昌# 7个村上榜#第二批全国乡村旅游重点村# 名单】9月2日，文化和旅游部官网发布《关于公布第二批全国乡村旅游重点村名单的通知》，宜昌7个乡村榜上有名：夷陵区太平溪镇许家冲村、长阳县龙舟坪镇郑家榜村、秭归县屈原镇西陵峡村、宜都市高坝洲镇青林寺村、夷陵区龙泉镇青龙村、五峰县长乐坪镇白 ​  展开全文c	2020年09月02日 18:48		1		https://weibo.com/2108053230/JiMXzdksL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiMXzdksL?uid=2108053230&rl=1
sxrtv-新闻中心	6213974274	JiMXoxORj	【#第二批全国乡村旅游重点村#名单公布，680个村有你们村吗？】文化和旅游部、国家发展改革委2日发布#第二批全国乡村旅游重点村名单#，680个村入围。看看有你们村吗？（中国新闻网） ​	2020年09月02日 18:48		评论		https://weibo.com/6213974274/JiMXoxORj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiMXoxORj?uid=6213974274&rl=1
旅少	6644124078	JiMWyj8cL	#第二批全国乡村旅游重点村#红城新县，将军故里“新县田铺乡田铺大湾村”“新县周河乡西河村”两处上榜一个风景很美的小县城，旅游景点很多，环境优美，一个有故事的城市，那里有西大山，九龙潭，金兰山，香山等一些很好玩风景很美的景点，都是不错的选择，去一趟会让您留恋不舍，值得去看看，美 ​  展开全文c	2020年09月02日 18:46	14	9	33	https://weibo.com/6644124078/JiMWyj8cL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiMWyj8cL?uid=6644124078&rl=1
子月卅	6509062080	JiMVXkHoz	#第二批全国乡村旅游重点村#看了半天，就去过一个打扰了，各位刘畅木法沙@刘畅木法沙 ​	2020年09月02日 18:44		评论		https://weibo.com/6509062080/JiMVXkHoz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiMVXkHoz?uid=6509062080&rl=1
徐泽弘	7280838652	JiMVEsbpg	#第二批全国乡村旅游重点村#江西居然没看到，呵呵。 尴尬😓再看一遍居然发现自己漏了 ​	2020年09月02日 18:43		评论		https://weibo.com/7280838652/JiMVEsbpg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiMVEsbpg?uid=7280838652&rl=1
长春校园	2002676497	JiMU1nCrp	#第二批全国乡村旅游重点村##第二批全国乡村旅游重点村名单##长春校园# 第二批全国旅游村中680个村入选，今天园园来问问，你旅游的时候是喜欢去大城市还是旅游村呢！ 你喜欢去哪里旅游？ ​	2020年09月02日 18:39			6	https://weibo.com/2002676497/JiMU1nCrp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiMU1nCrp?uid=2002676497&rl=1
