原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	泡面妹妹瑶瑶子	6878992259	泡面妹妹瑶瑶子:#章子怡夸Angelababy演技#	赞[1]	2020-09-01 21:19:41	来自限定快乐.Android
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	抱紧覃憨憨	7409190082	抱紧覃憨憨:转发微博	赞[0]	2020-09-01 21:22:52	来自OPPO A9
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	寻觅星光霁月	5966683648	寻觅星光霁月:#章子怡夸angelababy演技# 	赞[0]	2020-09-01 21:22:30	来自vivo S1照亮你的美
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	揽星间	7399900748	揽星间:转发微博	赞[0]	2020-09-01 21:21:50	来自荣耀Play 让快更快
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	momo戴花中毒成患者	momoqu	momo戴花中毒成患者:今天刚看到这里，没有想到会有这么一天：因为baby的戏哭😭！起码她在这部戏里演得真的挺好的！	赞[0]	2020-09-01 21:46:36	来自iPad air
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	桉纱桃奈	6858728346	桉纱桃奈:转发微博	赞[0]	2020-09-01 21:44:17	来自vivo智能手机
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	杨光下的芸颖	5905844036	杨光下的芸颖:#章子怡夸Angelababy演技# 这里真的太好哭了	赞[0]	2020-09-01 21:28:06	来自vivo X23 AI非凡摄影
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	邮寄粉色信笺_	7240406582	邮寄粉色信笺_:#章子怡夸Angelababy演技# 这段好带感啊	赞[0]	2020-09-01 21:27:35	来自柔光自拍vivo X7
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	esthhheerrr	7316202689	esthhheerrr:#章子怡夸angelababy演技# 心疼美宝	赞[0]	2020-09-01 21:26:29	来自娜娜0316Android
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	陈惜颖	7363973622	陈惜颖:#angelababy钟美宝# #章子怡夸Angelababy演技#	赞[0]	2020-09-01 21:24:11	来自vivo Z5x性能实力派
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	Mack不姓馬	6614958584	Mack不姓馬:#章子怡夸angelababy演技#这段我看哭了 超级带感@angelababy 	赞[0]	2020-09-01 22:15:23	来自Android
娜娜酱就是我	:#angelababy回复章子怡# #章子怡夸Angelababy演技#  作家安慰钟美宝，@angelababy 哭的时候下巴都在颤抖，这段哭戏太有感染力了。 娜娜酱就是我的微博视频 	2020-09-01 21:16:27    	字母颖的第0228号小莹	6917965133	字母颖的第0228号小莹:#章子怡夸angelababy演技# 这一段看起来好带劲，好喜欢	赞[1]	2020-09-01 21:55:45	来自ab送的🍑Android
