用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
南京广播电视台	2663751563	JcxJ6xFNQ	【变形金刚遭“克隆”，制假售假金额逾亿元】#上海警方捣毁仿制变形金刚团伙#近日，上海警方成功侦破全国首例侵犯变形金刚玩具品牌著作权案，捣毁制假售假犯罪团伙5人，并缴获侵权玩具模型及零部件3万余件，涉案销售金额达上亿元。（来源：上海虹口公安）O变形金刚遭“克隆”，制假售假金额逾亿元 L澎湃新闻的微博视频  ​  展开全文c	2020年07月23日 16:59		评论		https://weibo.com/2663751563/JcxJ6xFNQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxJ6xFNQ?uid=2663751563&rl=1
学术无忧	3217075772	JcxIAj4N8	#上海警方捣毁仿制变形金刚团伙#: 上次日方为了对警方打击山寨高达模型表示感谢，专门送了有关部门巨型高达模型。 2哈尔滨 ​	2020年07月23日 16:58		2	3	https://weibo.com/3217075772/JcxIAj4N8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxIAj4N8?uid=3217075772&rl=1
四川工人日报	1132428807	JcxIotNsh	【变形金刚遭“克隆”，制假售假金额逾亿元】#上海警方捣毁仿制变形金刚团伙#近日，上海警方成功侦破全国首例侵犯变形金刚玩具品牌著作权案，捣毁制假售假犯罪团伙5人，并缴获侵权玩具模型及零部件3万余件，涉案销售金额达上亿元。（来源：上海虹口公安）O变形金刚遭“克隆”，制假售假金额逾亿元 L澎湃新闻的微博视频  ​  展开全文c	2020年07月23日 16:58		评论		https://weibo.com/1132428807/JcxIotNsh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxIotNsh?uid=1132428807&rl=1
商界BUSINESS	1644510497	JcxI50VSG	【变形金刚遭“克隆”，制假售假金额逾亿元】#上海警方捣毁仿制变形金刚团伙#近日，上海警方成功侦破全国首例侵犯变形金刚玩具品牌著作权案，捣毁制假售假犯罪团伙5人，并缴获侵权玩具模型及零部件3万余件，涉案销售金额达上亿元。（来源：上海虹口公安）L澎湃新闻的微博视频 ​	2020年07月23日 16:57		评论		https://weibo.com/1644510497/JcxI50VSG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxI50VSG?uid=1644510497&rl=1
阿至律师	2172792324	JcxI3znnV	从此之后变形金刚就要贵了，原来几元钱一堆，现在等着公布新价格#上海警方捣毁仿制变形金刚团伙# ​	2020年07月23日 16:57		1	2	https://weibo.com/2172792324/JcxI3znnV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxI3znnV?uid=2172792324&rl=1
不爱吃牛油果的啊啊	6402089635	JcxHjbZxm	#上海警方捣毁仿制变形金刚团伙#害你有这本事去做点正经事它不香吗L澎湃新闻的微博视频 ​	2020年07月23日 16:55			3	https://weibo.com/6402089635/JcxHjbZxm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxHjbZxm?uid=6402089635&rl=1
用诗评论	5872198903	JcxHizh4h	【变形金刚遭“克隆”，制假售假金额逾亿元】#上海警方捣毁仿制变形金刚团伙#近日，上海警方成功侦破全国首例侵犯变形金刚玩具品牌著作权案，捣毁制假售假犯罪团伙5人，并缴获侵权玩具模型及零部件3万余件，涉案销售金额达上亿元。（来源：上海虹口公安）O变形金刚遭“克隆”，制假售假金额逾亿元 L澎湃新闻的微博视频  ​  展开全文c	2020年07月23日 16:55	1	2	5	https://weibo.com/5872198903/JcxHizh4h?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxHizh4h?uid=5872198903&rl=1
金融投资报	1878561790	JcxHffZ9T	#上海警方捣毁仿制变形金刚团伙#【#仿制变形金刚销售额上亿# 5名犯罪嫌疑人被捕】上海警方捣毁一从拆解制图、等比放大到仿制生产、包装售卖的全链条犯罪团伙，抓获嫌疑人5名，缴获仿制品及零部件近30种3万余件，涉案销售金额上亿。嫌疑人通过注册自有商标掩盖盗版之实，试图规避警方打击。（人民日报） ​	2020年07月23日 16:55			1	https://weibo.com/1878561790/JcxHffZ9T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxHffZ9T?uid=1878561790&rl=1
山东高速交警	3175480090	JcxGO8cVW	【变形金刚遭“克隆”，制假售假金额逾亿元】#上海警方捣毁仿制变形金刚团伙#近日，上海警方成功侦破全国首例侵犯变形金刚玩具品牌著作权案，捣毁制假售假犯罪团伙5人，并缴获侵权玩具模型及零部件3万余件，涉案销售金额达上亿元。（来源：上海虹口公安）O变形金刚遭“克隆”，制假售假金额逾亿元 L澎湃新闻的微博视频  ​  展开全文c	2020年07月23日 16:54	1		2	https://weibo.com/3175480090/JcxGO8cVW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxGO8cVW?uid=3175480090&rl=1
文明宁夏	3794338980	JcxGAtaZI	【变形金刚遭“克隆”，制假售假金额逾亿元】#上海警方捣毁仿制变形金刚团伙#近日，上海警方成功侦破全国首例侵犯变形金刚玩具品牌著作权案，捣毁制假售假犯罪团伙5人，并缴获侵权玩具模型及零部件3万余件，涉案销售金额达上亿元。（来源：上海虹口公安）O变形金刚遭“克隆”，制假售假金额逾亿元 L澎湃新闻的微博视频  ​  展开全文c	2020年07月23日 16:53		评论		https://weibo.com/3794338980/JcxGAtaZI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcxGAtaZI?uid=3794338980&rl=1
