用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
明星星扒客	3922548681	JcFAdkNwi	#乘风破浪的姐姐三公#《彩虹节拍》cut这次张雨绮 伊能静 金莎 张含韵 蓝盈莹的三公舞台真的让人眼前一亮，国风折扇版宅舞《彩虹节拍》，姐姐们的造型也是打破了我对姐姐们一如既往的感觉，张雨绮也表示我们就是无限可能，这个舞台你pick了嘛 O网页链接 ​	2020年07月24日 12:59			11	https://weibo.com/3922548681/JcFAdkNwi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFAdkNwi?uid=3922548681&rl=1
我是一个PANGPANG	2784274192	JcFAcb17O	#乘风破浪的姐姐三公#那500个投票的浪花是脑子有水吗？意见不同的别来杠我 2马鞍山 ​	2020年07月24日 12:59		22	18	https://weibo.com/2784274192/JcFAcb17O?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFAcb17O?uid=2784274192&rl=1
牧寡	3873712805	JcFAbxbA9	不要因为事与愿违而感到惊讶，因为这个宇宙比你大得多。#乘风破浪的姐姐三公# 2大理·大理洱海 L牧寡的微博视频 ​	2020年07月24日 12:59	1		5	https://weibo.com/3873712805/JcFAbxbA9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFAbxbA9?uid=3873712805&rl=1
娱baby	1256970057	JcFAb0bdJ	#乘风破浪的姐姐三公# 乘风破浪的姐姐公演真是越来越精彩了！个人积分战好燃呀，你们最期待谁？ L娱baby的微博视频 ​	2020年07月24日 12:59	506	737	1303	https://weibo.com/1256970057/JcFAb0bdJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFAb0bdJ?uid=1256970057&rl=1
薛定谔的54喵	5874257296	JcFAa4Mfm	#乘风破浪的姐姐三公#  孟佳组爱了爱了 ​	2020年07月24日 12:59		评论		https://weibo.com/5874257296/JcFAa4Mfm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFAa4Mfm?uid=5874257296&rl=1
妃liyanfei	5315305620	JcFA79CWz	#乘风破浪的姐姐三公#孟佳的无价之姐舞台也太帅了吧 啊啊啊尖叫声！后面还没看 但是知道佳佳子三公要被淘汰了 哭哭 我真的好心疼孟佳 复活赛给我冲 给我出道！ 2南宁 ​	2020年07月24日 12:59			10	https://weibo.com/5315305620/JcFA79CWz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFA79CWz?uid=5315305620&rl=1
综艺星私藏	6101001150	JcFA6uHpF	#乘风破浪的姐姐三公#《乘风破浪的姐姐》三公舞台来袭《GENTLE WOMEN》《彩虹节拍》《花样年华》《人美路子野》，你最看好哪个舞台呢？ 你最看好哪个舞台呢？  ​	2020年07月24日 12:59			172	https://weibo.com/6101001150/JcFA6uHpF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFA6uHpF?uid=6101001150&rl=1
茉莉花茶配酸菜	6084018913	JcFA5m3og	#乘风破浪的姐姐三公#？这节目要是没有剧本我就当场把我手机吃了 ​	2020年07月24日 12:59		1	3	https://weibo.com/6084018913/JcFA5m3og?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFA5m3og?uid=6084018913&rl=1
乔乔的追星日常	5105377429	JcFA2BZ5v	#乘风破浪的姐姐三公# 开场舞张含韵、王霏霏、孟佳、李斯丹妮这版《无价之姐》! 重点夸孟佳和王霏霏！不愧是女团出身真的是看的太爽了，飒！ L乔乔的追星日常的微博视频 ​	2020年07月24日 12:59	244	327	852	https://weibo.com/5105377429/JcFA2BZ5v?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFA2BZ5v?uid=5105377429&rl=1
追星族	5445974647	JcFA1f0Bq	#乘风破浪的姐姐三公#姐姐们是越来越燃炸了，感觉每一个姐姐都好拼！每一组选出来掰头的姐姐更炸 ​	2020年07月24日 12:59		评论		https://weibo.com/5445974647/JcFA1f0Bq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFA1f0Bq?uid=5445974647&rl=1
233新出发	7304432767	JcFA0DoQP	#乘风破浪的姐姐三公#张含韵solo居然第一，表情管理不到位，用力过度没有美感，没有感染力，真的难以置信！她的舞台没有魅力，其他3人舞蹈我都好可，啊啊啊啊！！！！之前不喜欢孟佳，今天表现的很合我心，舞台魅力绝了！！！王霏霏跳舞好帅啊，那表情，全场我最吊！！！李斯丹妮戴墨镜那刻，杀我，啊 ​  展开全文c	2020年07月24日 12:59			1	https://weibo.com/7304432767/JcFA0DoQP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFA0DoQP?uid=7304432767&rl=1
·小熊蛋挞·	6575873114	JcFzZ5qsd	#乘风破浪的姐姐三公#真的挺喜欢孟佳的 姐姐长的漂亮实力也不差 怎么每次分都这么不合意呢…意难平 ​	2020年07月24日 12:59		评论		https://weibo.com/6575873114/JcFzZ5qsd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFzZ5qsd?uid=6575873114&rl=1
mikecocosuixin	7060649972	JcFzXnmaQ	#乘风破浪的姐姐三公#啊啊啊我没了我没了！王霏霏这段solo真是鲨死我了 L萤希日月的微博视频 ​	2020年07月24日 12:59		1	21	https://weibo.com/7060649972/JcFzXnmaQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcFzXnmaQ?uid=7060649972&rl=1
