原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	不良平自大	6381195949	不良平自大:加油吧！你可以晋级的	赞[0]	2020-08-14 13:36:10	来自iPhone客户端
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	溫柔殺kfTa	7462973541	溫柔殺kfTa:转发微博	赞[0]	2020-08-14 12:26:49	来自小米6 拍人更美
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	浦西仙子	5383771160	浦西仙子:转发微博	赞[0]	2020-08-14 14:30:30	来自iPhone客户端
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	跳跳溏	1904745237	跳跳溏:转发微博	赞[0]	2020-08-15 08:03:44	来自iPhone客户端
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	木木木木头头头头头头	ilovemiaokeli	木木木木头头头头头头:转发微博	赞[0]	2020-08-15 03:14:19	来自iPhone客户端
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	菲到花丛中吖	1764363577	菲到花丛中吖:上次是跟金晨抢歌词、还好还好！开玩笑就把歌词抢到手！但这次抢歌就真是恶心人了、什么玩意！这首歌不能唱就不唱了？那你还是别唱了要不这么多人黑你呢！不是没道理	赞[0]	2020-08-15 21:21:30	来自iPhone客户端
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	阿文阿巴	5500280186	阿文阿巴:转发微博	赞[0]	2020-08-15 17:51:39	来自华为手机
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	冰谷幽园	yuan1922	冰谷幽园:转发微博	赞[0]	2020-08-15 11:26:08	来自iPhone客户端
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	ai俩千金	5176451786	ai俩千金:转发微博	赞[0]	2020-08-15 11:00:53	来自iPhone客户端
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	大力电吹风	6553530955	大力电吹风:啊朵好好	赞[0]	2020-08-16 17:52:06	来自iPhone客户端
新浪大文娱	:#阿朵把屋顶着火让给沈梦辰# 复活团选歌阿朵和沈梦辰都选中了《屋顶着火》，但因为梦辰的“苦苦哀求”，阿朵把歌让给了她最终沈梦辰凭借这首歌帮复活团夺得首胜，团长阿朵决策棒棒哒#乘风破浪的姐姐复活换位战# Hello网生代的微博视频 	2020-08-14 12:25:40    	咋咋呼呼的小孩	6000289721	咋咋呼呼的小孩:感觉阿朵很好，也很有实力	赞[0]	2020-08-16 11:12:18	来自2019微博极速版
