原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	沈阳房天下	512350345	沈阳房天下:#今年上半年华为手机发货量1.05亿#	赞[1]	2020-09-10 17:04:53	来自iPhone客户端
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	展泰201607	5969571511	展泰201607:转发微博	赞[0]	2020-09-10 15:07:32	来自Redmi K30 5G先锋
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	起什麼呢	5560458423	起什麼呢:转发微博	赞[0]	2020-09-10 15:04:14	来自微博原生直播
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	壹纹小先生	5527851258	壹纹小先生:转发微博	赞[0]	2020-09-10 17:27:19	来自荣耀X10 5G
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	雪山神明的泪与光	7320885493	雪山神明的泪与光:转发微博	赞[0]	2020-09-10 17:26:30	来自HUAWEI Mate 10 Pro
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	依唯50121	6395609249	依唯50121:转发微博	赞[0]	2020-09-10 17:24:45	来自iPhone客户端
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	英文名-WangLin	2818137581	英文名-WangLin:转发微博	赞[0]	2020-09-10 17:20:44	来自微博原生直播
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	本命杰瑞	6157357798	本命杰瑞:转发微博	赞[0]	2020-09-10 17:18:50	来自微博原生直播
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	identity的古典式摸索	6100484010	identity的古典式摸索:转发微博	赞[0]	2020-09-10 17:16:54	来自微博原生直播
新京报贝壳财经	:【#华为开发者大会2020#】华为EMUI11发布，想知道走进充满奇妙可能的世界，是怎样的体验？9月10日15:00，华为开发者大会2020正式开始，一起打开未来。#今年上半年华为手机发货量1.05亿# 新京报贝壳财经的微博视频 	2020-09-10 15:00:06    	加特林_哒哒哒哒哒	3292491427	加特林_哒哒哒哒哒:转发微博	赞[0]	2020-09-10 17:47:19	来自微博原生直播
