用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
一个小丑	6568335996	Jd750fJSn	#全班62人有59人高考超600分# 重点班不稀奇，稀奇的是生源可观啊。 ​	2020年07月27日 10:59		评论		https://weibo.com/6568335996/Jd750fJSn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd750fJSn?uid=6568335996&rl=1
FM974珠江经济台	1770165364	Jd74Zjfo1	【#62人学霸班59人高考超600分#，班主任：同寝室学生比着学】#全班62人有59人高考超600分# 郑州第七中学一高三理科班62人，59人高考分数在600分以上，全班最高分是郝柏佳同学考的694分。她说得知自己分数时还挺意外的，在平时的考试中最高只考过680分。班主任楚老师说这届高三班是自己带过成绩最好的一 ​  展开全文c	2020年07月27日 10:59	1		1	https://weibo.com/1770165364/Jd74Zjfo1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74Zjfo1?uid=1770165364&rl=1
株洲共青团	1461331505	Jd74Zki9u	郑州第七中学一高三理科班62人，楚老师说这届高三学生是自己带过成绩最好的一届 ！（政知道）#全班62人有59人高考超600分# L辽宁共青团的微博视频 ​​​	2020年07月27日 10:59			2	https://weibo.com/1461331505/Jd74Zki9u?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74Zki9u?uid=1461331505&rl=1
陇南市场监管	3778456060	Jd74XxRho	【#62人学霸班59人高考超600分#，班主任：同寝室学生比着学】#全班62人有59人高考超600分# 郑州第七中学一高三理科班62人，59人高考分数在600分以上，全班最高分是郝柏佳同学考的694分。她说得知自己分数时还挺意外的，在平时的考试中最高只考过680分。班主任楚老师说这届高三班是自己带过成绩最好的一 ​  展开全文c	2020年07月27日 10:59			1	https://weibo.com/3778456060/Jd74XxRho?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74XxRho?uid=3778456060&rl=1
思绪泛滥了吗	3630664093	Jd74XhlZs	#全班62人有59人高考超600分#这是什么神仙班级，想着这样学习氛围浓厚的地方，不想学习都是罪恶的啊太羡慕了太羡慕了 ​	2020年07月27日 10:59			1	https://weibo.com/3630664093/Jd74XhlZs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74XhlZs?uid=3630664093&rl=1
墨不末	7399600675	Jd74Wo6Vj	#全班62人有59人高考超600分#看着厉害，本质尖子班拿出来呼弄人罢了 2平泉 ​	2020年07月27日 10:59		评论		https://weibo.com/7399600675/Jd74Wo6Vj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74Wo6Vj?uid=7399600675&rl=1
莹莹的背后有光啊	5767668174	Jd74TnulW	#全班62人有59人高考超600分#ᴹᵃʸ ᵉᵛᵉʳʸᵗʰⁱⁿᵍ ʸᵒᵘ ᵐᵉᵉᵗ ⁱⁿ ˢᵘᵐᵐᵉʳ ᵇᵉˡᵒⁿᵍ ᵗᵒ ʳᵒᵐᵃⁿᶜᵉ愿夏天遇见的一切，都是属于浪漫的刚刚好 2项城市 ​	2020年07月27日 10:59			1	https://weibo.com/5767668174/Jd74TnulW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74TnulW?uid=5767668174&rl=1
研究毛发的AD钙	7352121617	Jd74OogHN	石景山粉丝投稿:植发1个月进入了脱落期，每天盯着镜子看有没有头发脱落，感觉还是密密麻麻的，至少现在看起来额头不像以前那么光秃秃了。发际线调整#植发际线##植发##发际线调整##拯救发际线##杭州杀妻嫌犯前妻闺蜜之女死亡旧案##全班62人有59人高考超600分##金城武用烟给周迅点烟花# ​  展开全文c	2020年07月27日 10:59		评论		https://weibo.com/7352121617/Jd74OogHN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74OogHN?uid=7352121617&rl=1
MD_青倪	5441050541	Jd74Oqus2	#全班62人有59人高考超600分#太厉害了吧！🙈 ​	2020年07月27日 10:59		评论		https://weibo.com/5441050541/Jd74Oqus2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74Oqus2?uid=5441050541&rl=1
起个随便的昵称就好了吧	5615473851	Jd74ME0vR	#全班62人有59人高考超600分# ​	2020年07月27日 10:59		评论		https://weibo.com/5615473851/Jd74ME0vR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jd74ME0vR?uid=5615473851&rl=1
