用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
向上娱乐	7350604654	JgX7wCJOX	#刘诗诗亲爱的自己# 不忘初心，努力追寻。期待《亲爱的自己》李思雨@刘诗诗 ​	2020年08月21日 16:59	157	151	1628	https://weibo.com/7350604654/JgX7wCJOX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7wCJOX?uid=7350604654&rl=1
明星快车	7343573528	JgX7w1jXf	#刘诗诗亲爱的自己# 由刘诗诗主演的电视剧《亲爱的自己》即将要上线了，不忘初心，努力追寻成为更好的自己。剧照很唯美温柔呀，期待刘诗诗给我们带来惊喜，期待李思雨经理 ​	2020年08月21日 16:59			11	https://weibo.com/7343573528/JgX7w1jXf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7w1jXf?uid=7343573528&rl=1
Hannahhahah	1930644987	JgX7t0JUC	#刘诗诗亲爱的自己# 李思雨通过努力卖电池发家致富后，去三亚旅游并寄回了明信片如下 ​	2020年08月21日 16:59		1	11	https://weibo.com/1930644987/JgX7t0JUC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7t0JUC?uid=1930644987&rl=1
冰镇西瓜666	3869097722	JgX7r2a4S	刘诗诗#刘诗诗碧海蓝天红裙大片# 这是麒麟的活动，把小爱话题推到热搜了吗？#刘诗诗亲爱的自己# ​	2020年08月21日 16:59	1	7	20	https://weibo.com/3869097722/JgX7r2a4S?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7r2a4S?uid=3869097722&rl=1
多愁公子方多病	5725727564	JgX7pdsFP	#刘诗诗亲爱的自己#真的要来了吗 ​	2020年08月21日 16:59		1		https://weibo.com/5725727564/JgX7pdsFP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7pdsFP?uid=5725727564&rl=1
烤鹅诗	5888314899	JgX7oE0La	#刘诗诗亲爱的自己#这两张图片绝了 ​	2020年08月21日 16:59			19	https://weibo.com/5888314899/JgX7oE0La?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7oE0La?uid=5888314899&rl=1
一个不想红的海绵宝宝和派大星	2257322825	JgX7mutBa	#qeelin品牌代言人刘诗诗# 刘诗诗红裙就是最美的#刘诗诗亲爱的自己# ​	2020年08月21日 16:59			5	https://weibo.com/2257322825/JgX7mutBa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7mutBa?uid=2257322825&rl=1
不过你不在身边	5820210414	JgX7mhgfp	#刘诗诗亲爱的自己#姐姐今天也太美了吧！！！期待刘诗诗李思雨@刘诗诗 快点播快点播快点播 ​	2020年08月21日 16:59		1		https://weibo.com/5820210414/JgX7mhgfp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7mhgfp?uid=5820210414&rl=1
coisiniEsther	2143296092	JgX7iDV5I	#刘诗诗亲爱的自己#真的内娱天花板了吧我太爱我姐了@刘诗诗 ​	2020年08月21日 16:59		1		https://weibo.com/2143296092/JgX7iDV5I?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7iDV5I?uid=2143296092&rl=1
十一分的清甜	3918797840	JgX7irNmx	#刘诗诗亲爱的自己#刘诗诗和朱一龙主演的《亲爱的自己》预计九月播出，两个人都有演技会挑剧本，期待新剧播出 ​	2020年08月21日 16:59		1	4	https://weibo.com/3918797840/JgX7irNmx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgX7irNmx?uid=3918797840&rl=1
