用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
中国日报	1663072851	JgekND9ic	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。自伏季休渔开始以来，广东省海洋综合执法总队严格按照“史上最严伏季休渔管理”标准要求，确保海洋伏季休渔制度顺利实施。开渔啦！一大波海鲜正在向你奔来，你准备好了吗？O网页链接 ​	2020年08月16日 22:59	64	56	441	https://weibo.com/1663072851/JgekND9ic?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgekND9ic?uid=1663072851&rl=1
临渭检察	5347246109	JgdT4fDTt	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。自伏季休渔开始以来，广东省海洋综合执法总队严格按照“史上最严伏季休渔管理”标准要求，确保海洋伏季休渔制度顺利实施。开渔啦！一大波海鲜正在向你奔来，你准备好了吗（人民日报） ​	2020年08月16日 21:50		评论		https://weibo.com/5347246109/JgdT4fDTt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgdT4fDTt?uid=5347246109&rl=1
广东共青团	1910695630	JgdFYr3uu	开海啦！广东阳江举办开渔节，一艘艘渔船相继出海，一时间千舟竞渡...#南海开渔了#@南方都市报 L广东共青团的微博视频 ​	2020年08月16日 21:18	1	6	61	https://weibo.com/1910695630/JgdFYr3uu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgdFYr3uu?uid=1910695630&rl=1
四川文旅	1780853205	JgdCv2nki	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。一大波海鲜正在向你奔来，你准备好了吗（人民日报）O网页链接 ​​​	2020年08月16日 21:09			2	https://weibo.com/1780853205/JgdCv2nki?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgdCv2nki?uid=1780853205&rl=1
无锡交通广播	1750349240	Jgdz7zhgG	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。自伏季休渔开始以来，广东省海洋综合执法总队严格按照“史上最严伏季休渔管理”标准要求，确保海洋伏季休渔制度顺利实施。开渔啦！一大波海鲜正在向你奔来，你准备好了吗（人民日报） ​	2020年08月16日 21:01	2		5	https://weibo.com/1750349240/Jgdz7zhgG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgdz7zhgG?uid=1750349240&rl=1
天津日报	3546332963	JgdqnEn4c	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。自伏季休渔开始以来，广东省海洋综合执法总队严格按照“史上最严伏季休渔管理”标准要求，确保海洋伏季休渔制度顺利实施。开渔啦！一大波海鲜正在向你奔来，你准备好了吗（人民日报） ​	2020年08月16日 20:40	1	评论		https://weibo.com/3546332963/JgdqnEn4c?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgdqnEn4c?uid=3546332963&rl=1
宁夏反邪教	5902163482	JgdaylRER	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。自伏季休渔开始以来，广东省海洋综合执法总队严格按照“史上最严伏季休渔管理”标准要求，确保海洋伏季休渔制度顺利实施。开渔啦！一大波海鲜正在向你奔来，你准备好了吗（人民日报）O网页链接 ​  展开全文c	2020年08月16日 20:01		评论		https://weibo.com/5902163482/JgdaylRER?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgdaylRER?uid=5902163482&rl=1
九江瑞昌发布	2894982024	Jgd8ulE7m	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。自伏季休渔开始以来，广东省海洋综合执法总队严格按照“史上最严伏季休渔管理”标准要求，确保海洋伏季休渔制度顺利实施。开渔啦！一大波海鲜正在向你奔来，你准备好了吗（人民日报）O网页链接 ​  展开全文c	2020年08月16日 19:55	1		1	https://weibo.com/2894982024/Jgd8ulE7m?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgd8ulE7m?uid=2894982024&rl=1
抚州南城发布	1621377144	Jgd8bbxtv	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。自伏季休渔开始以来，广东省海洋综合执法总队严格按照“史上最严伏季休渔管理”标准要求，确保海洋伏季休渔制度顺利实施。开渔啦！一大波海鲜正在向你奔来，你准备好了吗（人民日报）O网页链接 ​  展开全文c	2020年08月16日 19:55	4	1	1	https://weibo.com/1621377144/Jgd8bbxtv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jgd8bbxtv?uid=1621377144&rl=1
重庆巴南法院	3929121882	JgcZK9c9M	【开渔啦！#史上最严南海休渔结束#】#南海开渔了#16日中午12时，南海伏季休渔结束。自伏季休渔开始以来，广东省海洋综合执法总队严格按照“史上最严伏季休渔管理”标准要求，确保海洋伏季休渔制度顺利实施。开渔啦！一大波海鲜正在向你奔来，你准备好了吗（人民日报）O网页链接 ​  展开全文c	2020年08月16日 19:34	7	4	9	https://weibo.com/3929121882/JgcZK9c9M?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgcZK9c9M?uid=3929121882&rl=1
