用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
深圳网警	1977889537	JeFjmm4ph	#外交部回应驻日美军成防疫体系漏洞#【驻日美军成日本防疫体系一大漏洞，汪文斌：大国还是应该有大国的样子】2020年8月5日，外交部发言人汪文斌主持例行记者会，以下为部分内容。#外交部谈驻日美军成日本防疫体系漏洞#问：据日本媒体报道，截至8月3日，仅在冲绳地区的驻日美军累计确诊新冠肺炎病例就 ​  展开全文c	2020年08月06日 15:59		2	3	https://weibo.com/1977889537/JeFjmm4ph?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFjmm4ph?uid=1977889537&rl=1
四川省人民检察院	5104646524	JeFiVb20G	【#外交部回应驻日美军成防疫体系漏洞#】日本媒体评论称，由于驻日美军未严格落实入境防疫规定，已成为日本防疫体系一大漏洞。对此，外交部发言人汪文斌表示：美军滥用治外法权，给有关国家带去病毒，这已成为世界范围内疫情防控的重大现实风险。美方应承担大国应尽的特殊责任，切实加强对海外驻军的纪 ​  展开全文c	2020年08月06日 15:57			1	https://weibo.com/5104646524/JeFiVb20G?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFiVb20G?uid=5104646524&rl=1
江北检察	2972503342	JeFiv8Ddr	【#外交部回应驻日美军成防疫体系漏洞#】日本媒体评论称，由于驻日美军未严格落实入境防疫规定，已成为日本防疫体系一大漏洞。对此，外交部发言人汪文斌表示：美军滥用治外法权，给有关国家带去病毒，这已成为世界范围内疫情防控的重大现实风险。美方应承担大国应尽的特殊责任，切实加强对海外驻军的纪 ​  展开全文c	2020年08月06日 15:56		13	19	https://weibo.com/2972503342/JeFiv8Ddr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFiv8Ddr?uid=2972503342&rl=1
长沙共青团	2176714344	JeFi5r9ja	【#外交部回应驻日美军成防疫体系漏洞# 】驻日美军确诊多达270例，成日防疫体系漏洞，汪文斌：大国还是应该有大国的样子。 #美国新冠肺炎确诊超481万# L浙江团省委的微博视频 ​​​	2020年08月06日 15:55			2	https://weibo.com/2176714344/JeFi5r9ja?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFi5r9ja?uid=2176714344&rl=1
安徽反邪教	5964184998	JeFhTyBDY	【#外交部回应驻日美军成防疫体系漏洞#】日本媒体评论称，由于驻日美军未严格落实入境防疫规定，已成为日本防疫体系一大漏洞。对此，外交部发言人汪文斌表示：美军滥用治外法权，给有关国家带去病毒，这已成为世界范围内疫情防控的重大现实风险。美方应承担大国应尽的特殊责任，切实加强对海外驻军的纪 ​  展开全文c	2020年08月06日 15:55	55	53	52	https://weibo.com/5964184998/JeFhTyBDY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFhTyBDY?uid=5964184998&rl=1
浙江团省委	3142846247	JeFhD5gU1	【#外交部回应驻日美军成防疫体系漏洞# 】驻日美军确诊多达270例，成日防疫体系漏洞，汪文斌：大国还是应该有大国的样子。 #美国新冠肺炎确诊超481万# L浙江团省委的微博视频 ​	2020年08月06日 15:54	2		6	https://weibo.com/3142846247/JeFhD5gU1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFhD5gU1?uid=3142846247&rl=1
学术无忧	3217075772	JeFhCd9p1	#外交部回应驻日美军成防疫体系漏洞#: 日本又管不了美国驻军，没办法 2哈尔滨 ​	2020年08月06日 15:54		评论		https://weibo.com/3217075772/JeFhCd9p1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFhCd9p1?uid=3217075772&rl=1
红城骑兵	1602362023	JeFhADTDb	#外交部回应驻日美军成防疫体系漏洞#啊啊啊啊！#热点，大家谈！# ​	2020年08月06日 15:54		评论		https://weibo.com/1602362023/JeFhADTDb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFhADTDb?uid=1602362023&rl=1
汕头政法	6092082113	JeFhnES56	【#外交部回应驻日美军成防疫体系漏洞#】日本媒体评论称，由于驻日美军未严格落实入境防疫规定，已成为日本防疫体系一大漏洞。对此，外交部发言人汪文斌表示：美军滥用治外法权，给有关国家带去病毒，这已成为世界范围内疫情防控的重大现实风险。美方应承担大国应尽的特殊责任，切实加强对海外驻军的纪 ​  展开全文c	2020年08月06日 15:54			4	https://weibo.com/6092082113/JeFhnES56?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFhnES56?uid=6092082113&rl=1
段奥娟的小歌名	6672359791	JeFgQhAv1	#外交部回应驻日美军成防疫体系漏洞#中国要好好想想这么对付美国了 要让美国付出代价 ​	2020年08月06日 15:52		评论		https://weibo.com/6672359791/JeFgQhAv1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFgQhAv1?uid=6672359791&rl=1
猫喵兔八七	3831980712	JeFgNkgMH	#外交部回应驻日美军成防疫体系漏洞#美国把病毒传遍全世界 ​	2020年08月06日 15:52		评论		https://weibo.com/3831980712/JeFgNkgMH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFgNkgMH?uid=3831980712&rl=1
来点石锤	7283364547	JeFgMumlC	【#外交部回应驻日美军成防疫体系漏洞#】日本媒体评论称，由于驻日美军未严格落实入境防疫规定，已成为日本防疫体系一大漏洞。对此，外交部发言人汪文斌表示：美军滥用治外法权，给有关国家带去病毒，这已成为世界范围内疫情防控的重大现实风险。美方应承担大国应尽的特殊责任，切实加强对海外驻军的纪 ​  展开全文c	2020年08月06日 15:52	4	1	12	https://weibo.com/7283364547/JeFgMumlC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFgMumlC?uid=7283364547&rl=1
南宁晚报	2685336121	JeFgLf8hR	【#外交部回应驻日美军成防疫体系漏洞#】日本媒体评论称，由于驻日美军未严格落实入境防疫规定，已成为日本防疫体系一大漏洞。对此，外交部发言人汪文斌表示：美军滥用治外法权，给有关国家带去病毒，这已成为世界范围内疫情防控的重大现实风险。美方应承担大国应尽的特殊责任，切实加强对海外驻军的纪 ​  展开全文c	2020年08月06日 15:52	3		1	https://weibo.com/2685336121/JeFgLf8hR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFgLf8hR?uid=2685336121&rl=1
四川共青团	1718699234	JeFgrvwKv	【#外交部回应驻日美军成防疫体系漏洞#】日本媒体评论称，由于驻日美军未严格落实入境防疫规定，已成为日本防疫体系一大漏洞。对此，外交部发言人汪文斌表示：美军滥用治外法权，给有关国家带去病毒，这已成为世界范围内疫情防控的重大现实风险。美方应承担大国应尽的特殊责任，切实加强对海外驻军的纪 ​  展开全文c	2020年08月06日 15:51	1	2		https://weibo.com/1718699234/JeFgrvwKv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFgrvwKv?uid=1718699234&rl=1
invinc-ible	6242596084	JeFfC2nTJ	【#外交部回应驻日美军成防疫体系漏洞#】日本媒体评论称，由于驻日美军未严格落实入境防疫规定，已成为日本防疫体系一大漏洞。对此，外交部发言人汪文斌表示：美军滥用治外法权，给有关国家带去病毒，这已成为世界范围内疫情防控的重大现实风险。美方应承担大国应尽的特殊责任，切实加强对海外驻军的纪 ​  展开全文c	2020年08月06日 15:49		评论		https://weibo.com/6242596084/JeFfC2nTJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeFfC2nTJ?uid=6242596084&rl=1
