用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
世海独狼	1165783210	JjbMjbGNR	#外婆望远镜看孙子上幼儿园#外孙子不孤单   同学暂时不认识   远远地还有外婆陪着呢…… ​	2020年09月05日 09:59		评论		https://weibo.com/1165783210/JjbMjbGNR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbMjbGNR?uid=1165783210&rl=1
龙南发布	3912707918	JjbM72G0x	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个L瓦特视频的微博视频 ​​​	2020年09月05日 09:59		评论		https://weibo.com/3912707918/JjbM72G0x?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbM72G0x?uid=3912707918&rl=1
浪圈每日播报	1881159861	JjbLQd5Dq	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个L瓦特视频的微博视频 ​	2020年09月05日 09:58	1	1	2	https://weibo.com/1881159861/JjbLQd5Dq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLQd5Dq?uid=1881159861&rl=1
你能不能多见见世面	2780457263	JjbLQd63Y	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个L瓦特视频的微博视频 ​	2020年09月05日 09:58		评论		https://weibo.com/2780457263/JjbLQd63Y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLQd63Y?uid=2780457263&rl=1
新浪看点	1778758223	JjbLQebm9	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个L瓦特视频的微博视频 ​	2020年09月05日 09:58	2	1	8	https://weibo.com/1778758223/JjbLQebm9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLQebm9?uid=1778758223&rl=1
新浪新闻客户端	2318910945	JjbLPBtfx	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个L瓦特视频的微博视频 ​	2020年09月05日 09:58	10	23	139	https://weibo.com/2318910945/JjbLPBtfx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLPBtfx?uid=2318910945&rl=1
哼哼搞事业	2264182177	JjbLOsOws	#外婆望远镜看孙子上幼儿园#挺真实的，昨天还听一个宝妈说高倍望远镜坏了，要再买个新的 ​	2020年09月05日 09:58		评论		https://weibo.com/2264182177/JjbLOsOws?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLOsOws?uid=2264182177&rl=1
科创中国	7437634407	JjbLJEDkz	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个 @瓦特视频 L瓦特视频的微博视频 ​	2020年09月05日 09:58			1	https://weibo.com/7437634407/JjbLJEDkz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLJEDkz?uid=7437634407&rl=1
格格育儿	1204556111	JjbLJrpyB	#外婆望远镜看孙子上幼儿园##微博亲子季#  最近各地学校、幼儿园纷纷开学，神兽们终于回到了期盼已久的校园。在湖南长沙，一位外婆用望远镜看孙子上幼儿园的小视频在网络上广为流传。视频中，外婆踩着小凳子，站在自家的窗台边，手里还拿着望远镜，仔细地观察着小外孙的一举一动，而且边看还边给孩子的 ​  展开全文c	2020年09月05日 09:58		评论		https://weibo.com/1204556111/JjbLJrpyB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLJrpyB?uid=1204556111&rl=1
营口新闻哥	5534513423	JjbLCDz31	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个 @瓦特视频 L瓦特视频的微博视频 ​	2020年09月05日 09:57		2		https://weibo.com/5534513423/JjbLCDz31?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLCDz31?uid=5534513423&rl=1
朱一龙的星光	6263740628	JjbLzllXb	#外婆望远镜看孙子上幼儿园#相当于你所有的活动都在监控下，不禁毛骨悚然 ​​​	2020年09月05日 09:57			1	https://weibo.com/6263740628/JjbLzllXb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLzllXb?uid=6263740628&rl=1
思路敏锐	5638870893	JjbLsBS8U	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个 L瓦特视频的微博视频 ​	2020年09月05日 09:57		1	6	https://weibo.com/5638870893/JjbLsBS8U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLsBS8U?uid=5638870893&rl=1
徽州反邪教	5384801243	JjbLibZPd	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个 @瓦特视频 L瓦特视频的微博视频 ​​​	2020年09月05日 09:56		评论		https://weibo.com/5384801243/JjbLibZPd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLibZPd?uid=5384801243&rl=1
每天要fighting鸭	7273820886	JjbLihtUt	#外婆望远镜看孙子上幼儿园#幼儿园有奶奶盯、 长大了 有班主任在门外盯🙈 ​	2020年09月05日 09:56		评论		https://weibo.com/7273820886/JjbLihtUt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLihtUt?uid=7273820886&rl=1
妮妮麻麻ding	1734202423	JjbLhAn7Y	#外婆望远镜看孙子上幼儿园#回头也给我公公婆婆整上个望远镜看孙女做广播体操 ​	2020年09月05日 09:56		5	3	https://weibo.com/1734202423/JjbLhAn7Y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbLhAn7Y?uid=1734202423&rl=1
木子槿1113	5359147072	JjbL3uVDE	#外婆望远镜看孙子上幼儿园#有外公外婆在，真的是件很幸福的事情。想我的外公外婆了！ ​	2020年09月05日 09:56	1		6	https://weibo.com/5359147072/JjbL3uVDE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbL3uVDE?uid=5359147072&rl=1
陇南成县抛沙司法所	2813607252	JjbKJ6DEC	#外婆望远镜看孙子上幼儿园#家长墙外看孩子，全国统一姿势！不过也挺暖心的 L青年湖南的微博视频 ​​​	2020年09月05日 09:55		1	2	https://weibo.com/2813607252/JjbKJ6DEC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbKJ6DEC?uid=2813607252&rl=1
七捆旺仔	6294001890	JjbKG9jOw	小狐狸的漂流瓶#外婆望远镜看孙子上幼儿园# 好危险啊…外婆注意安全，真的…我同学就是晚上踩在凳子上去收衣服结果摔下去没了 ​	2020年09月05日 09:55			1	https://weibo.com/6294001890/JjbKG9jOw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbKG9jOw?uid=6294001890&rl=1
夫天妈妈	6084500731	JjbKDrqBs	#外婆望远镜看孙子上幼儿园#这个外婆真是太操心了，这么远望会让心里更不踏实。 ​	2020年09月05日 09:55			3	https://weibo.com/6084500731/JjbKDrqBs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbKDrqBs?uid=6084500731&rl=1
青年湖南	2178873290	JjbKnbl1y	#外婆望远镜看孙子上幼儿园#家长墙外看孩子，全国统一姿势！不过也挺暖心的#我的美好生活# L青年湖南的微博视频 ​	2020年09月05日 09:54	33	4	45	https://weibo.com/2178873290/JjbKnbl1y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbKnbl1y?uid=2178873290&rl=1
朱家的虎皮尖椒	6016664465	JjbKiry6u	#外婆望远镜看孙子上幼儿园#厉害了 ​	2020年09月05日 09:54		评论		https://weibo.com/6016664465/JjbKiry6u?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbKiry6u?uid=6016664465&rl=1
环翠发布	3886230775	JjbKg83Oa	#外婆望远镜看孙子上幼儿园#一位外婆用望远镜看幼儿园外孙的视频感动了网友，外婆边观察边解说。网友：外婆侦察兵出身吧 L辽宁共青团的微博视频 ​ L环翠发布的微博视频 ​	2020年09月05日 09:54	1		3	https://weibo.com/3886230775/JjbKg83Oa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbKg83Oa?uid=3886230775&rl=1
楚天交通广播	2000016880	JjbK91tZg	【#外婆望远镜看孙子上幼儿园# 自带解说：他站第一个】9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，视频中外婆踩着小凳子站在自家窗台边，用望远镜观察着幼儿园外孙的一举一动，期间还给一旁的孩子妈妈现场解说：他站在第一个 @瓦特视频 L瓦特视频的微博视频 ​​​	2020年09月05日 09:54	2	1	1	https://weibo.com/2000016880/JjbK91tZg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbK91tZg?uid=2000016880&rl=1
看天津微博	3558497981	JjbK8t7bA	#外婆望远镜看孙子上幼儿园#孙子：别闹，我外婆看着我呢。同学：骗人～ ​	2020年09月05日 09:54		1	2	https://weibo.com/3558497981/JjbK8t7bA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbK8t7bA?uid=3558497981&rl=1
今天的小糖也很甜	6030539733	JjbK70Hmp	#外婆望远镜看孙子上幼儿园#哇塞好巧啊   能看见孙子幼儿园！！！不过要注意安全哦 ​	2020年09月05日 09:54		评论		https://weibo.com/6030539733/JjbK70Hmp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbK70Hmp?uid=6030539733&rl=1
山西共青团	2489596935	JjbK405FO	9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，外婆边观察边解说。网友：外婆侦察兵出身吧 （冀看点）#外婆望远镜看孙子上幼儿园# L辽宁共青团的微博视频 ​	2020年09月05日 09:53			2	https://weibo.com/2489596935/JjbK405FO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbK405FO?uid=2489596935&rl=1
朱育娟律师	3165006485	JjbK3nkPu	#外婆望远镜看孙子上幼儿园#该放手就放手吧！ 2齐齐哈尔 ​	2020年09月05日 09:53			2	https://weibo.com/3165006485/JjbK3nkPu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbK3nkPu?uid=3165006485&rl=1
身边鉴赏家	6209134100	JjbJWk49p	#外婆望远镜看孙子上幼儿园#9月2日，湖南长沙一位外婆用望远镜看幼儿园外孙的视频在网上传开，外婆边观察边解说。外婆侦察兵出身吧 L身边鉴赏家的微博视频 ​	2020年09月05日 09:53		评论		https://weibo.com/6209134100/JjbJWk49p?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbJWk49p?uid=6209134100&rl=1
绿色效应	6400254288	JjbJPu0za	#外婆望远镜看孙子上幼儿园#踩凳子感觉有点危险 还是多注意点好窗子没有防盗框 小孩子安全也要注意啊  ​	2020年09月05日 09:53		评论		https://weibo.com/6400254288/JjbJPu0za?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JjbJPu0za?uid=6400254288&rl=1
