用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
两只鼠与黑猫	6443811703	JfT83hvQv	#学生族整容呈低龄化趋势#我连打针都怕的要死，体检抽血都能晕倒的，更别说整容了，在我脸上动刀子，那不是间接要我命吗我就是传说中的，又丑还怂 ​	2020年08月14日 16:59		2	31	https://weibo.com/6443811703/JfT83hvQv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT83hvQv?uid=6443811703&rl=1
MGHYMYJ_KUN	6212033042	JfT81draQ	#学生族整容呈低龄化趋势#666我现在还在想蔡徐坤什么时候来娶我 ​	2020年08月14日 16:59		3		https://weibo.com/6212033042/JfT81draQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT81draQ?uid=6212033042&rl=1
四川监狱	2801287904	JfT7YwDCD	【#学生族整容呈低龄化趋势#，#美容科医生称最小咨询者仅8岁#】江苏淮安。进入暑假以来，学生族咨询整容的比较集中，淮安妇幼保健院美容科主任称，今年咨询整容的队伍呈现低龄化趋势，初中毕业生占有一定比例，很多都是家长主动要求孩子整容，接过的最小咨询者只有8岁。医生表示，16周岁以下不建议整容 ​  展开全文c	2020年08月14日 16:59	15	1	2	https://weibo.com/2801287904/JfT7YwDCD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT7YwDCD?uid=2801287904&rl=1
cowrybead-	6334907380	JfT7Yf1OL	#学生族整容呈低龄化趋势#终于有人明白倒睫的苦了 可是我已经磨出来了 笑一下蒜了 ​	2020年08月14日 16:59		评论		https://weibo.com/6334907380/JfT7Yf1OL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT7Yf1OL?uid=6334907380&rl=1
马鞍山反邪教	6253020665	JfT7X5i2L	【#学生族整容呈低龄化趋势#，#美容科医生称最小咨询者仅8岁#】江苏淮安。进入暑假以来，学生族咨询整容的比较集中，淮安妇幼保健院美容科主任称，今年咨询整容的队伍呈现低龄化趋势，初中毕业生占有一定比例，很多都是家长主动要求孩子整容，接过的最小咨询者只有8岁。医生表示，16周岁以下不建议整容 ​  展开全文c	2020年08月14日 16:59		评论		https://weibo.com/6253020665/JfT7X5i2L?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT7X5i2L?uid=6253020665&rl=1
阿拉善政法	5154910158	JfT7Sibfs	【#学生族整容呈低龄化趋势#，#美容科医生称最小咨询者仅8岁#】江苏淮安。进入暑假以来，学生族咨询整容的比较集中，淮安妇幼保健院美容科主任称，今年咨询整容的队伍呈现低龄化趋势，初中毕业生占有一定比例，很多都是家长主动要求孩子整容，接过的最小咨询者只有8岁。医生表示，16周岁以下不建议整容 ​  展开全文c	2020年08月14日 16:59		评论		https://weibo.com/5154910158/JfT7Sibfs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT7Sibfs?uid=5154910158&rl=1
厦门天气在线	2649558901	JfT7SjhxP	#上下班天气# 收拾收拾东西，下班就可以去享受周末了。冲鸭！#学生族整容呈低龄化趋势# ​	2020年08月14日 16:59	1	5	1	https://weibo.com/2649558901/JfT7SjhxP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT7SjhxP?uid=2649558901&rl=1
面部拉皮抗衰高亚东	7282859472	JfT7JbWdG	#学生族整容呈低龄化趋势# 未成年不建议做整形美容，姑娘们爱美是正常的，但是做整形一定要多做了解，医生的技术和审美是你们变美最起码的基础。。 ​	2020年08月14日 16:59	22	172	194	https://weibo.com/7282859472/JfT7JbWdG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT7JbWdG?uid=7282859472&rl=1
咕噜杯炼奶·	6582573747	JfT7IwZPr	#学生族整容呈低龄化趋势#bdjw 鼻子怎么弄 是怎么变挺的🤔 ​	2020年08月14日 16:59		1		https://weibo.com/6582573747/JfT7IwZPr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT7IwZPr?uid=6582573747&rl=1
别給爺裝蒜	5647796709	JfT7H4yC2	#学生族整容呈低龄化趋势#8岁也太吓人了，正常来说，是满了18岁才可以做，16岁以上18以下需要家长陪同签字才可以，而且年龄小脸型和五官并没有发育完全，着急什么呢 ​	2020年08月14日 16:59			1	https://weibo.com/5647796709/JfT7H4yC2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfT7H4yC2?uid=5647796709&rl=1
