原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	青争幼稚园的小傻酱	shabao5207	青争幼稚园的小傻酱:#宁静一家是吃了防腐剂吗#静爸好年轻啊 期待期待 	赞[0]	2020-09-04 13:08:17	来自iPhone客户端
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	路人想有自己的隐私空间	6874518998	路人想有自己的隐私空间:哈哈哈哈哈哈哈静爸太可爱了！	赞[0]	2020-09-04 13:08:07	来自iPhone客户端
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	阳阳阳别再刷微博啦	2682573012	阳阳阳别再刷微博啦:#宁静[超话]# #宁静C位出道# 拜见岳父大人你们一家都是神仙吗我岳父看起来像40代我女鹅每天都可可爱爱	赞[0]	2020-09-04 13:07:45	来自宁静冲啊iPhone 11
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	Prue祝Jing天天快乐	1931101972	Prue祝Jing天天快乐:	赞[0]	2020-09-04 13:06:45	来自微博 weibo.com
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	一见到宁啊我就傻笑	7475198720	一见到宁啊我就傻笑:静姐带静爸出道吧	赞[0]	2020-09-04 13:11:18	来自vivo智能手机
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	王枭哲童學	7284256922	王枭哲童學:我家静静queen最可耐	赞[0]	2020-09-04 13:10:35	来自iPhone客户端
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	学习好好爱N	6496985860	学习好好爱N:在气质这块儿，谁赢很明显但是论可爱，那自然是我们静静赢啊	赞[1]	2020-09-04 13:10:25	来自前置双摄vivo X9
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	象牙芒果果	1745569313	象牙芒果果:哈哈哈，姐姐和爸爸一起出道吧～	赞[0]	2020-09-04 13:10:23	来自iPhone客户端
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	min啾	5693918070	min啾:静静冲啊	赞[2]	2020-09-04 13:10:18	来自nova7SE 5G你在焦点在
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	华丽转圈圈	2175173363	华丽转圈圈:#宁静一家是吃了防腐剂吗# #宁静C位出道# 想都不敢想的事一起酒醉的蝴蝶吗	赞[0]	2020-09-04 13:10:06	来自iPhone客户端
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	许宁九	6392004767	许宁九:#宁静一家是吃了防腐剂吗# 🧡哈哈哈哈哈哈， 静静不愧是你🧡	赞[0]	2020-09-04 13:09:20	来自前后2000万 OPPO R11s
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	今天想休息下次再伤心	5953893234	今天想休息下次再伤心:叔叔好，叔叔辛苦了	赞[0]	2020-09-04 13:14:01	来自iPhone客户端
宁静全球粉丝后援会	:#宁静爸爸好年轻#  🧡 #宁静C位出道# 乘风破浪，逆流而上，静爸加入，为宁作战无惧年龄就要超第一，披荆斩棘不随年龄随心境，不忘初心，逆龄集结，父女出击，魅力瞬间，做自己的王，和静静Queen@宁静 一起豪横起来～78岁的【静爸】即将登场🤩，不得不感慨基因的强大，静爸的状态看起来是冲超第一去的，雄起夏日活久见系列，静静子首次带家长出现在直播荧幕前，一起和小浪花们见证重要时刻。这个夏天果然不止限定惊喜，还有更多的活久见系列宠爱，成团夜不见不散～⚡静爱心中一把火，宁静C位非常妥⚡⚡牵宁静的小手，花路静爸静爱一起走⚡#乘风破浪的姐姐##宁静[超话]# 宁静全球粉丝后援会的微博视频	2020-09-04 13:05:24    	懒懒赖上静	2903435307	懒懒赖上静:哈哈哈哈哈魔丸的爸爸来了了 一起出道吧	赞[1]	2020-09-04 13:13:33	来自Android
