原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	贺繁星本人	6046373031	贺繁星本人:好喜欢第一张啊！！	赞[0]	2020-09-15 10:19:54	来自Android
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	Xtun--豚	xtun91	Xtun--豚:拍的太有感觉了	赞[0]	2020-09-15 10:19:32	来自iPhone客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	十二月夜桂_	5132722692	十二月夜桂_:可塑性好强 好喜欢这封	赞[0]	2020-09-15 10:24:27	来自iPhone客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	茜之骄女	5569073185	茜之骄女:转发微博	赞[0]	2020-09-15 10:24:18	来自vivo Z3性能实力派
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	西西吃吐司	2204312381	西西吃吐司:美	赞[0]	2020-09-15 10:24:15	来自iPhone客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	CoverSelf	5850776522	CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[857]	2020-09-15 10:23:41	来自
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	上善若水小璇子	5957550274	上善若水小璇子:#JimmyChoo亚太区形象代言人宋茜##宋茜范丞丞催你登机##宋茜dazzle蓝精灵系列代言人##Moncler品牌大使宋茜##宋茜蒙牛纯甄代言人##宋茜元气C位诺萃怡刻##宋茜香奈儿品牌形象大使##宋茜科颜氏品牌代言人##宋茜飞利浦lumea代言人##宋茜代言曼妮芬##宋茜梅赛德斯奔驰品牌挚友##花漾星球全新品牌代言人宋茜#	赞[0]	2020-09-15 10:22:32	来自vivo X27 4800万三摄
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	愿望成真-越来越好	5643546646	愿望成真-越来越好:好美	赞[0]	2020-09-15 10:30:15	来自iPhone XR
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	夏·林果	5248117453	夏·林果:宋茜+香奈儿+于聪=绝！	赞[0]	2020-09-15 10:30:08	来自iPhone 11
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	九十九啾啾	1795321863	九十九啾啾://@可爱淘小妖:硬照越来越得心应手    真的各种风格都能玩转的让人惊艳//@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[0]	2020-09-15 10:29:52	来自iPhone客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	宋茜-0202-Victoria	6724362021	宋茜-0202-Victoria:回复@CoverSelf:宋茜厉害 一步一脚印//@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[1]	2020-09-15 10:27:08	来自Android客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	宋茜-0202-Victoria	6724362021	宋茜-0202-Victoria:好看#宋茜时尚COSMO10月刊封面# #时尚cosmo10月刊# #宋茜暗黑公主造型# #宋茜# #宋茜[超话]#@宋茜 	赞[0]	2020-09-15 10:26:14	来自Android客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	北北要喝罗宋汤	3624673461	北北要喝罗宋汤:宋茜和COSMO绝配	赞[0]	2020-09-15 10:26:15	来自荣耀V20 4800万3D相机
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	好孩子SONG	1947132533	好孩子SONG:#宋茜[超话]# #宋茜暗黑公主造型# 一城一池，未完待续！//@宋小茜的小彬:嘻嘻五大银十get！//@唯茜的小怒:啦啦啦今个儿真开心#宋茜时尚COSMO10月刊封面# //@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[0]	2020-09-15 10:35:42	来自iPhone客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	可爱上午_41947	5392151356	可爱上午_41947:#宋茜[超话]#	赞[0]	2020-09-15 10:35:08	来自前后2000万 OPPO R11
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	木头仔仔	3164158863	木头仔仔://@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[0]	2020-09-15 10:34:03	来自HUAWEI P20
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	叮咯咙咚呛咚呛·	7409371994	叮咯咙咚呛咚呛·:超好看	赞[0]	2020-09-15 10:33:41	来自HUAWEI P30
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	团听奶听	6376465657	团听奶听:p1好好看惹	赞[0]	2020-09-15 10:32:38	来自微博国际版
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	唯茜的小怒	5130537129	唯茜的小怒:啦啦啦今个儿真开心#宋茜时尚COSMO10月刊封面# //@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[0]	2020-09-15 10:32:15	来自iPhone 11
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	银星海棠begonia	summertse	银星海棠begonia:超爱黑裙#宋茜时尚cosmo10月刊封面# #宋茜暗黑公主造型# //@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[0]	2020-09-15 10:31:53	来自
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	憨憨琳02	2142752690	憨憨琳02:	赞[0]	2020-09-15 10:44:19	来自HUAWEI nova 3e
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	人间打印机宋茜	5060209198	人间打印机宋茜:姐好会！	赞[0]	2020-09-15 10:42:59	来自小米9
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	有机会我把我讲给你听	5626712402	有机会我把我讲给你听:“遥遥领先又怎样，一城一池，走着看。”就很争气//@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[0]	2020-09-15 10:39:44	来自Android
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	曲着法师锦	6697008890	曲着法师锦:宋茜好会拍	赞[0]	2020-09-15 10:38:39	来自iPhone客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	WNWN雅音	3719862680	WNWN雅音:#宋茜时尚COSMO十月刊封面# #宋茜[超话]# [鲜花]	赞[0]	2020-09-15 10:37:34	来自iPhone客户端
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	同属兔wendy	6638712877	同属兔wendy:五大银十  双封   香奈儿  宋茜优秀！//@可爱淘小妖:硬照越来越得心应手    真的各种风格都能玩转的让人惊艳//@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[0]	2020-09-15 10:36:48	来自Android
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	诺凡巴煦希	5631501527	诺凡巴煦希:绝了	赞[0]	2020-09-15 10:50:55	来自Android
CoverSelf	:宋茜出镜Cosmo十月刊封面 #宋茜暗黑公主造型# 	2020-09-15 10:19:11    	Deer七鹿	2712256940	Deer七鹿:#宋茜暗黑公主造型# //@椰果奶绿少冰_:遥遥领先又怎样，一城一池，走着看//@CoverSelf:身穿CHANEL二登Cosmo拿到五大女刊首个重要月份	赞[0]	2020-09-15 10:50:24	来自宋茜后背Android
